species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Abarema abbottii,3,0.14,0.26,0,1,0,0,0,0,0,wet (1)
Abarema adenophora,93,0.2,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abarema alexandri,1,0.32,0.32,0,1,0,0,0,0,0,wet (1)
Abarema auriculata,34,0.13,0.49,0,1,0,0,0,0,0,wet (1)
Abarema barbouriana,132,0.12,0.69,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abarema barnebyana,7,-0.19,-0.12,0,0,1,0,0,0,0,moist (1)
Abarema brachystachya,82,-0.25,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abarema callejasii,10,0.5,0.56,1,0,0,0,0,0,0,very wet (1)
Abarema campestris,20,0.06,0.43,0,1,0,0,0,0,0,wet (1)
Abarema centiflora,2,-0.2,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Abarema cochleata,71,-0.07,0.47,0,2,3,0,0,0,0,wet (2) | moist (3)
Abarema cochliocarpos,45,-0.52,0.14,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abarema commutata,2,0.12,0.22,0,1,0,0,0,0,0,wet (1)
Abarema curvicarpa,23,0.28,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abarema ferruginea,13,0.22,0.38,0,1,0,0,0,0,0,wet (1)
Abarema filamentosa,194,-0.27,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Abarema floribunda,44,0.18,0.46,0,1,0,0,0,0,0,wet (1)
Abarema gallorum,8,0.46,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abarema ganymedea,7,0.15,0.45,0,1,0,0,0,0,0,wet (1)
Abarema glauca,2,-0.44,-0.19,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Abarema idiopoda,84,-0.18,0.61,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abarema jupunba,605,-0.12,0.57,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abarema killipii,33,-0.37,0.51,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Abarema laeta,170,0.15,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abarema langsdorffii,129,-0.18,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Abarema lehmannii,38,0.28,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abarema leucophylla,68,0.35,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abarema levelii,3,0.3,0.42,0,1,0,0,0,0,0,wet (1)
Abarema limae,12,-0.3,-0.08,0,0,1,0,0,0,0,moist (1)
Abarema longipedunculata,16,0.1,0.47,0,1,0,0,0,0,0,wet (1)
Abarema macradenia,61,0.25,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abarema mataybifolia,41,-0.04,0.52,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abarema microcaly,40,0.17,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abarema obovalis,5,-0.12,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Abarema oppositifolia,8,-0.14,0.21,0,2,3,0,0,0,0,wet (2) | moist (3)
Abarema oxyphyllidia,3,-0.33,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abarema piresii,24,0.06,0.4,0,1,0,0,0,0,0,wet (1)
Abarema racemiflora,25,-0.07,0.61,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abarema turbinata,30,0.06,0.49,0,1,0,0,0,0,0,wet (1)
Abarema villifera,4,0.35,0.44,0,1,0,0,0,0,0,wet (1)
