species,n,Q05,Q95,A,C,D,E,F,A18,Tmo10
Abarema abbottii,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema adenophora,93,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema alexandri,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema auriculata,34,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema barbouriana,132,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema barnebyana,7,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema brachystachya,82,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema callejasii,10,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema campestris,20,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema centiflora,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema cochleata,71,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema cochliocarpos,45,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema commutata,2,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema curvicarpa,23,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema ferruginea,13,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema filamentosa,194,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema floribunda,44,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema gallorum,8,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema ganymedea,7,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema glauca,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema idiopoda,84,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema jupunba,605,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema killipii,33,11.07,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Abarema laeta,170,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema langsdorffii,129,8.37,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Abarema lehmannii,38,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema leucophylla,68,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema levelii,3,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema limae,12,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema longipedunculata,16,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema macradenia,61,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema mataybifolia,41,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema microcaly,40,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema obovalis,5,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema oppositifolia,8,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema oxyphyllidia,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema piresii,24,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema racemiflora,25,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema turbinata,30,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema villifera,4,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Abarema villosa,32,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abarema zolleriana,14,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abatia mexicana,32,11.07,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Abatia parviflora,170,0.8,12.0,2,9,9,9,3,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (9) | temperate (9) | boreal (3)
Abatia rugosa,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abatia spicata,9,0.0,12.0,2,9,9,9,3,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (9) | temperate (9) | boreal (3)
Abies alba,30617,3.23,6.64,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies amabilis,324,1.47,5.82,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies balsamea,4671,3.11,5.86,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies beshanzuensis,2,9.0,9.0,0,1,0,0,0,0,tropical (minimum temperature of coldest month <18°C) (1)
Abies bracteata,46,5.0,11.68,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Abies cephalonica,178,4.07,8.48,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Abies chensiensis,31,4.0,10.74,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Abies cilicica,42,4.44,9.7,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Abies concolor,2014,3.07,6.93,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies delavayi,63,0.0,11.42,0,2,9,9,3,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (9) | temperate (9) | boreal (3)
Abies densa,22,0.0,10.2,0,2,9,9,3,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (9) | temperate (9) | boreal (3)
Abies durangensis,97,6.1,12.0,2,9,3,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (3)
Abies fabri,21,5.55,9.99,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Abies fargesii,73,0.66,9.94,0,2,9,9,3,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (9) | temperate (9) | boreal (3)
Abies firma,533,5.22,8.74,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Abies forrestii,100,0.0,9.82,0,2,9,9,3,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (9) | temperate (9) | boreal (3)
Abies fraseri,98,5.0,6.93,0,0,1,0,0,0,subtropical (1)
Abies grandis,3903,3.47,6.86,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies guatemalensis,232,9.65,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Abies hickelii,105,0.69,12.0,2,9,9,9,3,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (9) | temperate (9) | boreal (3)
Abies hidalgensis,5,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abies holophylla,132,4.21,7.75,0,0,1,0,0,0,subtropical (1)
Abies homolepis,289,3.34,7.62,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies kawakamii,132,1.2,11.77,0,2,9,3,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (9) | temperate (3)
Abies koreana,169,3.76,7.48,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies lasiocarpa,1029,0.0,4.87,0,0,2,9,3,0,subtropical (2) | temperate (9) | boreal (3)
Abies magnifica,312,2.14,5.35,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies mariesii,171,2.41,6.91,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies nebrodensis,12,4.04,8.93,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Abies nephrolepis,79,2.35,6.76,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies nordmanniana,1594,3.71,6.71,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies numidica,14,6.0,11.8,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Abies pindrow,39,2.23,8.55,0,2,9,3,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (9) | temperate (3)
Abies pinsapo,431,4.72,9.98,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Abies procera,1268,3.05,5.93,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies recurvata,40,0.25,9.0,0,2,9,9,3,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (9) | temperate (9) | boreal (3)
Abies religiosa,699,1.49,12.0,2,9,9,3,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (9) | temperate (3)
Abies sachalinensis,194,3.09,5.5,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies sibirica,848,2.13,5.51,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies spectabilis,36,0.0,9.27,0,2,9,9,3,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (9) | temperate (9) | boreal (3)
Abies squamata,34,0.0,7.2,0,0,2,9,3,0,subtropical (2) | temperate (9) | boreal (3)
Abies veitchii,170,2.58,6.97,0,0,2,3,0,0,subtropical (2) | temperate (3)
Abies vejarii,104,7.0,12.0,2,9,3,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (3)
Abies yuanbaoshanensis,1,11.0,11.0,0,1,0,0,0,0,tropical (minimum temperature of coldest month <18°C) (1)
Abrahamia deflexa,28,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abrahamia ditimena,154,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abrahamia grandidieri,67,8.34,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Abrahamia humbertii,8,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abrahamia latifolia,12,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abrahamia lecomtei,13,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abrahamia longipetiolata,6,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abrahamia louvelii,4,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abrahamia oblongifolia,7,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abrahamia pauciflora,4,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Abrahamia phillipsonii,32,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
