species|n|Q05|Q95|A|C|D|E|F|A18
Abarema abbottii|3|12|12|1|0|0|0|0|0
Abarema adenophora|93|12|12|1|0|0|0|0|0
Abarema alexandri|1|12|12|1|0|0|0|0|0
Abarema auriculata|34|12|12|1|0|0|0|0|1
Abarema barbouriana|132|12|12|1|0|0|0|0|0
Abarema barnebyana|7|12|12|1|0|0|0|0|0
Abarema brachystachya|82|12|12|1|0|0|0|0|0
Abarema callejasii|10|12|12|1|0|0|0|0|0
Abarema campestris|20|12|12|1|0|0|0|0|0
Abarema centiflora|2|12|12|1|0|0|0|0|0
Abarema cochleata|71|12|12|1|0|0|0|0|1
Abarema cochliocarpos|45|12|12|1|0|0|0|0|0
Abarema commutata|2|12|12|1|0|0|0|0|1
Abarema curvicarpa|23|12|12|1|0|0|0|0|1
Abarema ferruginea|13|12|12|1|0|0|0|0|1
Abarema filamentosa|194|12|12|1|0|0|0|0|0
Abarema floribunda|44|12|12|1|0|0|0|0|1
Abarema gallorum|8|12|12|1|0|0|0|0|1
Abarema ganymedea|7|12|12|1|0|0|0|0|0
Abarema glauca|2|12|12|1|0|0|0|0|0
Abarema idiopoda|84|12|12|1|0|0|0|0|0
Abarema jupunba|605|12|12|1|0|0|0|0|0
Abarema killipii|33|11.07|12|2|3|0|0|0|0
Abarema laeta|170|12|12|1|0|0|0|0|0
Abarema langsdorffii|129|8.37|12|2|3|0|0|0|0
Abarema lehmannii|38|12|12|1|0|0|0|0|0
Abarema leucophylla|68|12|12|1|0|0|0|0|1
Abarema levelii|3|12|12|1|0|0|0|0|1
Abarema limae|12|12|12|1|0|0|0|0|0
Abarema longipedunculata|16|12|12|1|0|0|0|0|0
Abarema macradenia|61|12|12|1|0|0|0|0|0
Abarema mataybifolia|41|12|12|1|0|0|0|0|1
Abarema microcaly|40|12|12|1|0|0|0|0|0
Abarema obovalis|5|12|12|1|0|0|0|0|0
Abarema oppositifolia|8|12|12|1|0|0|0|0|0
Abarema oxyphyllidia|3|12|12|1|0|0|0|0|0
Abarema piresii|24|12|12|1|0|0|0|0|0
Abarema racemiflora|25|12|12|1|0|0|0|0|0
Abarema turbinata|30|12|12|1|0|0|0|0|0
Abarema villifera|4|12|12|1|0|0|0|0|1
Abarema villosa|32|12|12|1|0|0|0|0|0
Abarema zolleriana|14|12|12|1|0|0|0|0|0
Abatia mexicana|32|11.07|12|2|3|0|0|0|0
Abatia parviflora|170|0.8|12|2|9|9|9|3|0
Abatia rugosa|2|12|12|1|0|0|0|0|0
Abatia spicata|9|0|12|2|9|9|9|3|0
Abies alba|30617|3.23|6.64|0|0|2|3|0|0
Abies amabilis|324|1.47|5.82|0|0|2|3|0|0
Abies balsamea|4671|3.11|5.86|0|0|2|3|0|0
Abies beshanzuensis|2|9|9|0|1|0|0|0|0
Abies bracteata|46|5|11.68|0|2|3|0|0|0
Abies cephalonica|178|4.07|8.48|0|2|3|0|0|0
Abies chensiensis|31|4|10.74|0|2|3|0|0|0
Abies cilicica|42|4.44|9.7|0|2|3|0|0|0
Abies concolor|2014|3.07|6.93|0|0|2|3|0|0
Abies delavayi|63|0|11.42|0|2|9|9|3|0
Abies densa|22|0|10.2|0|2|9|9|3|0
Abies durangensis|97|6.1|12|2|9|3|0|0|0
Abies fabri|21|5.55|9.99|0|2|3|0|0|0
Abies fargesii|73|0.66|9.94|0|2|9|9|3|0
Abies firma|533|5.22|8.74|0|2|3|0|0|0
Abies forrestii|100|0|9.82|0|2|9|9|3|0
Abies fraseri|98|5|6.93|0|0|1|0|0|0
Abies grandis|3903|3.47|6.86|0|0|2|3|0|0
Abies guatemalensis|232|9.65|12|2|3|0|0|0|0
Abies hickelii|105|0.69|12|2|9|9|9|3|0
Abies hidalgensis|5|12|12|1|0|0|0|0|0
Abies holophylla|132|4.21|7.75|0|0|1|0|0|0
Abies homolepis|289|3.34|7.62|0|0|2|3|0|0
Abies kawakamii|132|1.2|11.77|0|2|9|3|0|0
Abies koreana|169|3.76|7.48|0|0|2|3|0|0
Abies lasiocarpa|1029|0|4.87|0|0|2|9|3|0
Abies magnifica|312|2.14|5.35|0|0|2|3|0|0
