family,taxon,author,native to
Amaranthaceae,Haloxylon ammodendron,(C.A.Mey.) Bunge ex Fenzl,Afghanistan
Amaranthaceae,Haloxylon persicum,Bunge,Afghanistan
Amaranthaceae,Xylosalsola paletzkiana,(Litv.) Akhani & Roalson,Afghanistan
Amaranthaceae,Xylosalsola richteri,(Moq.) Akhani & Roalson,Afghanistan
Anacardiaceae,Pistacia eurycarpa,Yaltirik,Afghanistan
Anacardiaceae,Pistacia khinjuk,Stocks,Afghanistan
Anacardiaceae,Pistacia vera,L.,Afghanistan
Anacardiaceae,Rhus coriaria,L.,Afghanistan
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Afghanistan
Apocynaceae,Periploca aphylla,Decne.,Afghanistan
Arecaceae,Nannorrhops ritchieana,(Griff.) Aitch.,Afghanistan
Betulaceae,Alnus nitida,(Spach) Endl.,Afghanistan
Betulaceae,Betula utilis,D.Don,Afghanistan
Betulaceae,Corylus jacquemontii,Decne.,Afghanistan
Bignoniaceae,Tecomella undulata,(Sm.) Seem.,Afghanistan
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,Afghanistan
Cannabaceae,Celtis australis,L.,Afghanistan
Capparaceae,Capparis cartilaginea,Decne.,Afghanistan
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,Afghanistan
Caprifoliaceae,Zabelia corymbosa,(Regel & Schmalh.) Makino,Afghanistan
Celastraceae,Euonymus hamiltonianus,Wall.,Afghanistan
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Afghanistan
Cornaceae,Cornus macrophylla,Wall.,Afghanistan
Cupressaceae,Juniperus communis,L.,Afghanistan
Cupressaceae,Juniperus excelsa,M.Bieb.,Afghanistan
Cupressaceae,Juniperus pseudosabina,Fisch. & C.A.Mey.,Afghanistan
Cupressaceae,Juniperus recurva,Buch.-Ham. ex D.Don,Afghanistan
Cupressaceae,Juniperus semiglobosa,Regel,Afghanistan
Cupressaceae,Juniperus seravschanica,Kom.,Afghanistan
Ebenaceae,Diospyros lotus,L.,Afghanistan
Elaeagnaceae,Elaeagnus angustifolia,L.,Afghanistan
Elaeagnaceae,Hippophae rhamnoides,L.,Afghanistan
Fabaceae,Caragana decorticans,Hemsl.,Afghanistan
Fabaceae,Cercis griffithii,Boiss.,Afghanistan
Fabaceae,Dalbergia sissoo,Roxb. ex DC.,Afghanistan
Fabaceae,Indigofera atropurpurea,Buch.-Ham. ex Hornem.,Afghanistan
Fabaceae,Indigofera himalayensis,Ali,Afghanistan
Fabaceae,Prosopis cineraria,(L.) Druce,Afghanistan
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Afghanistan
Fabaceae,Senegalia modesta,(Wall.) P.J.H.Hurter,Afghanistan
Fabaceae,Vachellia eburnea,(L. f.) P.J.H. Hurter & Mabb.,Afghanistan
Fagaceae,Quercus baloot,Griff.,Afghanistan
Fagaceae,Quercus floribunda,Lindl. ex A.Camus,Afghanistan
Fagaceae,Quercus semecarpifolia,Sm.,Afghanistan
Hamamelidaceae,Parrotiopsis jacquemontiana,(Decne.) Rehder,Afghanistan
Juglandaceae,Juglans regia,L.,Afghanistan
Lamiaceae,Vitex agnus-castus,L.,Afghanistan
Lamiaceae,Vitex negundo,L.,Afghanistan
Lecythidaceae,Barringtonia acutangula,(L.) Gaertn.,Afghanistan
Lecythidaceae,Careya arborea,Roxb.,Afghanistan
Lythraceae,Punica granatum,L.,Afghanistan
Malvaceae,Microcos coriacea,Burret,Afghanistan
Meliaceae,Toona ciliata,M.Roem.,Afghanistan
Moraceae,Ficus carica,L.,Afghanistan
Moraceae,Ficus johannis,Boiss.,Afghanistan
Myrtaceae,Myrtus communis,L.,Afghanistan
Oleaceae,Chrysojasminum humile,(L.) Banfi,Afghanistan
Oleaceae,Fraxinus angustifolia,Vahl,Afghanistan
Oleaceae,Fraxinus floribunda,Wall.,Afghanistan
