family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Albania
Anacardiaceae,Pistacia lentiscus,L.,Albania
Anacardiaceae,Pistacia terebinthus,L.,Albania
Anacardiaceae,Rhus coriaria,L.,Albania
Aquifoliaceae,Ilex aquifolium,L.,Albania
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Albania
Betulaceae,Alnus incana,(L.) Moench,Albania
Betulaceae,Alnus rohlenae,"Vít, Douda & Mandák",Albania
Betulaceae,Betula pendula,Roth,Albania
Betulaceae,Carpinus betulus,L.,Albania
Betulaceae,Carpinus orientalis,Mill.,Albania
Betulaceae,Corylus avellana,L.,Albania
Betulaceae,Corylus colurna,L.,Albania
Betulaceae,Ostrya carpinifolia,Scop.,Albania
Buxaceae,Buxus sempervirens,L.,Albania
Cannabaceae,Celtis australis,L.,Albania
Celastraceae,Euonymus europaeus,L.,Albania
Celastraceae,Euonymus latifolius,(L.) Mill.,Albania
Cornaceae,Cornus mas,L.,Albania
Cupressaceae,Juniperus communis,L.,Albania
Cupressaceae,Juniperus deltoides,R.P.Adams,Albania
Cupressaceae,Juniperus excelsa,M.Bieb.,Albania
Cupressaceae,Juniperus foetidissima,Willd.,Albania
Cupressaceae,Juniperus oxycedrus,L.,Albania
Cupressaceae,Juniperus phoenicea,L.,Albania
Cupressaceae,Juniperus turbinata,Guss.,Albania
Ericaceae,Arbutus andrachne,L.,Albania
Ericaceae,Arbutus unedo,L.,Albania
Ericaceae,Erica arborea,L.,Albania
Euphorbiaceae,Euphorbia dendroides,L.,Albania
Fabaceae,Anagyris foetida,L.,Albania
Fabaceae,Ceratonia siliqua,L.,Albania
Fabaceae,Cercis siliquastrum,L.,Albania
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Albania
Fabaceae,Laburnum anagyroides,Medik.,Albania
Fagaceae,Castanea sativa,Mill.,Albania
Fagaceae,Fagus sylvatica,L.,Albania
Fagaceae,Quercus cerris,L.,Albania
Fagaceae,Quercus coccifera,L.,Albania
Fagaceae,Quercus frainetto,Ten.,Albania
Fagaceae,Quercus ilex,L.,Albania
Fagaceae,Quercus ithaburensis,Decne.,Albania
Fagaceae,Quercus petraea,(Matt.) Liebl.,Albania
Fagaceae,Quercus pubescens,Willd.,Albania
Fagaceae,Quercus robur,L.,Albania
Fagaceae,Quercus trojana,Webb,Albania
Lamiaceae,Vitex agnus-castus,L.,Albania
Lauraceae,Laurus nobilis,L.,Albania
Malvaceae,Tilia cordata,Mill.,Albania
Malvaceae,Tilia platyphyllos,Scop.,Albania
Malvaceae,Tilia tomentosa,Moench,Albania
Myrtaceae,Myrtus communis,L.,Albania
Oleaceae,Fraxinus angustifolia,Vahl,Albania
Oleaceae,Fraxinus excelsior,L.,Albania
Oleaceae,Fraxinus ornus,L.,Albania
Oleaceae,Olea europaea,L.,Albania
Oleaceae,Phillyrea latifolia,L.,Albania
Oleaceae,Syringa vulgaris,L.,Albania
Pinaceae,Abies alba,Mill.,Albania
Pinaceae,Picea abies,(L.) H.Karst.,Albania
Pinaceae,Pinus halepensis,Mill.,Albania
Pinaceae,Pinus heldreichii,Christ,Albania
Pinaceae,Pinus mugo,Turra,Albania
Pinaceae,Pinus nigra,J.F.Arnold,Albania
Pinaceae,Pinus peuce,Griseb.,Albania
Pinaceae,Pinus sylvestris,L.,Albania
Platanaceae,Platanus orientalis,L.,Albania
Rhamnaceae,Frangula alnus,Mill.,Albania
Rhamnaceae,Rhamnus alaternus,L.,Albania
Rhamnaceae,Rhamnus alpina,L.,Albania
Rhamnaceae,Rhamnus cathartica,L.,Albania
Rosaceae,Crataegus heldreichii,Boiss.,Albania
Rosaceae,Crataegus monogyna,Jacq.,Albania
Rosaceae,Crataegus orientalis,Pall. ex M.Bieb.,Albania
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Albania
Rosaceae,Malus dasyphylla,Borkh.,Albania
Rosaceae,Malus florentina,(Zuccagni) C.K.Schneid.,Albania
Rosaceae,Malus sylvestris,(L.) Mill.,Albania
Rosaceae,Prunus avium,(L.) L.,Albania
Rosaceae,Prunus cerasifera,Ehrh.,Albania
Rosaceae,Prunus cocomilia,Ten.,Albania
Rosaceae,Prunus laurocerasus,L.,Albania
Rosaceae,Prunus mahaleb,L.,Albania
Rosaceae,Prunus padus,L.,Albania
Rosaceae,Prunus prostrata,Labill.,Albania
Rosaceae,Prunus spinosa,L.,Albania
Rosaceae,Prunus webbii,(Spach) Vierh.,Albania
Rosaceae,Pyrus communis,L.,Albania
Rosaceae,Pyrus elaeagrifolia,Pall.,Albania
Rosaceae,Pyrus spinosa,Forssk.,Albania
Rosaceae,Sorbus aria,(L.) Crantz,Albania
Rosaceae,Sorbus aucuparia,L.,Albania
Rosaceae,Sorbus austriaca,(Beck) Hedl.,Albania
Rosaceae,Sorbus baldaccii,(Degen & Fritsch ex C.K.Schneid.) Zinserl.,Albania
Rosaceae,Sorbus domestica,L.        ,Albania
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Albania
Rosaceae,Sorbus torminalis,Garsault,Albania
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Albania
Salicaceae,Populus alba,L.,Albania
Salicaceae,Populus nigra,L.,Albania
Salicaceae,Populus tremula,L.,Albania
Salicaceae,Salix alba,L.,Albania
Salicaceae,Salix caprea,L.,Albania
Salicaceae,Salix cinerea,L.,Albania
Salicaceae,Salix eleagnos,Scop.,Albania
Salicaceae,Salix pentandra,L.,Albania
Salicaceae,Salix purpurea,L.,Albania
Salicaceae,Salix triandra,L.,Albania
Sapindaceae,Acer campestre,L.,Albania
Sapindaceae,Acer heldreichii,Orph. ex Boiss.,Albania
Sapindaceae,Acer hyrcanum,Fisch. & C.A.Mey.,Albania
Sapindaceae,Acer monspessulanum,L.,Albania
Sapindaceae,Acer opalus,Mill.,Albania
Sapindaceae,Acer platanoides,L.,Albania
Sapindaceae,Acer pseudoplatanus,L.,Albania
Sapindaceae,Acer tataricum,L.,Albania
Staphyleaceae,Staphylea pinnata,L.,Albania
Styracaceae,Styrax officinalis,L.,Albania
Tamaricaceae,Tamarix dalmatica,B.R.Baum,Albania
Tamaricaceae,Tamarix hampeana,Boiss. & Heldr.,Albania
Tamaricaceae,Tamarix parviflora,DC.,Albania
Tamaricaceae,Tamarix smyrnensis,Bunge,Albania
Taxaceae,Taxus baccata,L.,Albania
Ulmaceae,Ulmus glabra,Huds.,Albania
Ulmaceae,Ulmus laevis,Pall.,Albania
Ulmaceae,Ulmus minor,Mill.,Albania
Viburnaceae,Sambucus nigra,L.,Albania
Viburnaceae,Sambucus racemosa,L.,Albania
