family,taxon,author,native to
Anacardiaceae,Pistacia atlantica,Desf.,Algeria
Anacardiaceae,Pistacia lentiscus,L.,Algeria
Anacardiaceae,Pistacia terebinthus,L.,Algeria
Anacardiaceae,Rhus coriaria,L.,Algeria
Anacardiaceae,Searsia pentaphylla,(Jacq.) F.A.Barkley,Algeria
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Algeria
Aquifoliaceae,Ilex aquifolium,L.,Algeria
Arecaceae,Chamaerops humilis,L.,Algeria
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Algeria
Boraginaceae,Cordia sinensis,Lam.,Algeria
Buxaceae,Buxus sempervirens,L.,Algeria
Cannabaceae,Celtis australis,L.,Algeria
Capparaceae,Boscia senegalensis,Lam.,Algeria
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Algeria
Capparaceae,Maerua crassifolia,Forssk.,Algeria
Caprifoliaceae,Lonicera arborea,Boiss.,Algeria
Celastraceae,Euonymus latifolius,(L.) Mill.,Algeria
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Algeria
Cupressaceae,Cupressus dupreziana,A.Camus,Algeria
Cupressaceae,Juniperus oxycedrus,L.,Algeria
Cupressaceae,Juniperus phoenicea,L.,Algeria
Cupressaceae,Juniperus thurifera,L.,Algeria
Cupressaceae,Juniperus turbinata,Guss.,Algeria
Cupressaceae,Tetraclinis articulata,(Vahl) Mast.,Algeria
Ericaceae,Arbutus unedo,L.,Algeria
Ericaceae,Erica arborea,L.,Algeria
Euphorbiaceae,Euphorbia dendroides,L.,Algeria
Fabaceae,Anagyris foetida,L.,Algeria
Fabaceae,Bauhinia rufescens,Lam.,Algeria
Fabaceae,Cytisus arboreus,(Desf.) DC.,Algeria
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Algeria
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Algeria
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Algeria
Fabaceae,Senna alexandrina,Mill.,Algeria
Fabaceae,Vachellia flava,(Forssk.) Kyal. & Boatwr.,Algeria
Fabaceae,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,Algeria
Fabaceae,Vachellia seyal,(Delile) P.J.H.Hurter,Algeria
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Algeria
Fagaceae,Castanea sativa,Mill.,Algeria
Fagaceae,Quercus afares,Pomel,Algeria
Fagaceae,Quercus canariensis,Willd.,Algeria
Fagaceae,Quercus coccifera,L.,Algeria
Fagaceae,Quercus faginea,Lam.,Algeria
Fagaceae,Quercus ilex,L.,Algeria
