family,taxon,author,native to
Achariaceae,Erythrospermum acuminatissimum,(A.Gray) A.C.Sm.,American Samoa
Anacardiaceae,Buchanania merrillii,Christoph.,American Samoa
Anacardiaceae,Rhus taitensis,Guill.,American Samoa
Apocynaceae,Alstonia costata,(G.Forst.) R.Br.,American Samoa
Apocynaceae,Cerbera manghas,L.,American Samoa
Apocynaceae,Tabernaemontana pandacaqui,Poir.,American Samoa
Araliaceae,Meryta macrophylla,(W.Rich ex A.Gray) Seem.,American Samoa
Araliaceae,Polyscias reineckei,Harms,American Samoa
Araliaceae,Polyscias samoensis,(A.Gray) Harms,American Samoa
Arecaceae,Balaka tahitensis,(H.Wendl.) Becc.,American Samoa
Arecaceae,Cocos nucifera,L.,American Samoa
Boraginaceae,Cordia aspera,G.Forst.,American Samoa
Boraginaceae,Cordia subcordata,Lam.,American Samoa
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,American Samoa
Burseraceae,Canarium harveyi,Seem.,American Samoa
Burseraceae,Canarium vitiense,A.Gray,American Samoa
Burseraceae,Garuga floribunda,Decne.,American Samoa
Calophyllaceae,Calophyllum inophyllum,L.,American Samoa
Calophyllaceae,Calophyllum neoebudicum,Guillaumin,American Samoa
Calophyllaceae,Mammea glauca,(Merr.) Kosterm.,American Samoa
Cannabaceae,Celtis harperi,Horne ex Baker,American Samoa
Cannabaceae,Trema cannabinum,Lour.,American Samoa
Capparaceae,Crateva religiosa,G.Forst.,American Samoa
Cardiopteridaceae,Citronella samoensis,(A.Gray) R.A.Howard,American Samoa
Casuarinaceae,Casuarina equisetifolia,L.,American Samoa
Chloranthaceae,Ascarina diffusa,A.C.Sm.,American Samoa
Clusiaceae,Garcinia myrtifolia,A.C.Sm.,American Samoa
Combretaceae,Terminalia catappa,L.,American Samoa
Combretaceae,Terminalia richii,A.Gray,American Samoa
Combretaceae,Terminalia samoensis,Rech.,American Samoa
Cunoniaceae,Spiraeanthemum samoense,A.Gray,American Samoa
Cunoniaceae,Weinmannia samoensis,A.Gray,American Samoa
Ebenaceae,Diospyros foliosa,(Rich. ex A.Gray) Bakh.,American Samoa
Ebenaceae,Diospyros samoensis,A.Gray,American Samoa
Elaeocarpaceae,Elaeocarpus tonganus,Burkill,American Samoa
Euphorbiaceae,Homalanthus nutans,(G.Forst.) Guill.,American Samoa
Euphorbiaceae,Macaranga harveyana,(Müll.Arg.) Müll.Arg.,American Samoa
Euphorbiaceae,Macaranga stipulosa,Müll.Arg.,American Samoa
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,American Samoa
Fabaceae,Erythrina fusca,Lour.,American Samoa
Fabaceae,Erythrina variegata,L.,American Samoa
Fabaceae,Intsia bijuga,(Colebr.) Kuntze,American Samoa
Fabaceae,Sophora tomentosa,L.,American Samoa
Gentianaceae,Fagraea berteroana,A.Gray ex Benth.,American Samoa
Hernandiaceae,Gyrocarpus americanus,Jacq.,American Samoa
Hernandiaceae,Hernandia moerenhoutiana,Guill.,American Samoa
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,American Samoa
Lauraceae,Endiandra elaeocarpa,Gillespie,American Samoa
Lauraceae,Litsea samoensis,(Christoph.) A.C.Sm.,American Samoa
