family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Andorra
Buxaceae,Buxus sempervirens,L.,Andorra
Cupressaceae,Juniperus communis,L.,Andorra
Cupressaceae,Juniperus oxycedrus,L.,Andorra
Cupressaceae,Juniperus phoenicea,L.,Andorra
Ericaceae,Erica arborea,L.,Andorra
Malvaceae,Tilia platyphyllos,Scop.,Andorra
Pinaceae,Abies alba,Mill.,Andorra
Pinaceae,Pinus nigra,J.F.Arnold,Andorra
Pinaceae,Pinus sylvestris,L.,Andorra
Pinaceae,Pinus uncinata,Ramond ex DC.,Andorra
Rhamnaceae,Rhamnus cathartica,L.,Andorra
Rosaceae,Prunus avium,(L.) L.,Andorra
Rosaceae,Prunus mahaleb,L.,Andorra
Rosaceae,Prunus padus,L.,Andorra
Rosaceae,Prunus spinosa,L.,Andorra
Rosaceae,Sorbus aucuparia,L.,Andorra
Salicaceae,Populus alba,L.,Andorra
Salicaceae,Populus nigra,L.,Andorra
Salicaceae,Populus tremula,L.,Andorra
Salicaceae,Salix cinerea,L.,Andorra
Salicaceae,Salix daphnoides,Vill.,Andorra
Salicaceae,Salix eleagnos,Scop.,Andorra
Salicaceae,Salix myrsinifolia,Salisb.,Andorra
Salicaceae,Salix purpurea,L.,Andorra
Salicaceae,Salix triandra,L.,Andorra
Salicaceae,Salix viminalis,L.,Andorra
Sapindaceae,Acer campestre,L.,Andorra
Sapindaceae,Acer monspessulanum,L.,Andorra
Sapindaceae,Acer platanoides,L.,Andorra
Sapindaceae,Acer pseudoplatanus,L.,Andorra
Taxaceae,Taxus baccata,L.,Andorra
Ulmaceae,Ulmus glabra,Huds.,Andorra
Viburnaceae,Sambucus racemosa,L.,Andorra
