family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Angola
Achariaceae,Buchnerodendron speciosum,Gürke,Angola
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,Angola
Achariaceae,Camptostylus mannii,(Oliv.) Gilg,Angola
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Angola
Achariaceae,Rawsonia lucida,Harv. & Sond.,Angola
Achariaceae,Scottellia klaineana,Pierre,Angola
Anacardiaceae,Antrocaryon klaineanum,Pierre,Angola
Anacardiaceae,Antrocaryon nannanii,De Wild.,Angola
Anacardiaceae,Haematostaphis barteri,Hook.f.,Angola
Anacardiaceae,Lannea antiscorbutica,(Hiern) Engl.,Angola
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Angola
Anacardiaceae,Ozoroa benguellensis,(Engl.) R.Fern.,Angola
Anacardiaceae,Ozoroa insignis,Delile,Angola
Anacardiaceae,Ozoroa longipes,(Engl. & Gilg) R.Fern. & A.Fern.,Angola
Anacardiaceae,Ozoroa schinzii,(Engl.) R.Fern. & A.Fern.,Angola
Anacardiaceae,Pseudospondias longifolia,Engl.,Angola
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Angola
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Angola
Anacardiaceae,Searsia anchietae,(Ficalho & Hiern) Moffett,Angola
Anacardiaceae,Searsia leptodictya,"(Diels) T.S.Yi, A.J.Mill. & J.Wen",Angola
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Angola
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Angola
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,Angola
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,Angola
Anacardiaceae,Sorindeia africana,(Engl.) Van der Veken,Angola
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Angola
Anacardiaceae,Trichoscypha acuminata,Engl.,Angola
Anacardiaceae,Trichoscypha oddonii,De Wild.,Angola
Anisophylleaceae,Anisophyllea meniaudii,Aubrév. & Pellegr.,Angola
Annonaceae,Annickia chlorantha,(Oliv.) Setten & Maas,Angola
Annonaceae,Annickia pilosa,(Exell) Setten & Maas,Angola
Annonaceae,Anonidium brieyi,De Wild.,Angola
Annonaceae,Artabotrys monteiroae,Oliv.,Angola
Annonaceae,Brieya fasciculata,De Wild.,Angola
Annonaceae,Brieya latipetala,Exell,Angola
Annonaceae,Cleistopholis glauca,Pierre ex Engl. & Diels,Angola
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Angola
Annonaceae,Greenwayodendron suaveolens,(Engl. & Diels) Verdc.,Angola
Annonaceae,Hexalobus crispiflorus,A.Rich.,Angola
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Angola
Annonaceae,Isolona hexaloba,(Pierre) Engl. & Diels,Angola
Annonaceae,Isolona pilosa,Diels,Angola
Annonaceae,Monanthotaxis ferruginea,(Oliv.) Verdc.,Angola
Annonaceae,Monanthotaxis obovata,(Benth.) P.H.Hoekstra,Angola
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Angola
Annonaceae,Monodora angolensis,Welw.,Angola
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Angola
Annonaceae,Monodora tenuifolia,Benth.,Angola
Annonaceae,Neostenanthera gabonensis,(Engl. & Diels) Exell,Angola
Annonaceae,Piptostigma macranthum,Mildbr. & Diels,Angola
Annonaceae,Piptostigma pilosum,Oliv.,Angola
Annonaceae,Polyceratocarpus angustifolius,Paiva,Angola
Annonaceae,Polyceratocarpus gossweileri,(Exell) Paiva,Angola
Annonaceae,Polyceratocarpus laurifolius,Paiva,Angola
Annonaceae,Sphaerocoryne gracilis,(Engl. & Diels) Verdc.,Angola
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Angola
Annonaceae,Uvaria welwitschii,(Hiern) Engl. & Diels,Angola
Annonaceae,Uvariodendron molundense,(Diels) R.E.Fr.,Angola
Annonaceae,Uvariopsis noldeae,(Mildbr. & Diels) Robyns & Ghesq.,Angola
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Angola
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Angola
Annonaceae,Xylopia cupularis,Mildbr.,Angola
Annonaceae,Xylopia hypolampra,Mildbr.,Angola
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Angola
Annonaceae,Xylopia odoratissima,Welw. ex Oliv.,Angola
Annonaceae,Xylopia paniculata,Exell,Angola
Annonaceae,Xylopia phloiodora,Mildbr.,Angola
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Angola
Annonaceae,Xylopia rubescens,Oliv.,Angola
Annonaceae,Xylopia staudtii,Engl. & Diels,Angola
Annonaceae,Xylopia thomsonii,Oliv.,Angola
Annonaceae,Xylopia toussaintii,Boutique,Angola
Annonaceae,Xylopia wilwerthii,De Wild. & T.Durand,Angola
Apiaceae,Heteromorpha arborescens,(Spreng.) Cham. & Schltdl.,Angola
Apiaceae,Heteromorpha involucrata,Conrath,Angola
Apiaceae,Steganotaenia araliacea,Hochst.,Angola
Apocynaceae,Adenium boehmianum,Schinz,Angola
Apocynaceae,Alstonia boonei,De Wild.,Angola
Apocynaceae,Alstonia congensis,Engl.,Angola
Apocynaceae,Carissa bispinosa,(L.) Desf. ex Brenan,Angola
Apocynaceae,Carissa spinarum,L.,Angola
Apocynaceae,Crioceras dipladeniiflorus,(Stapf) K.Schum.,Angola
Apocynaceae,Diplorhynchus condylocarpon,(Müll.Arg.) Pichon,Angola
Apocynaceae,Funtumia africana,(Benth.) Stapf,Angola
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Angola
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Angola
Apocynaceae,Hunteria umbellata,(K.Schum.) Hallier f.,Angola
Apocynaceae,Landolphia parvifolia,K.Schum.,Angola
Apocynaceae,Pachypodium lealii,Welw.,Angola
Apocynaceae,Picralima nitida,(Stapf) T.Durand & H.Durand,Angola
Apocynaceae,Pleiocarpa bicarpellata,Stapf,Angola
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Angola
Apocynaceae,Rauvolfia caffra,Sond.,Angola
Apocynaceae,Rauvolfia vomitoria,Afzel.,Angola
Apocynaceae,Schizozygia coffaeoides,Baill.,Angola
Apocynaceae,Strophanthus welwitschii,(Baill.) K.Schum.,Angola
Apocynaceae,Tabernaemontana crassa,Benth.,Angola
Apocynaceae,Tabernaemontana pachysiphon,Stapf,Angola
Apocynaceae,Tabernanthe iboga,Baill.,Angola
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Angola
Apocynaceae,Voacanga chalotiana,Pierre ex Stapf,Angola
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Angola
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Angola
Araliaceae,Astropanax barteri,Seem.,Angola
Araliaceae,Cussonia angolensis,(Seem.) Hiern,Angola
Araliaceae,Cussonia brieyi,De Wild.,Angola
Araliaceae,Polyscias fulva,(Hiern) Harms,Angola
Araliaceae,Polyscias letestui,C.Norman,Angola
Arecaceae,Elaeis guineensis,Jacq.,Angola
Arecaceae,Hyphaene guineensis,Schumach. & Thonn.,Angola
Arecaceae,Hyphaene petersiana,Klotzsch ex Mart.,Angola
Arecaceae,Phoenix reclinata,Jacq.,Angola
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Angola
Arecaceae,Raphia hookeri,G.Mann & H.Wendl.,Angola
Arecaceae,Raphia laurentii,De Wild.,Angola
Arecaceae,Raphia regalis,Becc.,Angola
Arecaceae,Raphia rostrata,Burret,Angola
Arecaceae,Raphia textilis,Welw.,Angola
Asparagaceae,Dracaena arborea,(Willd.) Link,Angola
Asparagaceae,Dracaena fragrans,(L.) Ker Gawl.,Angola
Asparagaceae,Dracaena mannii,Baker,Angola
Asparagaceae,Dracaena parviflora,Baker,Angola
Asparagaceae,Dracaena steudneri,Engl.,Angola
Asphodelaceae,Aloe littoralis,Baker,Angola
Asphodelaceae,Aloe rupicola,Reynolds,Angola
Asteraceae,Brachylaena huillensis,O.Hoffm.,Angola
Asteraceae,Brenandendron donianum,(DC.) H.Rob.,Angola
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Angola
Asteraceae,Gymnanthemum exsertiflorum,(Baker) H.Rob.,Angola
Asteraceae,Gymnanthemum myrianthum,(Hook.f.) H.Rob.,Angola
Asteraceae,Hoffmannanthus abbotianus,"(O.Hoffm.) H.Rob., S.C.Keeley & Skvarla",Angola
Asteraceae,Solanecio mannii,(Hook.f.) C.Jeffrey,Angola
Bignoniaceae,Catophractes alexandri,D.Don,Angola
