family,taxon,author,native to
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Anguilla
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Anguilla
Anacardiaceae,Spondias mombin,L.,Anguilla
Apocynaceae,Plumeria alba,L.,Anguilla
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Anguilla
Bignoniaceae,Crescentia cujete,L.,Anguilla
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Anguilla
Bignoniaceae,Tabebuia lepidota,(Kunth) Britton,Anguilla
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Anguilla
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Anguilla
Boraginaceae,Bourreria succulenta,Jacq.,Anguilla
Burseraceae,Bursera simaruba,(L.) Sarg.,Anguilla
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Anguilla
Canellaceae,Canella winterana,(L.) Gaertn.,Anguilla
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Anguilla
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Anguilla
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Anguilla
Celastraceae,Crossopetalum rhacoma,Crantz,Anguilla
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Anguilla
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Anguilla
Celastraceae,Monteverdia laevigata,(Vahl) Biral,Anguilla
Celastraceae,Schaefferia frutescens,Jacq.,Anguilla
Chrysobalanaceae,Chrysobalanus icaco,L.,Anguilla
Clusiaceae,Clusia rosea,Jacq.,Anguilla
Combretaceae,Conocarpus erectus,L.,Anguilla
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Anguilla
Erythroxylaceae,Erythroxylum brevipes,DC.,Anguilla
Euphorbiaceae,Argythamnia candicans,Sw.,Anguilla
Euphorbiaceae,Croton betulinus,Vahl,Anguilla
Euphorbiaceae,Croton flavens,L.,Anguilla
Euphorbiaceae,Gymnanthes hypoleuca,Benth.,Anguilla
Euphorbiaceae,Gymnanthes lucida,Sw.,Anguilla
Euphorbiaceae,Hippomane mancinella,L.,Anguilla
Euphorbiaceae,Hura crepitans,L.,Anguilla
Euphorbiaceae,Jatropha curcas,L.,Anguilla
Fabaceae,Hymenaea courbaril,L.,Anguilla
Fabaceae,Libidibia coriaria,(Jacq.) Schltdl.,Anguilla
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Anguilla
Fabaceae,Sophora tomentosa,L.,Anguilla
Fabaceae,Swartzia simplex,(Sw.) Spreng.,Anguilla
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Anguilla
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Anguilla
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Anguilla
Malpighiaceae,Byrsonima lucida,(Mill.) DC.,Anguilla
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Anguilla
Malvaceae,Helicteres jamaicensis,Jacq.,Anguilla
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Anguilla
Moraceae,Ficus citrifolia,Mill.,Anguilla
Myrtaceae,Eugenia axillaris,(Sw.) Willd.,Anguilla
Myrtaceae,Eugenia foetida,Pers.,Anguilla
Myrtaceae,Eugenia monticola,(Sw.) DC.,Anguilla
Myrtaceae,Myrcia splendens,(Sw.) DC.,Anguilla
Myrtaceae,Psidium guajava,L.,Anguilla
Nyctaginaceae,Guapira fragrans,(Dum.Cours.) Little,Anguilla
Nyctaginaceae,Pisonia subcordata,Sw.,Anguilla
Olacaceae,Ximenia americana,L.,Anguilla
Oleaceae,Forestiera segregata,(Jacq.) Krug & Urb.,Anguilla
Phyllanthaceae,Phyllanthus epiphyllanthus,L.,Anguilla
Polygonaceae,Coccoloba krugii,Lindau,Anguilla
Polygonaceae,Coccoloba uvifera,(L.) L.,Anguilla
Primulaceae,Jacquinia armillaris,Jacq.,Anguilla
Primulaceae,Jacquinia berteroi,Spreng.,Anguilla
Rhamnaceae,Colubrina arborescens,(Mill.) Sarg.,Anguilla
Rhamnaceae,Krugiodendron ferreum,(Vahl) Urb.,Anguilla
Rhamnaceae,Reynosia uncinata,Urb.,Anguilla
Rhamnaceae,Sarcomphalus domingensis,(Spreng.) Krug & Urb.,Anguilla
Rhamnaceae,Sarcomphalus reticulatus,(Vahl) Urb.,Anguilla
Rhizophoraceae,Rhizophora mangle,L.,Anguilla
Rubiaceae,Erithalis fruticosa,L.,Anguilla
Rubiaceae,Exostema caribaeum,(Jacq.) Schult.,Anguilla
Rubiaceae,Randia aculeata,L.,Anguilla
Rubiaceae,Stenostomum acutatum,DC.,Anguilla
Rutaceae,Amyris elemifera,L.,Anguilla
Rutaceae,Zanthoxylum flavum,Vahl,Anguilla
Rutaceae,Zanthoxylum punctatum,Vahl,Anguilla
Rutaceae,Zanthoxylum tragodes,(L.) DC.,Anguilla
Sapindaceae,Hypelate trifoliata,Sw.,Anguilla
Sapotaceae,Sideroxylon obovatum,Lam.,Anguilla
Sapotaceae,Sideroxylon salicifolium,(L.) Lam.,Anguilla
Simaroubaceae,Castela erecta,Turpin,Anguilla
Solanaceae,Solanum bahamense,L.,Anguilla
Surianaceae,Suriana maritima,L.,Anguilla
Verbenaceae,Citharexylum spinosum,L.,Anguilla
Zygophyllaceae,Guaiacum officinale,L.,Anguilla
