family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Antigua and Barbuda
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Antigua and Barbuda
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Antigua and Barbuda
Anacardiaceae,Spondias mombin,L.,Antigua and Barbuda
Annonaceae,Annona glabra,L.,Antigua and Barbuda
Annonaceae,Annona montana,Macfad.,Antigua and Barbuda
Annonaceae,Annona mucosa,Jacq.,Antigua and Barbuda
Apocynaceae,Plumeria alba,L.,Antigua and Barbuda
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Antigua and Barbuda
Apocynaceae,Tabernaemontana citrifolia,L.,Antigua and Barbuda
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,Antigua and Barbuda
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Antigua and Barbuda
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Antigua and Barbuda
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,Antigua and Barbuda
Asteraceae,Baccharis dioica,Vahl,Antigua and Barbuda
Bignoniaceae,Crescentia cujete,L.,Antigua and Barbuda
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Antigua and Barbuda
Bignoniaceae,Tabebuia lepidota,(Kunth) Britton,Antigua and Barbuda
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Antigua and Barbuda
Boraginaceae,Bourreria succulenta,Jacq.,Antigua and Barbuda
Boraginaceae,Cordia alliodora,(Ruiz & Pav.) Oken,Antigua and Barbuda
Boraginaceae,Cordia dentata,Poir.,Antigua and Barbuda
Boraginaceae,Cordia sulcata,A.DC.,Antigua and Barbuda
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,Antigua and Barbuda
Boraginaceae,Rochefortia acanthophora,(A.DC.) Griseb.,Antigua and Barbuda
Boraginaceae,Rochefortia spinosa,(Jacq.) Urb.,Antigua and Barbuda
Burseraceae,Bursera simaruba,(L.) Sarg.,Antigua and Barbuda
Burseraceae,Dacryodes excelsa,Vahl,Antigua and Barbuda
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Antigua and Barbuda
Calophyllaceae,Mammea americana,L.,Antigua and Barbuda
Calophyllaceae,Marila racemosa,Sw.,Antigua and Barbuda
Canellaceae,Canella winterana,(L.) Gaertn.,Antigua and Barbuda
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Antigua and Barbuda
Cannabaceae,Trema micranthum,(L.) Blume,Antigua and Barbuda
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Antigua and Barbuda
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Antigua and Barbuda
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Antigua and Barbuda
Capparaceae,Morisonia americana,L.,Antigua and Barbuda
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Antigua and Barbuda
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Antigua and Barbuda
Celastraceae,Crossopetalum rhacoma,Crantz,Antigua and Barbuda
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Antigua and Barbuda
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Antigua and Barbuda
Celastraceae,Schaefferia frutescens,Jacq.,Antigua and Barbuda
Chloranthaceae,Hedyosmum arborescens,Sw.,Antigua and Barbuda
Chrysobalanaceae,Chrysobalanus icaco,L.,Antigua and Barbuda
Clusiaceae,Clusia major,L.,Antigua and Barbuda
Combretaceae,Conocarpus erectus,L.,Antigua and Barbuda
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Antigua and Barbuda
Combretaceae,Terminalia buceras,(L.) C.Wright,Antigua and Barbuda
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Antigua and Barbuda
Erythroxylaceae,Erythroxylum havanense,Jacq.,Antigua and Barbuda
Euphorbiaceae,Actinostemon caribaeus,Griseb.,Antigua and Barbuda
Euphorbiaceae,Croton astroites,Aiton,Antigua and Barbuda
Euphorbiaceae,Croton betulinus,Vahl,Antigua and Barbuda
Euphorbiaceae,Croton flavens,L.,Antigua and Barbuda
Euphorbiaceae,Gymnanthes hypoleuca,Benth.,Antigua and Barbuda
Euphorbiaceae,Gymnanthes lucida,Sw.,Antigua and Barbuda
Euphorbiaceae,Hippomane mancinella,L.,Antigua and Barbuda
Euphorbiaceae,Hura crepitans,L.,Antigua and Barbuda
Euphorbiaceae,Jatropha curcas,L.,Antigua and Barbuda
Euphorbiaceae,Jatropha multifida,L.,Antigua and Barbuda
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Antigua and Barbuda
Fabaceae,Andira inermis,(W.Wright) DC.,Antigua and Barbuda
Fabaceae,Bauhinia aculeata,L.,Antigua and Barbuda
Fabaceae,Bauhinia multinervia,(Kunth) DC.,Antigua and Barbuda
Fabaceae,Calliandra purpurea,(L.) Benth.,Antigua and Barbuda
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Antigua and Barbuda
Fabaceae,Hymenaea courbaril,L.,Antigua and Barbuda
Fabaceae,Inga laurina,(Sw.) Willd.,Antigua and Barbuda
Fabaceae,Libidibia coriaria,(Jacq.) Schltdl.,Antigua and Barbuda
Fabaceae,Lonchocarpus violaceus,(Jacq.) Kunth ex DC.,Antigua and Barbuda
Fabaceae,Neltuma juliflora,(Sw.) Raf.,Antigua and Barbuda
Fabaceae,Parasenegalia muricata,(L.) Seigler & Ebinger,Antigua and Barbuda
Fabaceae,Parkinsonia aculeata,L.,Antigua and Barbuda
Fabaceae,Piscidia carthagenensis,Jacq.,Antigua and Barbuda
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Antigua and Barbuda
Fabaceae,Senna atomaria,(L.) H.S.Irwin & Barneby,Antigua and Barbuda
Fabaceae,Sophora tomentosa,L.,Antigua and Barbuda
Fabaceae,Swartzia simplex,(Sw.) Spreng.,Antigua and Barbuda
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Antigua and Barbuda
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Antigua and Barbuda
Fabaceae,Vachellia tortuosa,(L.) Seigler & Ebinger,Antigua and Barbuda
Heliotropiaceae,Tournefortia bicolor,Sw.,Antigua and Barbuda
Lamiaceae,Aegiphila martinicensis,Jacq.,Antigua and Barbuda
Lamiaceae,Vitex divaricata,Sw.,Antigua and Barbuda
Lauraceae,Beilschmiedia pendula,(Sw.) Hemsl.,Antigua and Barbuda
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Antigua and Barbuda
Lauraceae,Damburneya patens,(Sw.) Trofimov,Antigua and Barbuda
Lauraceae,Licaria parvifolia,(Lam.) Kosterm.,Antigua and Barbuda
Lauraceae,Nectandra krugii,Mez,Antigua and Barbuda
Lauraceae,Nectandra membranacea,(Sw.) Griseb.,Antigua and Barbuda
Lauraceae,Ocotea floribunda,(Sw.) Mez,Antigua and Barbuda
Lauraceae,Ocotea leptobotra,(Ruiz & Pav.) Mez,Antigua and Barbuda
Lauraceae,Ocotea leucoxylon,(Sw.) Laness.,Antigua and Barbuda
Malpighiaceae,Bunchosia glandulosa,(Cav.) DC.,Antigua and Barbuda
Malpighiaceae,Byrsonima lucida,(Mill.) DC.,Antigua and Barbuda
Malpighiaceae,Byrsonima spicata,(Cav.) Rich. ex Kunth,Antigua and Barbuda
Malpighiaceae,Byrsonima trinitensis,A.Juss.,Antigua and Barbuda
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Antigua and Barbuda
Malvaceae,Guazuma ulmifolia,Lam.,Antigua and Barbuda
Malvaceae,Pavonia spinifex,(L.) Cav.,Antigua and Barbuda
Malvaceae,Quararibea turbinata,(Sw.) Poir.,Antigua and Barbuda
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Antigua and Barbuda
Malvaceae,Triumfetta lappula,L.,Antigua and Barbuda
Malvaceae,Triumfetta semitriloba,Jacq.,Antigua and Barbuda
Melastomataceae,Miconia angustifolia,(Sw.) Griseb.,Antigua and Barbuda
Melastomataceae,Miconia christophoriana,(Ham.) Judd & Majure,Antigua and Barbuda
Melastomataceae,Miconia laevigata,(L.) D. Don,Antigua and Barbuda
Melastomataceae,Miconia mirabilis,(Aubl.) L.O. Williams,Antigua and Barbuda
Melastomataceae,Miconia trichotoma,(Desr.) DC.,Antigua and Barbuda
Melastomataceae,Mouriri domingensis,(Tussac) Spach,Antigua and Barbuda
Meliaceae,Cedrela odorata,L.,Antigua and Barbuda
Meliaceae,Guarea macrophylla,Vahl,Antigua and Barbuda
Moraceae,Ficus americana,Aubl.,Antigua and Barbuda
Moraceae,Ficus citrifolia,Mill.,Antigua and Barbuda
Moraceae,Ficus nymphaeifolia,Mill.,Antigua and Barbuda
Myrtaceae,Eugenia axillaris,(Sw.) Willd.,Antigua and Barbuda
Myrtaceae,Eugenia biflora,(L.) DC.,Antigua and Barbuda
Myrtaceae,Eugenia confusa,DC.,Antigua and Barbuda
Myrtaceae,Eugenia ligustrina,(Sw.) Willd.,Antigua and Barbuda
Myrtaceae,Eugenia monticola,(Sw.) DC.,Antigua and Barbuda
Myrtaceae,Eugenia procera,(Sw.) Poir.,Antigua and Barbuda
Myrtaceae,Eugenia rhombea,(O.Berg) Krug & Urb.,Antigua and Barbuda
Myrtaceae,Myrcia citrifolia,(Aubl.) Urb.,Antigua and Barbuda
Myrtaceae,Myrcia splendens,(Sw.) DC.,Antigua and Barbuda
Myrtaceae,Myrcianthes fragrans,(Sw.) McVaugh,Antigua and Barbuda
Myrtaceae,Myrciaria floribunda,(H.West ex Willd.) O.Berg,Antigua and Barbuda
Myrtaceae,Psidium guajava,L.,Antigua and Barbuda
Nyctaginaceae,Guapira fragrans,(Dum.Cours.) Little,Antigua and Barbuda
Nyctaginaceae,Pisonia aculeata,L.,Antigua and Barbuda
Nyctaginaceae,Pisonia subcordata,Sw.,Antigua and Barbuda
Ochnaceae,Ouratea guildingii,(Planch.) Urb.,Antigua and Barbuda
Oleaceae,Chionanthus compactus,Sw.,Antigua and Barbuda
Oleaceae,Forestiera segregata,(Jacq.) Krug & Urb.,Antigua and Barbuda
Papaveraceae,Bocconia frutescens,L.,Antigua and Barbuda
Pentaphylacaceae,Ternstroemia elliptica,Sw.,Antigua and Barbuda
Pentaphylacaceae,Ternstroemia peduncularis,DC.,Antigua and Barbuda
Phyllanthaceae,Margaritaria nobilis,L.f.,Antigua and Barbuda
Phyllanthaceae,Phyllanthus epiphyllanthus,L.,Antigua and Barbuda
Phyllanthaceae,Richeria grandis,Vahl,Antigua and Barbuda
Picramniaceae,Picramnia pentandra,Sw.,Antigua and Barbuda
Piperaceae,Piper amalago,L.,Antigua and Barbuda
Piperaceae,Piper dilatatum,Rich.,Antigua and Barbuda
Piperaceae,Piper reticulatum,L.,Antigua and Barbuda
Polygonaceae,Coccoloba diversifolia,Jacq.,Antigua and Barbuda
Polygonaceae,Coccoloba krugii,Lindau,Antigua and Barbuda
Polygonaceae,Coccoloba pubescens,L.,Antigua and Barbuda
Polygonaceae,Coccoloba swartzii,Meisn.,Antigua and Barbuda
Polygonaceae,Coccoloba uvifera,(L.) L.,Antigua and Barbuda
Polygonaceae,Coccoloba venosa,L.,Antigua and Barbuda
Primulaceae,Ardisia escallonioides,Schltdl. & Cham.,Antigua and Barbuda
Primulaceae,Ardisia obovata,Desv. ex Ham.,Antigua and Barbuda
Primulaceae,Jacquinia armillaris,Jacq.,Antigua and Barbuda
Primulaceae,Jacquinia berteroi,Spreng.,Antigua and Barbuda
Rhamnaceae,Colubrina arborescens,(Mill.) Sarg.,Antigua and Barbuda
Rhamnaceae,Krugiodendron ferreum,(Vahl) Urb.,Antigua and Barbuda
Rhamnaceae,Sarcomphalus reticulatus,(Vahl) Urb.,Antigua and Barbuda
Rhizophoraceae,Rhizophora mangle,L.,Antigua and Barbuda
Rubiaceae,Chimarrhis cymosa,Jacq.,Antigua and Barbuda
Rubiaceae,Erithalis fruticosa,L.,Antigua and Barbuda
Rubiaceae,Erithalis odorifera,Jacq.,Antigua and Barbuda
Rubiaceae,Ernodea littoralis,Sw.,Antigua and Barbuda
Rubiaceae,Exostema caribaeum,(Jacq.) Schult.,Antigua and Barbuda
Rubiaceae,Faramea occidentalis,(L.) A.Rich.,Antigua and Barbuda
Rubiaceae,Guettarda odorata,(Jacq.) Lam.,Antigua and Barbuda
Rubiaceae,Hamelia patens,Jacq.,Antigua and Barbuda
Rubiaceae,Ixora ferrea,(Jacq.) Benth.,Antigua and Barbuda
Rubiaceae,Palicourea crocea,(Sw.) Schult.,Antigua and Barbuda
Rubiaceae,Palicourea domingensis,(Jacq.) DC.,Antigua and Barbuda
Rubiaceae,Randia aculeata,L.,Antigua and Barbuda
Rubiaceae,Rudgea citrifolia,(Sw.) K.Schum.,Antigua and Barbuda
Rubiaceae,Stenostomum acutatum,DC.,Antigua and Barbuda
Rubiaceae,Stenostomum coriaceum,(Vahl) Griseb.,Antigua and Barbuda
Rutaceae,Amyris elemifera,L.,Antigua and Barbuda
Rutaceae,Zanthoxylum martinicense,(Lam.) DC.,Antigua and Barbuda
Rutaceae,Zanthoxylum punctatum,Vahl,Antigua and Barbuda
Rutaceae,Zanthoxylum schreberi,(J.F.Gmel.) Reynel ex C.Nelson,Antigua and Barbuda
Rutaceae,Zanthoxylum tragodes,(L.) DC.,Antigua and Barbuda
Salicaceae,Casearia decandra,Jacq.,Antigua and Barbuda
Salicaceae,Casearia dodecandra,(Jacq.) T.Samar. & M.H.Alford,Antigua and Barbuda
Salicaceae,Prockia crucis,P.Browne ex L.,Antigua and Barbuda
Sapindaceae,Allophylus racemosus,Sw.,Antigua and Barbuda
Sapindaceae,Dodonaea viscosa,(L.) Jacq.,Antigua and Barbuda
Sapindaceae,Sapindus saponaria,L.,Antigua and Barbuda
Sapotaceae,Chrysophyllum argenteum,Jacq.,Antigua and Barbuda
Sapotaceae,Micropholis guyanensis,(A.DC.) Pierre,Antigua and Barbuda
Sapotaceae,Sideroxylon foetidissimum,Jacq.,Antigua and Barbuda
Sapotaceae,Sideroxylon obovatum,Lam.,Antigua and Barbuda
Sapotaceae,Sideroxylon salicifolium,(L.) Lam.,Antigua and Barbuda
Schoepfiaceae,Schoepfia schreberi,J.F.Gmel.,Antigua and Barbuda
Scrophulariaceae,Bontia daphnoides,L.,Antigua and Barbuda
Simaroubaceae,Castela erecta,Turpin,Antigua and Barbuda
Simaroubaceae,Simarouba amara,Aubl.,Antigua and Barbuda
Solanaceae,Acnistus arborescens,(L.) Schltdl.,Antigua and Barbuda
Solanaceae,Cestrum macrophyllum,Vent.,Antigua and Barbuda
Solanaceae,Solanum bahamense,L.,Antigua and Barbuda
Surianaceae,Suriana maritima,L.,Antigua and Barbuda
Urticaceae,Cecropia schreberiana,Miq.,Antigua and Barbuda
Verbenaceae,Citharexylum spinosum,L.,Antigua and Barbuda
Verbenaceae,Duranta erecta,L.,Antigua and Barbuda
Zygophyllaceae,Guaiacum officinale,L.,Antigua and Barbuda
