family,taxon,author,native to
Achatocarpaceae,Achatocarpus praecox,Griseb.,Argentina
Aextoxicaceae,Aextoxicon punctatum,Ruiz & Pav.,Argentina
Anacardiaceae,Astronium balansae,Engl.,Argentina
Anacardiaceae,Astronium fraxinifolium,Schott,Argentina
Anacardiaceae,Lithraea brasiliensis,Marchand,Argentina
Anacardiaceae,Lithraea molleoides,(Vell.) Engl.,Argentina
Anacardiaceae,Loxopterygium grisebachii,Hieron. & H. Lorentz,Argentina
Anacardiaceae,Mauria thaumatophylla,Loes.,Argentina
Anacardiaceae,Myracrodruon urundeuva,Allemão,Argentina
Anacardiaceae,Schinopsis balansae,Engl.,Argentina
Anacardiaceae,Schinopsis heterophylla,Ragon. & J. Castigl.,Argentina
Anacardiaceae,Schinopsis lorentzii,(Griseb.) Engl.,Argentina
Anacardiaceae,Schinus bumelioides,I.M.Johnst.,Argentina
Anacardiaceae,Schinus engleri,F.A. Barkley,Argentina
Anacardiaceae,Schinus fasciculata,(Griseb.) I.M. Johnst.,Argentina
Anacardiaceae,Schinus ferox,Hassl.,Argentina
Anacardiaceae,Schinus gracilipes,I.M.Johnst.,Argentina
Anacardiaceae,Schinus lentiscifolius,Marchand,Argentina
Anacardiaceae,Schinus longifolia,(Lindl.) Speg.,Argentina
Anacardiaceae,Schinus meyeri,F.A. Barkley,Argentina
Anacardiaceae,Schinus molle,L.,Argentina
Anacardiaceae,Schinus myrtifolia,(Griseb.) Cabrera,Argentina
Anacardiaceae,Schinus patagonicus,(Phil.) I.M. Johnst.,Argentina
Anacardiaceae,Schinus pilifera,I.M.Johnst.,Argentina
Anacardiaceae,Schinus polygama,(Cav.) Cabrera,Argentina
Anacardiaceae,Schinus terebinthifolia,Raddi,Argentina
Anacardiaceae,Schinus venturii,F.A.Barkley,Argentina
Annonaceae,Annona neosalicifolia,H.Rainer,Argentina
Annonaceae,Annona nutans,(R.E.Fr.) R.E.Fr.,Argentina
Apocynaceae,Aspidosperma australe,Müll.Arg.,Argentina
Apocynaceae,Aspidosperma polyneuron,Müll.Arg.,Argentina
Apocynaceae,Aspidosperma quebracho-blanco,Schltdl.,Argentina
Apocynaceae,Aspidosperma triternatum,Rojas Acosta,Argentina
Apocynaceae,Rauvolfia schuelii,Speg.,Argentina
Apocynaceae,Rauvolfia sellowii,Müll.Arg.,Argentina
Apocynaceae,Tabernaemontana catharinensis,A.DC.,Argentina
Apocynaceae,Vallesia glabra,(Cav.) Link,Argentina
Aquifoliaceae,Ilex affinis,Gardner,Argentina
Aquifoliaceae,Ilex argentina,Lillo,Argentina
Aquifoliaceae,Ilex brasiliensis,(Spreng.) Loes.,Argentina
Aquifoliaceae,Ilex brevicuspis,Reissek,Argentina
Aquifoliaceae,Ilex dumosa,Reissek,Argentina
Aquifoliaceae,Ilex paraguariensis,A.St.-Hil.,Argentina
Aquifoliaceae,Ilex theezans,Mart. ex Reissek,Argentina
Araliaceae,Aralia soratensis,Marchal,Argentina
Araliaceae,Aralia warmingiana,(Marchal) J.Wen,Argentina
Araliaceae,Dendropanax cuneatus,(DC.) Decne. & Planch.,Argentina
