family,taxon,author,native to
Amaranthaceae,Halostachys belangeriana,(Moq.) Botsch.,Armenia
Anacardiaceae,Cotinus coggygria,Scop.,Armenia
Anacardiaceae,Pistacia atlantica,Desf.,Armenia
Anacardiaceae,Pistacia eurycarpa,Yaltirik,Armenia
Anacardiaceae,Rhus coriaria,L.,Armenia
Betulaceae,Alnus incana,(L.) Moench,Armenia
Betulaceae,Betula pendula,Roth,Armenia
Betulaceae,Betula pubescens,Ehrh.,Armenia
Betulaceae,Carpinus betulus,L.,Armenia
Betulaceae,Carpinus orientalis,Mill.,Armenia
Betulaceae,Corylus avellana,L.,Armenia
Betulaceae,Corylus colurna,L.,Armenia
Cannabaceae,Celtis australis,L.,Armenia
Cannabaceae,Celtis planchoniana,K.I.Chr.,Armenia
Cannabaceae,Celtis tournefortii,Lam.,Armenia
Celastraceae,Euonymus europaeus,L.,Armenia
Celastraceae,Euonymus latifolius,(L.) Mill.,Armenia
Cornaceae,Cornus iberica,Woronow,Armenia
Cornaceae,Cornus mas,L.,Armenia
Cupressaceae,Juniperus communis,L.,Armenia
Cupressaceae,Juniperus deltoides,R.P.Adams,Armenia
Cupressaceae,Juniperus excelsa,M.Bieb.,Armenia
Cupressaceae,Juniperus foetidissima,Willd.,Armenia
Elaeagnaceae,Elaeagnus angustifolia,L.,Armenia
Elaeagnaceae,Hippophae rhamnoides,L.,Armenia
Ericaceae,Arbutus andrachne,L.,Armenia
Fagaceae,Castanea sativa,Mill.,Armenia
Fagaceae,Fagus orientalis,Lipsky,Armenia
Fagaceae,Quercus infectoria,G.Olivier,Armenia
Fagaceae,Quercus macranthera,Fisch. & C.A.Mey. ex Hohen.,Armenia
Fagaceae,Quercus petraea,(Matt.) Liebl.,Armenia
Fagaceae,Quercus robur,L.,Armenia
Juglandaceae,Juglans regia,L.,Armenia
Juglandaceae,Pterocarya fraxinifolia,(Lam.) Spach,Armenia
Lythraceae,Punica granatum,L.,Armenia
Malvaceae,Tilia cordata,Mill.,Armenia
Malvaceae,Tilia dasystyla,Steven,Armenia
Moraceae,Ficus carica,L.,Armenia
Oleaceae,Fraxinus angustifolia,Vahl,Armenia
Oleaceae,Fraxinus excelsior,L.,Armenia
Pinaceae,Abies nordmanniana,(Steven) Spach,Armenia
Pinaceae,Pinus brutia,Ten.,Armenia
Pinaceae,Pinus sylvestris,L.,Armenia
Rhamnaceae,Frangula alnus,Mill.,Armenia
Rhamnaceae,Ziziphus jujuba,Mill.,Armenia
Rosaceae,Cotoneaster morulus,Pojark.,Armenia
Rosaceae,Cotoneaster transcaucasicus,Pojark.,Armenia
Rosaceae,Crataegus azarolus,L.,Armenia
Rosaceae,Crataegus caucasica,C. Koch,Armenia
Rosaceae,Crataegus eriantha,Pojark.,Armenia
Rosaceae,Crataegus meyeri,Pojark.,Armenia
Rosaceae,Crataegus orientalis,Pall. ex M.Bieb.,Armenia
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Armenia
Rosaceae,Crataegus pseudoheterophylla,Pojark.,Armenia
Rosaceae,Crataegus rhipidophylla,Gand.,Armenia
Rosaceae,Crataegus ulotricha,Pojark. ex Gladkova,Armenia
Rosaceae,Malus orientalis,Uglitzk. ex Juz.,Armenia
Rosaceae,Mespilus germanica,L.,Armenia
Rosaceae,Prunus avium,(L.) L.,Armenia
Rosaceae,Prunus cerasifera,Ehrh.,Armenia
Rosaceae,Prunus fenzliana,Fritsch,Armenia
Rosaceae,Prunus mahaleb,L.,Armenia
Rosaceae,Prunus microcarpa,C.A.Mey.,Armenia
Rosaceae,Prunus padus,L.,Armenia
Rosaceae,Prunus spinosa,L.,Armenia
Rosaceae,Pyrus acutiserrata,Gladkova,Armenia
Rosaceae,Pyrus browiczii,Mulk.        ,Armenia
Rosaceae,Pyrus chosrovica,Gladkova,Armenia
Rosaceae,Pyrus communis,L.,Armenia
Rosaceae,Pyrus complexa,Rubtzov,Armenia
Rosaceae,Pyrus daralagezi,Mulk.       ,Armenia
Rosaceae,Pyrus demetrii,Kuth.        ,Armenia
Rosaceae,Pyrus elata,Rubtzov,Armenia
Rosaceae,Pyrus fedorovii,Kuth.,Armenia
Rosaceae,Pyrus georgica,Kuth.,Armenia
Rosaceae,Pyrus gergerana,Gladkova,Armenia
Rosaceae,Pyrus grossheimii,Fed.,Armenia
Rosaceae,Pyrus hajastana,Mulk.        ,Armenia
Rosaceae,Pyrus hyrcana,Fed.,Armenia
Rosaceae,Pyrus ketzkhovelii,Kuth.        ,Armenia
Rosaceae,Pyrus megrica,Gladkova,Armenia
Rosaceae,Pyrus nutans,Rubtzov,Armenia
Rosaceae,Pyrus oxyprion,Woronow,Armenia
Rosaceae,Pyrus raddeana,Woronow,Armenia
Rosaceae,Pyrus salicifolia,Pall.,Armenia
Rosaceae,Pyrus sosnovskyi,Fed.        ,Armenia
Rosaceae,Pyrus syriaca,Boiss.,Armenia
Rosaceae,Pyrus takhtadzhianii,Fed.,Armenia
Rosaceae,Pyrus tamamschiannae,Fed.,Armenia
Rosaceae,Pyrus theodorovii,Mulk.        ,Armenia
Rosaceae,Pyrus turcomanica,Maleev,Armenia
Rosaceae,Pyrus voronovii,Rubtzov,Armenia
Rosaceae,Pyrus vsevolodovii,T.S.Heideman,Armenia
Rosaceae,Pyrus zangezura,Maleev,Armenia
Rosaceae,Sorbus armeniaca,Hedl.,Armenia
Rosaceae,Sorbus aucuparia,L.,Armenia
Rosaceae,Sorbus caucasica,Zinserl.,Armenia
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Armenia
Rosaceae,Sorbus hajastana,Gabrieljan,Armenia
Rosaceae,Sorbus kusnetzovii,Zinserl.,Armenia
Rosaceae,Sorbus luristanica,(Bornm.) Schönb.-Tem.,Armenia
Rosaceae,Sorbus subfusca,(Ledeb. ex Nordm.) Boiss.,Armenia
Rosaceae,Sorbus takhtajanii,Gabrieljan,Armenia
Rosaceae,Sorbus tamamschjanae,Gabrieljan,Armenia
Rosaceae,Sorbus torminalis,Garsault,Armenia
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Armenia
Salicaceae,Populus alba,L.,Armenia
Salicaceae,Populus euphratica,Olivier,Armenia
Salicaceae,Populus nigra,L.,Armenia
Salicaceae,Populus tremula,L.,Armenia
Salicaceae,Salix aegyptiaca,L.,Armenia
Salicaceae,Salix alba,L.,Armenia
Salicaceae,Salix caprea,L.,Armenia
Salicaceae,Salix ebrusensis,Boiss.,Armenia
Salicaceae,Salix excelsa,S.G.Gmel.,Armenia
Salicaceae,Salix pentandrifolia,Sennikov,Armenia
Salicaceae,Salix pseudodepressa,A.K.Skvortsov,Armenia
Salicaceae,Salix pseudomedemii,E.L.Wolf,Armenia
Salicaceae,Salix triandra,L.,Armenia
Salicaceae,Salix viminalis,L.,Armenia
Sapindaceae,Acer campestre,L.,Armenia
Sapindaceae,Acer cappadocicum,Gled.,Armenia
Sapindaceae,Acer heldreichii,Orph. ex Boiss.,Armenia
Sapindaceae,Acer hyrcanum,Fisch. & C.A.Mey.,Armenia
Sapindaceae,Acer monspessulanum,L.,Armenia
Sapindaceae,Acer platanoides,L.,Armenia
Staphyleaceae,Staphylea pinnata,L.,Armenia
Tamaricaceae,Tamarix florida,Bunge,Armenia
Tamaricaceae,Tamarix hohenackeri,Bunge,Armenia
Tamaricaceae,Tamarix ramosissima,Ledeb.,Armenia
Tamaricaceae,Tamarix szovitsiana,Bunge,Armenia
Tamaricaceae,Tamarix tetragyna,Ehrenb.,Armenia
Taxaceae,Taxus baccata,L.,Armenia
Ulmaceae,Ulmus glabra,Huds.,Armenia
Ulmaceae,Ulmus minor,Mill.,Armenia
Viburnaceae,Sambucus nigra,L.,Armenia
Viburnaceae,Sambucus racemosa,L.,Armenia
