family,taxon,author,native to
Anacardiaceae,Spondias mombin,L.,Aruba
Annonaceae,Annona glabra,L.,Aruba
Annonaceae,Annona montana,Macfad.,Aruba
Annonaceae,Annona mucosa,Jacq.,Aruba
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Aruba
Asteraceae,Trixis inula,Crantz,Aruba
Bignoniaceae,Crescentia cujete,L.,Aruba
Bignoniaceae,Handroanthus billbergii,(Bureau & K.Schum.) S.O.Grose,Aruba
Boraginaceae,Bourreria succulenta,Jacq.,Aruba
Boraginaceae,Cordia dentata,Poir.,Aruba
Burseraceae,Bursera karsteniana,Engl.,Aruba
Burseraceae,Bursera simaruba,(L.) Sarg.,Aruba
Burseraceae,Bursera tomentosa,(Jacq.) Triana & Planch.,Aruba
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Aruba
Cactaceae,Leuenbergeria guamacho,(F.A.C.Weber) Lodé,Aruba
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Aruba
Capparaceae,Crateva tapia,L.,Aruba
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Aruba
Capparaceae,Cynophalla linearis,(Jacq.) J.Presl,Aruba
Capparaceae,Morisonia americana,L.,Aruba
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Aruba
Capparaceae,Quadrella odoratissima,(Jacq.) Hutch.,Aruba
Celastraceae,Crossopetalum rhacoma,Crantz,Aruba
Clusiaceae,Clusia rosea,Jacq.,Aruba
Euphorbiaceae,Croton flavens,L.,Aruba
Euphorbiaceae,Croton niveus,Jacq.,Aruba
Euphorbiaceae,Hippomane mancinella,L.,Aruba
Euphorbiaceae,Manihot carthagenensis,(Jacq.) Müll.Arg.,Aruba
Fabaceae,Geoffroea spinosa,Jacq.,Aruba
Fabaceae,Libidibia coriaria,(Jacq.) Schltdl.,Aruba
Fabaceae,Neltuma juliflora,(Sw.) Raf.,Aruba
Fabaceae,Parkinsonia aculeata,L.,Aruba
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Aruba
Fabaceae,Sophora tomentosa,L.,Aruba
Fabaceae,Vachellia tortuosa,(L.) Seigler & Ebinger,Aruba
Malpighiaceae,Malpighia glabra,L.,Aruba
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Aruba
Moraceae,Ficus citrifolia,Mill.,Aruba
Nyctaginaceae,Guapira fragrans,(Dum.Cours.) Little,Aruba
Nyctaginaceae,Guapira pacurero,(Kunth) Little,Aruba
Phyllanthaceae,Phyllanthus botryanthus,Müll.Arg.,Aruba
Polygonaceae,Coccoloba diversifolia,Jacq.,Aruba
Polygonaceae,Coccoloba swartzii,Meisn.,Aruba
Polygonaceae,Coccoloba uvifera,(L.) L.,Aruba
Rhamnaceae,Condalia henriquezii,Bold.,Aruba
Rhamnaceae,Krugiodendron ferreum,(Vahl) Urb.,Aruba
Rhizophoraceae,Rhizophora mangle,L.,Aruba
Rubiaceae,Erithalis fruticosa,L.,Aruba
Salicaceae,Casearia dodecandra,(Jacq.) T.Samar. & M.H.Alford,Aruba
Salicaceae,Casearia tremula,(Griseb.) Griseb. ex C.Wright,Aruba
Scrophulariaceae,Bontia daphnoides,L.,Aruba
Simaroubaceae,Castela erecta,Turpin,Aruba
