family,taxon,author,native to
Acanthaceae,Avicennia integra,N.C.Duke,Australia
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Australia
Achariaceae,Ryparosa javanica,Koord. & Valeton,Australia
Akaniaceae,Akania bidwillii,(Hend. ex R.Hogg) Mabb.,Australia
Anacardiaceae,Blepharocarya depauperata,Specht,Australia
Anacardiaceae,Blepharocarya involucrigera,F.Muell.,Australia
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Australia
Anacardiaceae,Buchanania mangoides,F.Muell.,Australia
Anacardiaceae,Buchanania obovata,Engl.,Australia
Anacardiaceae,Euroschinus falcatus,Hook.f.,Australia
Anacardiaceae,Pleiogynium timoriense,(DC.) Leenh.,Australia
Anacardiaceae,Rhodosphaera rhodanthema,(F.Muell.) Engl.,Australia
Anacardiaceae,Rhus taitensis,Guill.,Australia
Anacardiaceae,Semecarpus australiensis,Engl.,Australia
Annonaceae,Cananga odorata,(Lam.) Hook.f. & Thomson,Australia
Annonaceae,Goniothalamus australis,Jessup,Australia
Annonaceae,Huberantha nitidissima,(Dunal) Chaowasku,Australia
Annonaceae,Meiogyne bidwillii,"(Benth.) D.C.Thomas, Chaowasku & R.M.K.Saunders",Australia
Annonaceae,Meiogyne cylindrocarpa,(Burck) Heusden,Australia
Annonaceae,Meiogyne heteropetala,"(F.Muell.) D.C.Thomas, Chaowasku & R.M.K.Saunders",Australia
Annonaceae,Meiogyne trichocarpa,(Jessup) D.C.Thomas & R.M.K.Saunders,Australia
Annonaceae,Miliusa brahei,(F.Muell.) Jessup,Australia
Annonaceae,Miliusa horsfieldii,(Bennett) Baill. ex Pierre,Australia
Annonaceae,Miliusa traceyi,Jessup,Australia
Annonaceae,Mitrephora diversifolia,Miq.,Australia
Annonaceae,Monoon australe,(Benth.) B.Xue & R.M.K.Saunders,Australia
Annonaceae,Monoon michaelii,(C.T.White) B.Xue & R.M.K.Saunders,Australia
Annonaceae,Pseuduvaria froggattii,(F.Muell.) Jessup,Australia
Annonaceae,Xylopia maccreae,(F.Muell.) L.S.Sm.,Australia
Apocynaceae,Alstonia actinophylla,(A.Cunn.) K.Schum.,Australia
Apocynaceae,Alstonia constricta,F.Muell.,Australia
Apocynaceae,Alstonia muelleriana,Domin,Australia
Apocynaceae,Alstonia scholaris,(L.) R.Br.,Australia
Apocynaceae,Alstonia spectabilis,R.Br.,Australia
Apocynaceae,Alyxia ilicifolia,F.Muell.,Australia
Apocynaceae,Alyxia magnifolia,F.M.Bailey,Australia
Apocynaceae,Carissa spinarum,L.,Australia
Apocynaceae,Cerbera dumicola,P.I.Forst.,Australia
Apocynaceae,Cerbera floribunda,K.Schum.,Australia
Apocynaceae,Cerbera inflata,S.T.Blake,Australia
Apocynaceae,Cerbera manghas,L.,Australia
Apocynaceae,Cerbera odollam,Gaertn.,Australia
Apocynaceae,Kopsia arborea,Blume,Australia
Apocynaceae,Neisosperma poweri,(F.M.Bailey) Fosberg & Sachet,Australia
Apocynaceae,Ochrosia elliptica,Labill.,Australia
Apocynaceae,Ochrosia kilneri,F.Muell.,Australia
Apocynaceae,Ochrosia minima,(Markgr.) Fosberg & Boiteau,Australia
Apocynaceae,Ochrosia moorei,(F.Muell.) Benth.,Australia
Apocynaceae,Tabernaemontana pandacaqui,Poir.,Australia
Apocynaceae,Voacanga grandifolia,(Miq.) Rolfe,Australia
Apocynaceae,Wrightia laevis,Hook.f.,Australia
Apocynaceae,Wrightia pubescens,R.Br.,Australia
Apocynaceae,Wrightia saligna,(R.Br.) F.Muell. ex Benth.,Australia
Aquifoliaceae,Ilex arnhemensis,Loes.,Australia
Araliaceae,Heptapleurum actinophyllum,(Endl.) Lowry & G.M.Plunkett,Australia
Araliaceae,Heptapleurum bractescens,(Ridl.) Lowry & G.M.Plunkett,Australia
Araliaceae,Heptapleurum venulosum,(Wight & Arn.) Seem.,Australia
Araliaceae,Polyscias australiana,(F.Muell.) Philipson,Australia
Araliaceae,Polyscias balfouriana,(André) L.H.Bailey,Australia
Araliaceae,Polyscias cissodendron,(C.Moore & F.Muell.) Harms,Australia
Araliaceae,Polyscias elegans,(C.Moore & F.Muell.) Harms,Australia
Araliaceae,Polyscias macgillivrayi,(Benth.) Harms,Australia
Araliaceae,Polyscias mollis,(Benth.) Harms,Australia
Araliaceae,Polyscias murrayi,(F.Muell.) Harms,Australia
Araliaceae,Polyscias nodosa,(Blume) Seem.,Australia
Araliaceae,Polyscias purpurea,C.T.White,Australia
Araliaceae,Polyscias sambucifolia,(Sieber ex DC.) Harms,Australia
Araliaceae,Polyscias schultzei,Harms,Australia
Araliaceae,Polyscias spectabilis,(Harms) Lowry & G.M.Plunkett,Australia
Araucariaceae,Agathis atropurpurea,Hyland,Australia
Araucariaceae,Agathis microstachya,J.F.Bailey & C.T.White,Australia
Araucariaceae,Agathis robusta,(C.Moore ex F.Muell.) F.M.Bailey,Australia
Araucariaceae,Araucaria bidwillii,Hook.,Australia
Araucariaceae,Araucaria cunninghamii,Mudie,Australia
Araucariaceae,Wollemia nobilis,"W.G.Jones, K.D.Hill & J.M.Allen",Australia
Arecaceae,Archontophoenix alexandrae,(F.Muell.) H.Wendl. & Drude,Australia
Arecaceae,Archontophoenix cunninghamiana,(H.Wendl.) H.Wendl. & Drude,Australia
Arecaceae,Archontophoenix maxima,Dowe,Australia
Arecaceae,Archontophoenix myolensis,Dowe,Australia
Arecaceae,Archontophoenix purpurea,Hodel & Dowe,Australia
Arecaceae,Archontophoenix tuckeri,Dowe,Australia
Arecaceae,Arenga australasica,(H.Wendl. & Drude) S.T.Blake ex H.E.Moore,Australia
