family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Austria
Aquifoliaceae,Ilex aquifolium,L.,Austria
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Austria
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Austria
Betulaceae,Alnus incana,(L.) Moench,Austria
Betulaceae,Betula pendula,Roth,Austria
Betulaceae,Betula pubescens,Ehrh.,Austria
Betulaceae,Carpinus betulus,L.,Austria
Betulaceae,Corylus avellana,L.,Austria
Betulaceae,Ostrya carpinifolia,Scop.,Austria
Buxaceae,Buxus sempervirens,L.,Austria
Celastraceae,Euonymus europaeus,L.,Austria
Celastraceae,Euonymus latifolius,(L.) Mill.,Austria
Cornaceae,Cornus mas,L.,Austria
Cupressaceae,Juniperus communis,L.,Austria
Elaeagnaceae,Hippophae rhamnoides,L.,Austria
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Austria
Fabaceae,Laburnum anagyroides,Medik.,Austria
Fagaceae,Castanea sativa,Mill.,Austria
Fagaceae,Fagus sylvatica,L.,Austria
Fagaceae,Quercus cerris,L.,Austria
Fagaceae,Quercus petraea,(Matt.) Liebl.,Austria
Fagaceae,Quercus pubescens,Willd.,Austria
Fagaceae,Quercus robur,L.,Austria
Juglandaceae,Juglans regia,L.,Austria
Malvaceae,Tilia cordata,Mill.,Austria
Malvaceae,Tilia platyphyllos,Scop.,Austria
Oleaceae,Fraxinus angustifolia,Vahl,Austria
Oleaceae,Fraxinus excelsior,L.,Austria
Oleaceae,Fraxinus ornus,L.,Austria
Pinaceae,Abies alba,Mill.,Austria
Pinaceae,Larix decidua,Mill.,Austria
Pinaceae,Picea abies,(L.) H.Karst.,Austria
Pinaceae,Pinus cembra,L.,Austria
Pinaceae,Pinus mugo,Turra,Austria
Pinaceae,Pinus nigra,J.F.Arnold,Austria
Pinaceae,Pinus sylvestris,L.,Austria
Pinaceae,Pinus uncinata,Ramond ex DC.,Austria
Rhamnaceae,Frangula alnus,Mill.,Austria
Rhamnaceae,Rhamnus alpina,L.,Austria
Rhamnaceae,Rhamnus cathartica,L.,Austria
Rosaceae,Crataegus laevigata,(Poir.) DC.,Austria
Rosaceae,Crataegus monogyna,Jacq.,Austria
Rosaceae,Crataegus rhipidophylla,Gand.,Austria
Rosaceae,Malus sylvestris,(L.) Mill.,Austria
Rosaceae,Prunus avium,(L.) L.,Austria
Rosaceae,Prunus mahaleb,L.,Austria
Rosaceae,Prunus padus,L.,Austria
Rosaceae,Prunus spinosa,L.,Austria
Rosaceae,Pyrus communis,L.,Austria
Rosaceae,Pyrus nivalis,Jacq.,Austria
Rosaceae,Sorbus aria,(L.) Crantz,Austria
Rosaceae,Sorbus aucuparia,L.,Austria
Rosaceae,Sorbus austriaca,(Beck) Hedl.,Austria
Rosaceae,Sorbus collina,"M.Lepší, P.Lepší & N.Mey.",Austria
Rosaceae,Sorbus cucullifera,M.Lepší & P.Lepší,Austria
Rosaceae,Sorbus danubialis,(Jáv.) Kárpáti,Austria
Rosaceae,Sorbus domestica,L.        ,Austria
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Austria
Rosaceae,Sorbus mougeotii,Soy.-Will. & Godr.,Austria
Rosaceae,Sorbus slovenica,Kovanda,Austria
Rosaceae,Sorbus thayensis,M.Lepší & P.Lepší,Austria
Rosaceae,Sorbus torminalis,Garsault,Austria
Salicaceae,Populus alba,L.,Austria
Salicaceae,Populus nigra,L.,Austria
Salicaceae,Populus tremula,L.,Austria
Salicaceae,Salix alba,L.,Austria
Salicaceae,Salix appendiculata,Vill.,Austria
Salicaceae,Salix caprea,L.,Austria
Salicaceae,Salix cinerea,L.,Austria
Salicaceae,Salix daphnoides,Vill.,Austria
Salicaceae,Salix eleagnos,Scop.,Austria
Salicaceae,Salix myrsinifolia,Salisb.,Austria
Salicaceae,Salix pentandra,L.,Austria
Salicaceae,Salix purpurea,L.,Austria
Salicaceae,Salix triandra,L.,Austria
Salicaceae,Salix viminalis,L.,Austria
Sapindaceae,Acer campestre,L.,Austria
Sapindaceae,Acer platanoides,L.,Austria
Sapindaceae,Acer pseudoplatanus,L.,Austria
Sapindaceae,Acer tataricum,L.,Austria
Staphyleaceae,Staphylea pinnata,L.,Austria
Taxaceae,Taxus baccata,L.,Austria
Ulmaceae,Ulmus glabra,Huds.,Austria
Ulmaceae,Ulmus laevis,Pall.,Austria
Ulmaceae,Ulmus minor,Mill.,Austria
Viburnaceae,Sambucus nigra,L.,Austria
Viburnaceae,Sambucus racemosa,L.,Austria
