family,taxon,author,native to
Amaranthaceae,Halostachys belangeriana,(Moq.) Botsch.,Azerbaijan
Anacardiaceae,Cotinus coggygria,Scop.,Azerbaijan
Anacardiaceae,Pistacia atlantica,Desf.,Azerbaijan
Anacardiaceae,Pistacia terebinthus,L.,Azerbaijan
Anacardiaceae,Rhus coriaria,L.,Azerbaijan
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Azerbaijan
Betulaceae,Alnus incana,(L.) Moench,Azerbaijan
Betulaceae,Alnus subcordata,C.A.Mey.,Azerbaijan
Betulaceae,Betula pendula,Roth,Azerbaijan
Betulaceae,Betula pubescens,Ehrh.,Azerbaijan
Betulaceae,Betula raddeana,Trautv.,Azerbaijan
Betulaceae,Carpinus betulus,L.,Azerbaijan
Betulaceae,Carpinus orientalis,Mill.,Azerbaijan
Betulaceae,Corylus avellana,L.,Azerbaijan
Betulaceae,Corylus colurna,L.,Azerbaijan
Betulaceae,Ostrya carpinifolia,Scop.,Azerbaijan
Buxaceae,Buxus sempervirens,L.,Azerbaijan
Cannabaceae,Celtis australis,L.,Azerbaijan
Cannabaceae,Celtis planchoniana,K.I.Chr.,Azerbaijan
Cannabaceae,Celtis tournefortii,Lam.,Azerbaijan
Celastraceae,Euonymus europaeus,L.,Azerbaijan
Celastraceae,Euonymus latifolius,(L.) Mill.,Azerbaijan
Cornaceae,Cornus iberica,Woronow,Azerbaijan
Cornaceae,Cornus mas,L.,Azerbaijan
Cupressaceae,Juniperus communis,L.,Azerbaijan
Cupressaceae,Juniperus deltoides,R.P.Adams,Azerbaijan
Cupressaceae,Juniperus excelsa,M.Bieb.,Azerbaijan
Cupressaceae,Juniperus foetidissima,Willd.,Azerbaijan
Cupressaceae,Juniperus oxycedrus,L.,Azerbaijan
Ebenaceae,Diospyros lotus,L.,Azerbaijan
Elaeagnaceae,Elaeagnus angustifolia,L.,Azerbaijan
Elaeagnaceae,Hippophae rhamnoides,L.,Azerbaijan
Ericaceae,Arbutus andrachne,L.,Azerbaijan
Fabaceae,Albizia julibrissin,Durazz.,Azerbaijan
Fabaceae,Gleditsia caspica,Desf.,Azerbaijan
Fagaceae,Castanea sativa,Mill.,Azerbaijan
Fagaceae,Fagus orientalis,Lipsky,Azerbaijan
Fagaceae,Quercus castaneifolia,C.A.Mey.,Azerbaijan
Fagaceae,Quercus infectoria,G.Olivier,Azerbaijan
Fagaceae,Quercus macranthera,Fisch. & C.A.Mey. ex Hohen.,Azerbaijan
Fagaceae,Quercus petraea,(Matt.) Liebl.,Azerbaijan
Fagaceae,Quercus pubescens,Willd.,Azerbaijan
Fagaceae,Quercus robur,L.,Azerbaijan
Hamamelidaceae,Parrotia persica,C.A.Mey.,Azerbaijan
Juglandaceae,Juglans regia,L.,Azerbaijan
Juglandaceae,Pterocarya fraxinifolia,(Lam.) Spach,Azerbaijan
Lythraceae,Punica granatum,L.,Azerbaijan
Malvaceae,Tilia cordata,Mill.,Azerbaijan
Malvaceae,Tilia platyphyllos,Scop.,Azerbaijan
Moraceae,Ficus carica,L.,Azerbaijan
Oleaceae,Fraxinus angustifolia,Vahl,Azerbaijan
Oleaceae,Fraxinus excelsior,L.,Azerbaijan
Pinaceae,Abies nordmanniana,(Steven) Spach,Azerbaijan
Pinaceae,Pinus brutia,Ten.,Azerbaijan
Pinaceae,Pinus sylvestris,L.,Azerbaijan
Platanaceae,Platanus orientalis,L.,Azerbaijan
Rhamnaceae,Frangula alnus,Mill.,Azerbaijan
Rhamnaceae,Frangula grandifolia,(Fisch. & C.A.Mey.) Grubov,Azerbaijan
Rhamnaceae,Rhamnus cathartica,L.,Azerbaijan
Rhamnaceae,Ziziphus jujuba,Mill.,Azerbaijan
Rosaceae,Cotoneaster morulus,Pojark.,Azerbaijan
Rosaceae,Cotoneaster transcaucasicus,Pojark.,Azerbaijan
Rosaceae,Crataegus caucasica,C. Koch,Azerbaijan
Rosaceae,Crataegus eriantha,Pojark.,Azerbaijan
Rosaceae,Crataegus meyeri,Pojark.,Azerbaijan
Rosaceae,Crataegus orientalis,Pall. ex M.Bieb.,Azerbaijan
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Azerbaijan
Rosaceae,Crataegus pseudoheterophylla,Pojark.,Azerbaijan
Rosaceae,Crataegus rhipidophylla,Gand.,Azerbaijan
Rosaceae,Cydonia oblonga,Mill.,Azerbaijan
Rosaceae,Malus orientalis,Uglitzk. ex Juz.,Azerbaijan
Rosaceae,Mespilus germanica,L.,Azerbaijan
Rosaceae,Prunus avium,(L.) L.,Azerbaijan
Rosaceae,Prunus cerasifera,Ehrh.,Azerbaijan
Rosaceae,Prunus fenzliana,Fritsch,Azerbaijan
Rosaceae,Prunus laurocerasus,L.,Azerbaijan
Rosaceae,Prunus mahaleb,L.,Azerbaijan
Rosaceae,Prunus microcarpa,C.A.Mey.,Azerbaijan
Rosaceae,Prunus padus,L.,Azerbaijan
Rosaceae,Prunus spinosa,L.,Azerbaijan
Rosaceae,Pyrus acutiserrata,Gladkova,Azerbaijan
Rosaceae,Pyrus boissieriana,Buhse,Azerbaijan
Rosaceae,Pyrus chosrovica,Gladkova,Azerbaijan
Rosaceae,Pyrus communis,L.,Azerbaijan
Rosaceae,Pyrus georgica,Kuth.,Azerbaijan
Rosaceae,Pyrus grossheimii,Fed.,Azerbaijan
Rosaceae,Pyrus hyrcana,Fed.,Azerbaijan
Rosaceae,Pyrus megrica,Gladkova,Azerbaijan
Rosaceae,Pyrus nutans,Rubtzov,Azerbaijan
Rosaceae,Pyrus oxyprion,Woronow,Azerbaijan
Rosaceae,Pyrus raddeana,Woronow,Azerbaijan
Rosaceae,Pyrus salicifolia,Pall.,Azerbaijan
Rosaceae,Pyrus takhtadzhianii,Fed.,Azerbaijan
Rosaceae,Pyrus voronovii,Rubtzov,Azerbaijan
Rosaceae,Pyrus vsevolodovii,T.S.Heideman,Azerbaijan
Rosaceae,Pyrus zangezura,Maleev,Azerbaijan
Rosaceae,Sorbus armeniaca,Hedl.,Azerbaijan
Rosaceae,Sorbus aucuparia,L.,Azerbaijan
Rosaceae,Sorbus caucasica,Zinserl.,Azerbaijan
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Azerbaijan
Rosaceae,Sorbus kusnetzovii,Zinserl.,Azerbaijan
Rosaceae,Sorbus persica,Hedl.,Azerbaijan
Rosaceae,Sorbus subfusca,(Ledeb. ex Nordm.) Boiss.,Azerbaijan
Rosaceae,Sorbus takhtajanii,Gabrieljan,Azerbaijan
Rosaceae,Sorbus tamamschjanae,Gabrieljan,Azerbaijan
Rosaceae,Sorbus torminalis,Garsault,Azerbaijan
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Azerbaijan
Salicaceae,Populus alba,L.,Azerbaijan
Salicaceae,Populus caspica,Bornm.,Azerbaijan
Salicaceae,Populus euphratica,Olivier,Azerbaijan
Salicaceae,Populus hyrcana,Grossh.,Azerbaijan
Salicaceae,Populus nigra,L.,Azerbaijan
Salicaceae,Populus tremula,L.,Azerbaijan
Salicaceae,Salix aegyptiaca,L.,Azerbaijan
Salicaceae,Salix alba,L.,Azerbaijan
Salicaceae,Salix caprea,L.,Azerbaijan
Salicaceae,Salix cinerea,L.,Azerbaijan
Salicaceae,Salix ebrusensis,Boiss.,Azerbaijan
Salicaceae,Salix excelsa,S.G.Gmel.,Azerbaijan
Salicaceae,Salix pentandra,L.,Azerbaijan
Salicaceae,Salix pentandrifolia,Sennikov,Azerbaijan
Salicaceae,Salix pseudomedemii,E.L.Wolf,Azerbaijan
Salicaceae,Salix triandra,L.,Azerbaijan
Sapindaceae,Acer campestre,L.,Azerbaijan
Sapindaceae,Acer cappadocicum,Gled.,Azerbaijan
Sapindaceae,Acer heldreichii,Orph. ex Boiss.,Azerbaijan
Sapindaceae,Acer hyrcanum,Fisch. & C.A.Mey.,Azerbaijan
Sapindaceae,Acer monspessulanum,L.,Azerbaijan
Sapindaceae,Acer platanoides,L.,Azerbaijan
Sapindaceae,Acer pseudoplatanus,L.,Azerbaijan
Sapindaceae,Acer velutinum,Boiss.,Azerbaijan
Tamaricaceae,Tamarix florida,Bunge,Azerbaijan
Tamaricaceae,Tamarix hohenackeri,Bunge,Azerbaijan
Tamaricaceae,Tamarix ramosissima,Ledeb.,Azerbaijan
Tamaricaceae,Tamarix tetragyna,Ehrenb.,Azerbaijan
Tamaricaceae,Tamarix tetrandra,Pall. ex M.Bieb.,Azerbaijan
Taxaceae,Taxus baccata,L.,Azerbaijan
Ulmaceae,Ulmus glabra,Huds.,Azerbaijan
Ulmaceae,Ulmus minor,Mill.,Azerbaijan
Ulmaceae,Zelkova carpinifolia,(Pall.) K. Koch,Azerbaijan
Viburnaceae,Sambucus nigra,L.,Azerbaijan
