family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Bangladesh
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Bangladesh
Acanthaceae,Avicennia officinalis,L.,Bangladesh
Achariaceae,Gynocardia odorata,R.Br.,Bangladesh
Actinidiaceae,Saurauia roxburghii,Wall.,Bangladesh
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,Bangladesh
Anacardiaceae,Buchanania glabra,Wall. ex Engl.,Bangladesh
Anacardiaceae,Buchanania lancifolia,Roxb.,Bangladesh
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Bangladesh
Anacardiaceae,Gluta tavoyana,Hook.f.,Bangladesh
Anacardiaceae,Holigarna caustica,(Dennst.) Oken,Bangladesh
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,Bangladesh
Anacardiaceae,Mangifera sylvatica,Roxb.,Bangladesh
Anacardiaceae,Searsia paniculata,(Wall. ex G.Don) Moffett,Bangladesh
Anacardiaceae,Searsia parviflora,(Roxb.) F.A.Barkley,Bangladesh
Anacardiaceae,Semecarpus anacardium,L.f.,Bangladesh
Anacardiaceae,Semecarpus prainii,King,Bangladesh
Annonaceae,Alphonsea lutea,(Roxb.) Hook.f. & Thomson,Bangladesh
Annonaceae,Alphonsea ventricosa,(Roxb.) Hook.f. & Thomson,Bangladesh
Annonaceae,Dasymaschalon longiflorum,(Roxb.) Finet & Gagnep.,Bangladesh
Annonaceae,Huberantha jenkinsii,(Hook.f. & Thomson) Chaowasku,Bangladesh
Annonaceae,Miliusa dioeca,(Roxb.) Chaowasku & Kessler,Bangladesh
Annonaceae,Miliusa sclerocarpa,(A.DC.) Kurz,Bangladesh
Annonaceae,Miliusa tomentosa,(Roxb.) Finet & Gagnep.,Bangladesh
Annonaceae,Monoon simiarum,(Buch.-Ham. ex Hook.f. & Thomson) B.Xue & R.M.K.Saunders,Bangladesh
Annonaceae,Orophea polycarpa,A.DC.,Bangladesh
Annonaceae,Sageraea listeri,King,Bangladesh
Apocynaceae,Alstonia scholaris,(L.) R.Br.,Bangladesh
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Bangladesh
Apocynaceae,Carissa carandas,L.,Bangladesh
Apocynaceae,Carissa spinarum,L.,Bangladesh
Apocynaceae,Cerbera manghas,L.,Bangladesh
Apocynaceae,Cerbera odollam,Gaertn.,Bangladesh
Apocynaceae,Holarrhena pubescens,Wall. ex G.Don,Bangladesh
Apocynaceae,Tabernaemontana divaricata,(L.) R.Br. ex Roem. & Schult.,Bangladesh
Apocynaceae,Wrightia arborea,(Dennst.) Mabb.,Bangladesh
Apocynaceae,Wrightia tinctoria,(Roxb.) R.Br.,Bangladesh
Aquifoliaceae,Ilex embelioides,Hook.f.,Bangladesh
Aquifoliaceae,Ilex excelsa,(Wall.) Voigt,Bangladesh
Aquifoliaceae,Ilex odorata,Buch.-Ham. ex D.Don,Bangladesh
Aquifoliaceae,Ilex triflora,Blume,Bangladesh
Aquifoliaceae,Ilex umbellulata,(Wall.) Loes.,Bangladesh
Araliaceae,Aralia foliolosa,Seem. ex C.B.Clarke,Bangladesh
Araliaceae,Aralia leschenaultii,(DC.) J.Wen,Bangladesh
Araliaceae,Brassaiopsis aculeata,(Buch.-Ham. ex D.Don) Seem.,Bangladesh
Araliaceae,Brassaiopsis griffithii,C.B.Clarke,Bangladesh
Araliaceae,Heptapleurum calyptratum,(Hook.f. & Thomson) Y.F.Deng,Bangladesh
Araliaceae,Heptapleurum hypoleucum,Kurz,Bangladesh
Araliaceae,Heptapleurum venulosum,(Wight & Arn.) Seem.,Bangladesh
Araliaceae,Macropanax undulatus,(Wall. ex G.Don) Seem.,Bangladesh
Araliaceae,Trevesia palmata,(Roxb. ex Lindl.) Vis.,Bangladesh
Arecaceae,Areca triandra,Roxb. ex Buch.-Ham.,Bangladesh
Arecaceae,Arenga pinnata,(Wurmb) Merr.,Bangladesh
Arecaceae,Borassus flabellifer,L.,Bangladesh
