family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Barbados
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Barbados
Anacardiaceae,Spondias mombin,L.,Barbados
Annonaceae,Annona glabra,L.,Barbados
Annonaceae,Annona montana,Macfad.,Barbados
Annonaceae,Annona mucosa,Jacq.,Barbados
Apocynaceae,Plumeria alba,L.,Barbados
Arecaceae,Aiphanes minima,(Gaertn.) Burret,Barbados
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,Barbados
Arecaceae,Desmoncus polyacanthos,Mart.,Barbados
Arecaceae,Roystonea oleracea,(Jacq.) O.F.Cook,Barbados
Bignoniaceae,Crescentia cujete,L.,Barbados
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Barbados
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Barbados
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Barbados
Boraginaceae,Bourreria succulenta,Jacq.,Barbados
Boraginaceae,Cordia collococca,L.,Barbados
Boraginaceae,Cordia dentata,Poir.,Barbados
Boraginaceae,Cordia sebestena,L.,Barbados
Boraginaceae,Cordia sulcata,A.DC.,Barbados
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,Barbados
Burseraceae,Bursera simaruba,(L.) Sarg.,Barbados
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Barbados
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Barbados
Calophyllaceae,Mammea americana,L.,Barbados
Canellaceae,Canella winterana,(L.) Gaertn.,Barbados
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Barbados
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Barbados
Capparaceae,Crateva tapia,L.,Barbados
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Barbados
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Barbados
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Barbados
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Barbados
Chrysobalanaceae,Chrysobalanus icaco,L.,Barbados
Clusiaceae,Clusia plukenetii,Urb.,Barbados
Combretaceae,Conocarpus erectus,L.,Barbados
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Barbados
Combretaceae,Terminalia buceras,(L.) C.Wright,Barbados
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Barbados
Erythroxylaceae,Erythroxylum havanense,Jacq.,Barbados
Euphorbiaceae,Actinostemon caribaeus,Griseb.,Barbados
Euphorbiaceae,Croton flavens,L.,Barbados
Euphorbiaceae,Hippomane mancinella,L.,Barbados
Euphorbiaceae,Hura crepitans,L.,Barbados
Euphorbiaceae,Jatropha curcas,L.,Barbados
Euphorbiaceae,Jatropha multifida,L.,Barbados
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Barbados
Fabaceae,Acaciella glauca,(L.) L.Rico,Barbados
Fabaceae,Bauhinia aculeata,L.,Barbados
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Barbados
Fabaceae,Erythrina corallodendron,L.,Barbados
Fabaceae,Hymenaea courbaril,L.,Barbados
Fabaceae,Inga laurina,(Sw.) Willd.,Barbados
Fabaceae,Libidibia coriaria,(Jacq.) Schltdl.,Barbados
Fabaceae,Lonchocarpus violaceus,(Jacq.) Kunth ex DC.,Barbados
Fabaceae,Neltuma juliflora,(Sw.) Raf.,Barbados
Fabaceae,Parkinsonia aculeata,L.,Barbados
Fabaceae,Piscidia carthagenensis,Jacq.,Barbados
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Barbados
Fabaceae,Senna atomaria,(L.) H.S.Irwin & Barneby,Barbados
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Barbados
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Barbados
Fabaceae,Vachellia tortuosa,(L.) Seigler & Ebinger,Barbados
Fabaceae,Zygia latifolia,(L.) Fawc. & Rendle,Barbados
Heliotropiaceae,Tournefortia bicolor,Sw.,Barbados
Hernandiaceae,Hernandia sonora,L.,Barbados
Lamiaceae,Aegiphila martinicensis,Jacq.,Barbados
Lamiaceae,Vitex divaricata,Sw.,Barbados
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Barbados
Lauraceae,Nectandra membranacea,(Sw.) Griseb.,Barbados
Malpighiaceae,Bunchosia polystachia,(Andrews) DC.,Barbados
Malpighiaceae,Byrsonima crassifolia,(L.) Kunth,Barbados
Malpighiaceae,Byrsonima lucida,(Mill.) DC.,Barbados
Malpighiaceae,Byrsonima spicata,(Cav.) Rich. ex Kunth,Barbados
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Barbados
Malvaceae,Guazuma ulmifolia,Lam.,Barbados
Malvaceae,Hibiscus tiliaceus,L.,Barbados
Malvaceae,Pavonia spinifex,(L.) Cav.,Barbados
Malvaceae,Quararibea turbinata,(Sw.) Poir.,Barbados
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Barbados
Malvaceae,Triumfetta semitriloba,Jacq.,Barbados
Melastomataceae,Miconia laevigata,(L.) D. Don,Barbados
Meliaceae,Cedrela odorata,L.,Barbados
Moraceae,Ficus citrifolia,Mill.,Barbados
Moraceae,Maclura tinctoria,(L.) D.Don ex Steud.,Barbados
Myrtaceae,Eugenia chrysobalanoides,DC.,Barbados
Myrtaceae,Eugenia domingensis,O.Berg,Barbados
Myrtaceae,Eugenia ligustrina,(Sw.) Willd.,Barbados
Myrtaceae,Eugenia monticola,(Sw.) DC.,Barbados
Myrtaceae,Eugenia procera,(Sw.) Poir.,Barbados
Myrtaceae,Myrcia citrifolia,(Aubl.) Urb.,Barbados
Myrtaceae,Pimenta racemosa,(Mill.) J.W.Moore,Barbados
Myrtaceae,Psidium guajava,L.,Barbados
Nyctaginaceae,Guapira fragrans,(Dum.Cours.) Little,Barbados
Nyctaginaceae,Pisonia aculeata,L.,Barbados
Phyllanthaceae,Phyllanthus epiphyllanthus,L.,Barbados
Piperaceae,Piper aduncum,L.,Barbados
Piperaceae,Piper amalago,L.,Barbados
Piperaceae,Piper dilatatum,Rich.,Barbados
Polygonaceae,Coccoloba pubescens,L.,Barbados
Polygonaceae,Coccoloba swartzii,Meisn.,Barbados
Polygonaceae,Coccoloba uvifera,(L.) L.,Barbados
Polygonaceae,Coccoloba venosa,L.,Barbados
Primulaceae,Ardisia escallonioides,Schltdl. & Cham.,Barbados
Primulaceae,Ardisia obovata,Desv. ex Ham.,Barbados
Primulaceae,Jacquinia armillaris,Jacq.,Barbados
Rhamnaceae,Colubrina arborescens,(Mill.) Sarg.,Barbados
Rhizophoraceae,Rhizophora mangle,L.,Barbados
Rubiaceae,Erithalis fruticosa,L.,Barbados
Rubiaceae,Erithalis odorifera,Jacq.,Barbados
Rubiaceae,Faramea occidentalis,(L.) A.Rich.,Barbados
Rubiaceae,Ixora ferrea,(Jacq.) Benth.,Barbados
Rutaceae,Zanthoxylum caribaeum,Lam.,Barbados
Rutaceae,Zanthoxylum martinicense,(Lam.) DC.,Barbados
Rutaceae,Zanthoxylum punctatum,Vahl,Barbados
Rutaceae,Zanthoxylum rhoifolium,Lam.,Barbados
Rutaceae,Zanthoxylum schreberi,(J.F.Gmel.) Reynel ex C.Nelson,Barbados
Rutaceae,Zanthoxylum tragodes,(L.) DC.,Barbados
Salicaceae,Casearia decandra,Jacq.,Barbados
Salicaceae,Casearia guianensis,(Aubl.) Urb.,Barbados
Salicaceae,Casearia sylvestris,Sw.,Barbados
Sapindaceae,Allophylus racemosus,Sw.,Barbados
Sapindaceae,Cupania americana,L.,Barbados
Sapindaceae,Sapindus saponaria,L.,Barbados
Sapotaceae,Chrysophyllum argenteum,Jacq.,Barbados
Sapotaceae,Chrysophyllum oliviforme,L.,Barbados
Sapotaceae,Sideroxylon foetidissimum,Jacq.,Barbados
Sapotaceae,Sideroxylon salicifolium,(L.) Lam.,Barbados
Schoepfiaceae,Schoepfia schreberi,J.F.Gmel.,Barbados
Scrophulariaceae,Bontia daphnoides,L.,Barbados
Simaroubaceae,Simarouba amara,Aubl.,Barbados
Solanaceae,Acnistus arborescens,(L.) Schltdl.,Barbados
Solanaceae,Cestrum latifolium,Lam.,Barbados
Solanaceae,Cestrum macrophyllum,Vent.,Barbados
Solanaceae,Solanum bahamense,L.,Barbados
Surianaceae,Suriana maritima,L.,Barbados
Urticaceae,Boehmeria ramiflora,Jacq.,Barbados
Urticaceae,Cecropia peltata,L.,Barbados
Urticaceae,Cecropia schreberiana,Miq.,Barbados
Verbenaceae,Citharexylum spinosum,L.,Barbados
Verbenaceae,Duranta erecta,L.,Barbados
Zygophyllaceae,Guaiacum officinale,L.,Barbados
