family,taxon,author,native to
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Belarus
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Belarus
Betulaceae,Alnus incana,(L.) Moench,Belarus
Betulaceae,Betula pendula,Roth,Belarus
Betulaceae,Betula pubescens,Ehrh.,Belarus
Betulaceae,Carpinus betulus,L.,Belarus
Betulaceae,Corylus avellana,L.,Belarus
Celastraceae,Euonymus europaeus,L.,Belarus
Elaeagnaceae,Elaeagnus angustifolia,L.,Belarus
Fabaceae,Anagyris foetida,L.,Belarus
Fagaceae,Castanea sativa,Mill.,Belarus
Fagaceae,Quercus petraea,(Matt.) Liebl.,Belarus
Fagaceae,Quercus robur,L.,Belarus
Oleaceae,Fraxinus excelsior,L.,Belarus
Pinaceae,Picea abies,(L.) H.Karst.,Belarus
Pinaceae,Pinus sylvestris,L.,Belarus
Rhamnaceae,Frangula alnus,Mill.,Belarus
Rhamnaceae,Rhamnus cathartica,L.,Belarus
Rosaceae,Crataegus laevigata,(Poir.) DC.,Belarus
Rosaceae,Crataegus monogyna,Jacq.,Belarus
Rosaceae,Crataegus rhipidophylla,Gand.,Belarus
Rosaceae,Malus sylvestris,(L.) Mill.,Belarus
Rosaceae,Prunus avium,(L.) L.,Belarus
Rosaceae,Prunus padus,L.,Belarus
Rosaceae,Prunus spinosa,L.,Belarus
Rosaceae,Pyrus communis,L.,Belarus
Salicaceae,Populus alba,L.,Belarus
Salicaceae,Populus nigra,L.,Belarus
Salicaceae,Populus tremula,L.,Belarus
Salicaceae,Salix acutifolia,Willd.,Belarus
Salicaceae,Salix caprea,L.,Belarus
Salicaceae,Salix cinerea,L.,Belarus
Salicaceae,Salix daphnoides,Vill.,Belarus
Salicaceae,Salix myrsinifolia,Salisb.,Belarus
Salicaceae,Salix pentandra,L.,Belarus
Salicaceae,Salix phylicifolia,L.,Belarus
Salicaceae,Salix purpurea,L.,Belarus
Salicaceae,Salix triandra,L.,Belarus
Salicaceae,Salix viminalis,L.,Belarus
Sapindaceae,Acer campestre,L.,Belarus
Sapindaceae,Acer platanoides,L.,Belarus
Ulmaceae,Ulmus glabra,Huds.,Belarus
Ulmaceae,Ulmus minor,Mill.,Belarus
Viburnaceae,Sambucus nigra,L.,Belarus
