family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Belgium
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Belgium
Betulaceae,Betula pendula,Roth,Belgium
Betulaceae,Betula pubescens,Ehrh.,Belgium
Betulaceae,Carpinus betulus,L.,Belgium
Betulaceae,Corylus avellana,L.,Belgium
Buxaceae,Buxus sempervirens,L.,Belgium
Celastraceae,Euonymus europaeus,L.,Belgium
Cornaceae,Cornus mas,L.,Belgium
Cupressaceae,Juniperus communis,L.,Belgium
Elaeagnaceae,Hippophae rhamnoides,L.,Belgium
Fagaceae,Fagus sylvatica,L.,Belgium
Fagaceae,Quercus petraea,(Matt.) Liebl.,Belgium
Fagaceae,Quercus pubescens,Willd.,Belgium
Fagaceae,Quercus robur,L.,Belgium
Malvaceae,Tilia cordata,Mill.,Belgium
Malvaceae,Tilia platyphyllos,Scop.,Belgium
Oleaceae,Fraxinus excelsior,L.,Belgium
Rhamnaceae,Frangula alnus,Mill.,Belgium
Rhamnaceae,Rhamnus cathartica,L.,Belgium
Rosaceae,Crataegus laevigata,(Poir.) DC.,Belgium
Rosaceae,Crataegus monogyna,Jacq.,Belgium
Rosaceae,Crataegus rhipidophylla,Gand.,Belgium
Rosaceae,Malus sylvestris,(L.) Mill.,Belgium
Rosaceae,Prunus avium,(L.) L.,Belgium
Rosaceae,Prunus mahaleb,L.,Belgium
Rosaceae,Prunus padus,L.,Belgium
Rosaceae,Prunus spinosa,L.,Belgium
Rosaceae,Pyrus communis,L.,Belgium
Rosaceae,Pyrus nivalis,Jacq.,Belgium
Rosaceae,Sorbus aria,(L.) Crantz,Belgium
Rosaceae,Sorbus aucuparia,L.,Belgium
Rosaceae,Sorbus torminalis,Garsault,Belgium
Salicaceae,Populus nigra,L.,Belgium
Salicaceae,Populus tremula,L.,Belgium
Salicaceae,Salix alba,L.,Belgium
Salicaceae,Salix atrocinerea,Brot.,Belgium
Salicaceae,Salix caprea,L.,Belgium
Salicaceae,Salix cinerea,L.,Belgium
Salicaceae,Salix pentandra,L.,Belgium
Salicaceae,Salix purpurea,L.,Belgium
Salicaceae,Salix triandra,L.,Belgium
Salicaceae,Salix viminalis,L.,Belgium
Sapindaceae,Acer campestre,L.,Belgium
Sapindaceae,Acer pseudoplatanus,L.,Belgium
Taxaceae,Taxus baccata,L.,Belgium
Ulmaceae,Ulmus glabra,Huds.,Belgium
Ulmaceae,Ulmus laevis,Pall.,Belgium
Ulmaceae,Ulmus minor,Mill.,Belgium
Viburnaceae,Sambucus nigra,L.,Belgium
Viburnaceae,Sambucus racemosa,L.,Belgium
