family,taxon,author,native to
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Belize
Acanthaceae,Avicennia germinans,(L.) L.,Belize
Acanthaceae,Bravaisia berlandieriana,(Nees) T.F.Daniel,Belize
Acanthaceae,Bravaisia grandiflora,Donn.Sm.,Belize
Acanthaceae,Justicia aurea,Schltdl.,Belize
Acanthaceae,Justicia eburnea,D.N.Gibson,Belize
Acanthaceae,Justicia spicigera,Schltdl.,Belize
Acanthaceae,Louteridium donnell-smithii,S.Watson,Belize
Achariaceae,Chiangiodendron mexicanum,Wendt,Belize
Achariaceae,Lindackeria laurina,C.Presl,Belize
Actinidiaceae,Saurauia yasicae,Loes.,Belize
Altingiaceae,Liquidambar styraciflua,L.,Belize
Amaranthaceae,Iresine arbuscula,Uline & W.L.Bray,Belize
Anacardiaceae,Astronium graveolens,Jacq.,Belize
Anacardiaceae,Attilaea abalak,E.Martínez & Ramos,Belize
Anacardiaceae,Comocladia guatemalensis,Donn.Sm.,Belize
Anacardiaceae,Comocladia mayana,"Atha, J.D.Mitch. & Pell",Belize
Anacardiaceae,Metopium brownei,(Jacq.) Urb.,Belize
Anacardiaceae,Mosquitoxylum jamaicense,Krug & Urb.,Belize
Anacardiaceae,Spondias mombin,L.,Belize
Anacardiaceae,Spondias purpurea,L.,Belize
Anacardiaceae,Spondias radlkoferi,Donn.Sm.,Belize
Anacardiaceae,Tapirira mexicana,Marchand,Belize
Annonaceae,Anaxagorea guatemalensis,Standl.,Belize
Annonaceae,Annona cherimola,Mill.,Belize
Annonaceae,Annona glabra,L.,Belize
Annonaceae,Annona liebmanniana,Baill.,Belize
Annonaceae,Annona montana,Macfad.,Belize
Annonaceae,Annona mucosa,Jacq.,Belize
Annonaceae,Annona muricata,L.,Belize
Annonaceae,Annona purpurea,Moc. & Sessé ex Dunal,Belize
Annonaceae,Annona reticulata,L.,Belize
Annonaceae,Annona squamosa,L.,Belize
Annonaceae,Cymbopetalum mayanum,Lundell,Belize
Annonaceae,Desmopsis erythrocarpa,Lundell,Belize
