family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Benin
Achariaceae,Caloncoba echinata,(Oliv.) Gilg,Benin
Achariaceae,Caloncoba gilgiana,(Sprague) Gilg,Benin
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Benin
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Benin
Anacardiaceae,Haematostaphis barteri,Hook.f.,Benin
Anacardiaceae,Lannea acida,A.Rich.,Benin
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Benin
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Benin
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Benin
Anacardiaceae,Ozoroa insignis,Delile,Benin
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Benin
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Benin
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Benin
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Benin
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Benin
Anacardiaceae,Sorindeia grandifolia,Engl.,Benin
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Benin
Anacardiaceae,Trichoscypha lucens,Oliv.,Benin
Annonaceae,Annona senegalensis,Pers.,Benin
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Benin
Annonaceae,Hexalobus crispiflorus,A.Rich.,Benin
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Benin
Annonaceae,Mischogyne elliotiana,(Engl. & Diels) R.E.Fr. ex Le Thomas,Benin
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Benin
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Benin
Annonaceae,Monodora tenuifolia,Benth.,Benin
Annonaceae,Neostenanthera myristicifolia,(Oliv.) Exell,Benin
Annonaceae,Uvaria ovata,(Vahl ex DC.) Hook.f. & Benth.,Benin
Annonaceae,Uvariodendron angustifolium,(Engl. & Diels) R.E.Fr.,Benin
Annonaceae,Uvariodendron molundense,(Diels) R.E.Fr.,Benin
Annonaceae,Uvariopsis tripetala,(Baker f.) G.E.Schatz,Benin
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Benin
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Benin
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Benin
Annonaceae,Xylopia rubescens,Oliv.,Benin
Apiaceae,Steganotaenia araliacea,Hochst.,Benin
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Benin
Apocynaceae,Alstonia boonei,De Wild.,Benin
Apocynaceae,Alstonia congensis,Engl.,Benin
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Benin
Apocynaceae,Carissa spinarum,L.,Benin
Apocynaceae,Funtumia africana,(Benth.) Stapf,Benin
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Benin
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Benin
Apocynaceae,Hunteria umbellata,(K.Schum.) Hallier f.,Benin
Apocynaceae,Picralima nitida,(Stapf) T.Durand & H.Durand,Benin
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Benin
Apocynaceae,Rauvolfia caffra,Sond.,Benin
Apocynaceae,Rauvolfia vomitoria,Afzel.,Benin
Apocynaceae,Tabernaemontana pachysiphon,Stapf,Benin
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Benin
Apocynaceae,Voacanga bracteata,Stapf,Benin
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Benin
Araliaceae,Polyscias fulva,(Hiern) Harms,Benin
Arecaceae,Borassus aethiopum,Mart.,Benin
Arecaceae,Borassus akeassii,"Bayton, Ouédr. & Guinko",Benin
Arecaceae,Elaeis guineensis,Jacq.,Benin
Arecaceae,Hyphaene macrosperma,H.Wendl.,Benin
Arecaceae,Hyphaene thebaica,(L.) Mart.,Benin
Arecaceae,Phoenix reclinata,Jacq.,Benin
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Benin
Arecaceae,Raphia hookeri,G.Mann & H.Wendl.,Benin
Arecaceae,Raphia palma-pinus,(Gaertn.) Hutch.,Benin
Arecaceae,Raphia sudanica,A.Chev.,Benin
Arecaceae,Raphia vinifera,P.Beauv.,Benin
Asparagaceae,Dracaena fragrans,(L.) Ker Gawl.,Benin
Asparagaceae,Dracaena mannii,Baker,Benin
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Benin
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Benin
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Benin
Bignoniaceae,Markhamia tomentosa,(Benth.) K.Schum. ex Engl.,Benin
Bignoniaceae,Newbouldia laevis,(P.Beauv.) Seem. ex Bureau,Benin
Bignoniaceae,Spathodea campanulata,P.Beauv.,Benin
Bignoniaceae,Stereospermum kunthianum,Cham.,Benin
Boraginaceae,Cordia senegalensis,Juss. ex Poir.,Benin
Boraginaceae,Ehretia cymosa,Thonn.,Benin
Burseraceae,Boswellia dalzielii,Hutch.,Benin
Burseraceae,Boswellia papyrifera,(Caill. ex Delile) Hochst.,Benin
Burseraceae,Commiphora pedunculata,(Kotschy & Peyr.) Engl.,Benin
Burseraceae,Dacryodes klaineana,(Pierre) H.J.Lam,Benin
Buxaceae,Buxus acutata,Friis,Benin
Calophyllaceae,Mammea africana,Sabine,Benin
Cannabaceae,Celtis mildbraedii,Engl.,Benin
Cannabaceae,Celtis philippensis,Blanco,Benin
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Benin
Cannabaceae,Celtis zenkeri,Engl.,Benin
Cannabaceae,Trema orientale,(L.) Blume,Benin
Capparaceae,Boscia angustifolia,A.Rich.,Benin
Capparaceae,Cadaba farinosa,Forssk.,Benin
Capparaceae,Capparis viminea,Oliv.,Benin
Capparaceae,Crateva adansonii,DC.,Benin
Capparaceae,Crateva monticola,(Gilg & Gilg-Ben.) Christenh. & Byng,Benin
Capparaceae,Maerua angolensis,DC.,Benin
Capparaceae,Maerua duchesnei,(De Wild.) F.White,Benin
Capparaceae,Ritchiea capparoides,(Andrews) Britten,Benin
Celastraceae,Gymnosporia buchananii,Loes.,Benin
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Benin
Celastraceae,Salacia pallescens,Oliv.,Benin
Celastraceae,Salacia stuhlmanniana,Loes.,Benin
Chrysobalanaceae,Afrolicania elaeosperma,Mildbr.,Benin
Chrysobalanaceae,Chrysobalanus icaco,L.,Benin
Chrysobalanaceae,Dactyladenia barteri,(Hook.f. ex Oliv.) Prance & F.White,Benin
Chrysobalanaceae,Maranthes aubrevillei,(Pellegr.) Prance ex F.White,Benin
Chrysobalanaceae,Maranthes polyandra,(Benth.) Prance,Benin
Chrysobalanaceae,Maranthes robusta,(Oliv.) Prance ex F.White,Benin
