family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Bermuda
Arecaceae,Phoenix reclinata,Jacq.,Bermuda
Arecaceae,Sabal bermudana,L.H.Bailey,Bermuda
Cannabaceae,Celtis laevigata,Willd.,Bermuda
Celastraceae,Cassine laneana,(A.H.Moore) J.W.Ingram,Bermuda
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Bermuda
Chrysobalanaceae,Chrysobalanus icaco,L.,Bermuda
Cupressaceae,Juniperus bermudiana,L.,Bermuda
Fabaceae,Guilandina bonduc,L.,Bermuda
Moraceae,Ficus citrifolia,Mill.,Bermuda
Myrtaceae,Eugenia axillaris,(Sw.) Willd.,Bermuda
Oleaceae,Forestiera segregata,(Jacq.) Krug & Urb.,Bermuda
Polygonaceae,Coccoloba uvifera,(L.) L.,Bermuda
Rhizophoraceae,Rhizophora mangle,L.,Bermuda
Rubiaceae,Casasia clusiifolia,(Jacq.) Urb.,Bermuda
Rubiaceae,Randia aculeata,L.,Bermuda
Rutaceae,Zanthoxylum flavum,Vahl,Bermuda
