family,taxon,author,native to
Achariaceae,Gynocardia odorata,R.Br.,Bhutan
Actinidiaceae,Saurauia armata,Kurz,Bhutan
Actinidiaceae,Saurauia griffithii,Dyer,Bhutan
Actinidiaceae,Saurauia napaulensis,DC.,Bhutan
Altingiaceae,Liquidambar excelsa,(Noronha) Oken,Bhutan
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,Bhutan
Anacardiaceae,Drimycarpus racemosus,(Roxb.) Hook.f. ex Marchand.,Bhutan
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,Bhutan
Anacardiaceae,Rhus chinensis,Mill.,Bhutan
Anacardiaceae,Searsia paniculata,(Wall. ex G.Don) Moffett,Bhutan
Anacardiaceae,Searsia parviflora,(Roxb.) F.A.Barkley,Bhutan
Anacardiaceae,Toxicodendron acuminatum,(DC.) C.Y.Wu & T.L.Ming,Bhutan
Anacardiaceae,Toxicodendron hookeri,(K.C. Sahni & Bahadur) C.Y. Wu & T.L. Ming,Bhutan
Annonaceae,Miliusa macrocarpa,Hook.f. & Thomson,Bhutan
Annonaceae,Mitrephora harae,H.Ohashi,Bhutan
Annonaceae,Monoon simiarum,(Buch.-Ham. ex Hook.f. & Thomson) B.Xue & R.M.K.Saunders,Bhutan
Apocynaceae,Alstonia scholaris,(L.) R.Br.,Bhutan
Apocynaceae,Carissa spinarum,L.,Bhutan
Apocynaceae,Tabernaemontana divaricata,(L.) R.Br. ex Roem. & Schult.,Bhutan
Aquifoliaceae,Ilex cyrtura,Merr.,Bhutan
Aquifoliaceae,Ilex dipyrena,Wall.,Bhutan
Aquifoliaceae,Ilex excelsa,(Wall.) Voigt,Bhutan
Aquifoliaceae,Ilex fragilis,Hook.f.,Bhutan
Aquifoliaceae,Ilex godajam,Colebr. ex Hook.f.,Bhutan
Aquifoliaceae,Ilex hookeri,King,Bhutan
Aquifoliaceae,Ilex kingiana,Cockerell,Bhutan
Aquifoliaceae,Ilex sikkimensis,Kurz,Bhutan
Araliaceae,Aralia foliolosa,Seem. ex C.B.Clarke,Bhutan
Araliaceae,Aralia gigantea,J.Wen,Bhutan
Araliaceae,Aralia leschenaultii,(DC.) J.Wen,Bhutan
Araliaceae,Brassaiopsis glomerulata,(Blume) Regel,Bhutan
Araliaceae,Brassaiopsis hainla,(Buch.-Ham.) Seem.,Bhutan
Araliaceae,Brassaiopsis hispida,Seem.,Bhutan
Araliaceae,Gamblea ciliata,C.B.Clarke,Bhutan
Araliaceae,Heptapleurum digitatum,(G.Don ex Loudon) Lowry & G.M.Plunkett,Bhutan
Araliaceae,Heptapleurum rhododendrifolium,(Griff.) G.M.Plunkett & Lowry,Bhutan
Araliaceae,Heteropanax fragrans,(Roxb.) Seem.,Bhutan
Araliaceae,Macropanax dispermus,(Blume) Kuntze,Bhutan
Araliaceae,Macropanax undulatus,(Wall. ex G.Don) Seem.,Bhutan
Araliaceae,Merrilliopanax alpinus,(C.B.Clarke) C.B.Shang,Bhutan
Arecaceae,Caryota maxima,Blume,Bhutan
Arecaceae,Licuala peltata,Roxb. ex Buch.-Ham.,Bhutan
Arecaceae,Livistona jenkinsiana,Griff.,Bhutan
Arecaceae,Phoenix loureiroi,Kunth,Bhutan
Arecaceae,Pinanga gracilis,Blume,Bhutan
Arecaceae,Wallichia disticha,T.Anderson,Bhutan
Asteraceae,Blumea balsamifera,DC.,Bhutan
Asteraceae,Monosis volkameriifolia,(DC.) H.Rob. & Skvarla,Bhutan
Asteraceae,Senecio scandens,Buch.-Ham. ex D.Don,Bhutan
Berberidaceae,Berberis aristata,DC.,Bhutan
Berberidaceae,Berberis wallichiana,DC.,Bhutan
Berberidaceae,Mahonia napaulensis,DC.,Bhutan
Betulaceae,Alnus nepalensis,D.Don,Bhutan
Betulaceae,Betula alnoides,Buch.-Ham. ex D.Don,Bhutan
Betulaceae,Betula ashburneri,McAll. & Rushforth,Bhutan
Betulaceae,Betula cylindrostachya,Wall.,Bhutan
Betulaceae,Betula utilis,D.Don,Bhutan
Betulaceae,Carpinus viminea,Wall. ex Lindl.,Bhutan
Betulaceae,Corylus ferox,Wall.,Bhutan
Bignoniaceae,Oroxylum indicum,(L.) Kurz,Bhutan
Bignoniaceae,Radermachera sinica,(Hance) Hemsl.,Bhutan
Boraginaceae,Cordia grandis,Roxb.,Bhutan
Boraginaceae,Ehretia acuminata,R.Br.,Bhutan
Boraginaceae,Ehretia dicksonii,Hance,Bhutan
Boraginaceae,Ehretia wallichiana,Hook.f. & Thomson ex C.B.Clarke,Bhutan
Burseraceae,Garuga floribunda,Decne.,Bhutan
Burseraceae,Protium serratum,(Wall. ex Colebr.) Engl.,Bhutan
Calophyllaceae,Calophyllum polyanthum,Wall. ex Planch. & Triana,Bhutan
Calophyllaceae,Kayea floribunda,Wall.,Bhutan
Cannabaceae,Aphananthe cuspidata,(Blume) Planch.,Bhutan
Cannabaceae,Celtis tetrandra,Roxb.,Bhutan
Cannabaceae,Trema orientale,(L.) Blume,Bhutan
Cannabaceae,Trema politoria,(Planch.) Blume,Bhutan
Cannabaceae,Trema tomentosum,(Roxb.) H.Hara,Bhutan
Capparaceae,Capparis multiflora,Hook.f. & Thomson,Bhutan
Capparaceae,Capparis olacifolia,Hook.f. & Thomson,Bhutan
Capparaceae,Crateva religiosa,G.Forst.,Bhutan
Capparaceae,Crateva unilocularis,Buch.-Ham.,Bhutan
Celastraceae,Euonymus attenuatus,Wall. ex M.A.Lawson,Bhutan
Celastraceae,Euonymus echinatus,Wall.,Bhutan
Celastraceae,Euonymus frigidus,Wall.,Bhutan
Celastraceae,Euonymus hamiltonianus,Wall.,Bhutan
Celastraceae,Euonymus lucidus,D.Don,Bhutan
