family,taxon,author,native to
Acanthaceae,Aphelandra formosa,(Bonpl.) Nees,Bolivia (Plurinational State of)
Acanthaceae,Aphelandra pulcherrima,(Jacq.) Kunth,Bolivia (Plurinational State of)
Acanthaceae,Suessenguthia wenzelii,Schmidt-Leb.,Bolivia (Plurinational State of)
Achariaceae,Lindackeria paludosa,(Benth.) Gilg,Bolivia (Plurinational State of)
Achariaceae,Mayna odorata,Aubl.,Bolivia (Plurinational State of)
Achatocarpaceae,Achatocarpus microcarpus,Schinz & Autran,Bolivia (Plurinational State of)
Achatocarpaceae,Achatocarpus nigricans,Triana,Bolivia (Plurinational State of)
Actinidiaceae,Saurauia chaparensis,Soejarto,Bolivia (Plurinational State of)
Actinidiaceae,Saurauia rusbyi,Britton,Bolivia (Plurinational State of)
Actinidiaceae,Saurauia spectabilis,Hook.,Bolivia (Plurinational State of)
Alzateaceae,Alzatea verticillata,Ruiz & Pav.,Bolivia (Plurinational State of)
Anacardiaceae,Anacardium giganteum,Hancock ex Engl.,Bolivia (Plurinational State of)
Anacardiaceae,Anacardium humile,A.St.-Hil.,Bolivia (Plurinational State of)
Anacardiaceae,Anacardium occidentale,L.,Bolivia (Plurinational State of)
Anacardiaceae,Astronium fraxinifolium,Schott,Bolivia (Plurinational State of)
Anacardiaceae,Astronium graveolens,Jacq.,Bolivia (Plurinational State of)
Anacardiaceae,Astronium lecointei,Ducke,Bolivia (Plurinational State of)
Anacardiaceae,Astronium pumilum,J.D.Mitch. & Daly,Bolivia (Plurinational State of)
Anacardiaceae,Cardenasiodendron brachypterum,(Loes.) F.A.Barkley,Bolivia (Plurinational State of)
Anacardiaceae,Lithraea molleoides,(Vell.) Engl.,Bolivia (Plurinational State of)
Anacardiaceae,Loxopterygium grisebachii,Hieron. & H. Lorentz,Bolivia (Plurinational State of)
Anacardiaceae,Mauria heterophylla,Kunth,Bolivia (Plurinational State of)
Anacardiaceae,Mauria subserrata,Loes.,Bolivia (Plurinational State of)
Anacardiaceae,Mauria thaumatophylla,Loes.,Bolivia (Plurinational State of)
Anacardiaceae,Myracrodruon urundeuva,Allemão,Bolivia (Plurinational State of)
Anacardiaceae,Ochoterenaea colombiana,F.A.Barkley,Bolivia (Plurinational State of)
Anacardiaceae,Schinopsis boqueronensis,Mogni & Oakley,Bolivia (Plurinational State of)
Anacardiaceae,Schinopsis brasiliensis,Engl.,Bolivia (Plurinational State of)
Anacardiaceae,Schinopsis cornuta,Loes. ex Herzog,Bolivia (Plurinational State of)
Anacardiaceae,Schinopsis lorentzii,(Griseb.) Engl.,Bolivia (Plurinational State of)
Anacardiaceae,Schinus fasciculata,(Griseb.) I.M. Johnst.,Bolivia (Plurinational State of)
Anacardiaceae,Schinus meyeri,F.A. Barkley,Bolivia (Plurinational State of)
Anacardiaceae,Schinus microphylla,I.M.Johnst.,Bolivia (Plurinational State of)
Anacardiaceae,Schinus myrtifolia,(Griseb.) Cabrera,Bolivia (Plurinational State of)
Anacardiaceae,Schinus pearcei,Engl.,Bolivia (Plurinational State of)
Anacardiaceae,Schinus pilifera,I.M.Johnst.,Bolivia (Plurinational State of)
Anacardiaceae,Schinus polygama,(Cav.) Cabrera,Bolivia (Plurinational State of)
Anacardiaceae,Schinus venturii,F.A.Barkley,Bolivia (Plurinational State of)
Anacardiaceae,Spondias globosa,J.D.Mitch. & Daly,Bolivia (Plurinational State of)
Anacardiaceae,Spondias mombin,L.,Bolivia (Plurinational State of)
Anacardiaceae,Spondias purpurea,L.,Bolivia (Plurinational State of)
Anacardiaceae,Spondias testudinis,J.D.Mitch. & Daly,Bolivia (Plurinational State of)
Anacardiaceae,Tapirira guianensis,Aubl.,Bolivia (Plurinational State of)
Anacardiaceae,Tapirira obtusa,(Benth.) J.D.Mitch.,Bolivia (Plurinational State of)
Anacardiaceae,Thyrsodium bolivianum,J.D. Mitch. & D.C. Daly,Bolivia (Plurinational State of)
Anacardiaceae,Thyrsodium rondonianum,J.D. Mitch. & D.C. Daly,Bolivia (Plurinational State of)
Anacardiaceae,Toxicodendron striatum,(Ruiz & Pav.) Kuntze,Bolivia (Plurinational State of)
Annonaceae,Anaxagorea brevipes,Benth.,Bolivia (Plurinational State of)
Annonaceae,Anaxagorea dolichocarpa,Sprague & Sandwith,Bolivia (Plurinational State of)
Annonaceae,Annona amazonica,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Annona ambotay,Aubl.,Bolivia (Plurinational State of)
Annonaceae,Annona boliviana,(R.E.Fr.) H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona cherimola,Mill.,Bolivia (Plurinational State of)
Annonaceae,Annona cordifolia,(Szyszyl.) Poepp. ex Maas & Westra,Bolivia (Plurinational State of)
Annonaceae,Annona coriacea,Mart.,Bolivia (Plurinational State of)
Annonaceae,Annona cornifolia,A.St.-Hil.,Bolivia (Plurinational State of)
Annonaceae,Annona cuspidata,(Mart.) H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona dioica,A.St.-Hil.,Bolivia (Plurinational State of)
Annonaceae,Annona edulis,(Triana & Planch.) H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona emarginata,(Schltdl.) H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona excellens,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Annona exsucca,DC.,Bolivia (Plurinational State of)
Annonaceae,Annona foetida,Mart.,Bolivia (Plurinational State of)
Annonaceae,Annona fosteri,(Maas & Westra) H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona herzogii,(R.E.Fr.) H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona hypoglauca,Mart.,Bolivia (Plurinational State of)
Annonaceae,Annona jucunda,(Diels) H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona macrocalyx,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Annona monticola,Mart.,Bolivia (Plurinational State of)
Annonaceae,Annona mucosa,Jacq.,Bolivia (Plurinational State of)
Annonaceae,Annona muricata,L.,Bolivia (Plurinational State of)
Annonaceae,Annona neoulei,H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona nutans,(R.E.Fr.) R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Annona oleifolia,Westra & H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona papilionella,(Diels) H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Annona reticulata,L.,Bolivia (Plurinational State of)
Annonaceae,Annona scandens,Diels ex Pilg.,Bolivia (Plurinational State of)
Annonaceae,Annona sericea,Dunal,Bolivia (Plurinational State of)
Annonaceae,Annona tomentosa,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Annona williamsii,(Rusby ex R.E.Fr.) H.Rainer,Bolivia (Plurinational State of)
Annonaceae,Bocageopsis mattogrossensis,(R.E.Fr.) R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Bocageopsis multiflora,(Mart.) R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Cardiopetalum calophyllum,Schltdl.,Bolivia (Plurinational State of)
Annonaceae,Cremastosperma confusum,Pirie,Bolivia (Plurinational State of)
Annonaceae,Cremastosperma leiophyllum,(Diels) R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Cremastosperma monospermum,(Rusby) R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Cymbopetalum brasiliense,(Vell.) Benth. ex Baill.,Bolivia (Plurinational State of)
Annonaceae,Cymbopetalum longipes,Benth. ex Diels,Bolivia (Plurinational State of)
Annonaceae,Duguetia flagellaris,Huber,Bolivia (Plurinational State of)
Annonaceae,Duguetia hadrantha,(Diels) R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Duguetia lucida,Urb.,Bolivia (Plurinational State of)
Annonaceae,Duguetia marcgraviana,Mart.,Bolivia (Plurinational State of)
Annonaceae,Duguetia quitarensis,Benth.,Bolivia (Plurinational State of)
Annonaceae,Duguetia riparia,Huber,Bolivia (Plurinational State of)
Annonaceae,Duguetia spixiana,Mart.,Bolivia (Plurinational State of)
Annonaceae,Ephedranthus boliviensis,Chatrou & Pirie,Bolivia (Plurinational State of)
Annonaceae,Guatteria beckii,Maas & Westra,Bolivia (Plurinational State of)
Annonaceae,Guatteria blepharophylla,Mart.,Bolivia (Plurinational State of)
Annonaceae,Guatteria citriodora,Ducke,Bolivia (Plurinational State of)
Annonaceae,Guatteria discolor,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Guatteria duodecima,Maas & Westra,Bolivia (Plurinational State of)
Annonaceae,Guatteria dura,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Guatteria foliosa,Benth.,Bolivia (Plurinational State of)
Annonaceae,Guatteria hirsuta,Ruiz & Pav.,Bolivia (Plurinational State of)
Annonaceae,Guatteria maypurensis,Kunth,Bolivia (Plurinational State of)
Annonaceae,Guatteria megalophylla,Diels,Bolivia (Plurinational State of)
Annonaceae,Guatteria oblongifolia,Rusby,Bolivia (Plurinational State of)
Annonaceae,Guatteria punctata,(Aubl.) R.A.Howard,Bolivia (Plurinational State of)
Annonaceae,Guatteria sanctae-crucis,Maas & Westra,Bolivia (Plurinational State of)
Annonaceae,Guatteria schomburgkiana,Mart.,Bolivia (Plurinational State of)
Annonaceae,Guatteria scytophylla,Diels,Bolivia (Plurinational State of)
Annonaceae,Guatteria subsessilis,Mart.,Bolivia (Plurinational State of)
Annonaceae,Guatteria tomentosa,Rusby,Bolivia (Plurinational State of)
Annonaceae,Guatteria ucayalina,Huber,Bolivia (Plurinational State of)
Annonaceae,Klarobelia inundata,Chatrou,Bolivia (Plurinational State of)
Annonaceae,Klarobelia pandoensis,Chatrou,Bolivia (Plurinational State of)
Annonaceae,Malmea dielsiana,Saff. ex R.E. Fr.,Bolivia (Plurinational State of)
Annonaceae,Mosannona parva,Chatrou,Bolivia (Plurinational State of)
Annonaceae,Onychopetalum periquino,(Rusby) D.M.Johnson & N.A.Murray,Bolivia (Plurinational State of)
Annonaceae,Oxandra espintana,(Spruce ex Benth.) Baill.,Bolivia (Plurinational State of)
Annonaceae,Oxandra saxicola,Maas & Junikka,Bolivia (Plurinational State of)
Annonaceae,Oxandra xylopioides,Diels,Bolivia (Plurinational State of)
Annonaceae,Porcelia nitidifolia,Ruiz & Pav.,Bolivia (Plurinational State of)
Annonaceae,Porcelia ponderosa,(Rusby) Rusby,Bolivia (Plurinational State of)
Annonaceae,Porcelia steinbachii,(Diels) R.E. Fr.,Bolivia (Plurinational State of)
Annonaceae,Pseudomalmea diclina,(R.E. Fr.) Chatrou,Bolivia (Plurinational State of)
Annonaceae,Pseudoxandra lucida,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Pseudoxandra polyphleba,(Diels) R.E. Fr.,Bolivia (Plurinational State of)
Annonaceae,Ruizodendron ovale,(Ruiz & Pav.) R.E. Fr.,Bolivia (Plurinational State of)
Annonaceae,Trigynaea duckei,(R.E.Fr.) R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Unonopsis floribunda,Diels,Bolivia (Plurinational State of)
Annonaceae,Unonopsis guatterioides,(A.DC.) R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Unonopsis spectabilis,Diels,Bolivia (Plurinational State of)
Annonaceae,Xylopia aromatica,(Lam.) Mart.,Bolivia (Plurinational State of)
Annonaceae,Xylopia benthamii,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Xylopia cuspidata,Diels,Bolivia (Plurinational State of)
Annonaceae,Xylopia emarginata,Mart.,Bolivia (Plurinational State of)
Annonaceae,Xylopia frutescens,Aubl.,Bolivia (Plurinational State of)
Annonaceae,Xylopia ligustrifolia,Dunal,Bolivia (Plurinational State of)
Annonaceae,Xylopia multiflora,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Xylopia peruviana,R.E.Fr.,Bolivia (Plurinational State of)
Annonaceae,Xylopia sericea,A.St.-Hil.,Bolivia (Plurinational State of)
Annonaceae,Xylopia spruceana,Benth. ex Spruce,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma australe,Müll.Arg.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma carapanauba,Pichon,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma cuspa,(Kunth) S.F.Blake ex Pittier,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma cylindrocarpon,Müll.Arg.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma desmanthum,Benth. ex Müll.Arg.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma excelsum,Benth.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma macrocarpon,Mart.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma nobile,Müll.Arg.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma parvifolium,A.DC.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma pyrifolium,Mart.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma quebracho-blanco,Schltdl.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma quirandy,Hassl.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma ramiflorum,Müll.Arg.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma resonans,H.J.Will. & Goyder,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma rigidum,Rusby,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma spruceanum,Benth. ex Müll.Arg.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma subincanum,Mart.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma tomentosum,Mart.,Bolivia (Plurinational State of)
Apocynaceae,Aspidosperma triternatum,Rojas Acosta,Bolivia (Plurinational State of)
Apocynaceae,Cascabela thevetia,(L.) Lippold,Bolivia (Plurinational State of)
Apocynaceae,Couma macrocarpa,Barb.Rodr.,Bolivia (Plurinational State of)
Apocynaceae,Geissospermum reticulatum,A.H.Gentry,Bolivia (Plurinational State of)
Apocynaceae,Hancornia speciosa,Gomes,Bolivia (Plurinational State of)
Apocynaceae,Himatanthus articulatus,(Vahl) Woodson,Bolivia (Plurinational State of)
Apocynaceae,Himatanthus obovatus,(Müll.Arg.) Woodson,Bolivia (Plurinational State of)
Apocynaceae,Himatanthus tarapotensis,(K.Schum. ex Markgr.) Plumel,Bolivia (Plurinational State of)
Apocynaceae,Lacmellea arborescens,(Müll.Arg.) Markgr.,Bolivia (Plurinational State of)
Apocynaceae,Laxoplumeria tessmannii,Markgr.,Bolivia (Plurinational State of)
Apocynaceae,Malouetia tamaquarina,(Aubl.) A.DC.,Bolivia (Plurinational State of)
Apocynaceae,Parahancornia fasciculata,(Poir.) Benoist,Bolivia (Plurinational State of)
Apocynaceae,Rauvolfia andina,Markgr.,Bolivia (Plurinational State of)
Apocynaceae,Rauvolfia ligustrina,Roem. & Schult.,Bolivia (Plurinational State of)
Apocynaceae,Rauvolfia praecox,K.Schum. ex Markgr.,Bolivia (Plurinational State of)
Apocynaceae,Rauvolfia schuelii,Speg.,Bolivia (Plurinational State of)
Apocynaceae,Rauvolfia sellowii,Müll.Arg.,Bolivia (Plurinational State of)
Apocynaceae,Tabernaemontana amygdalifolia,Jacq.,Bolivia (Plurinational State of)
Apocynaceae,Tabernaemontana catharinensis,A.DC.,Bolivia (Plurinational State of)
Apocynaceae,Tabernaemontana cuspidata,Rusby,Bolivia (Plurinational State of)
