family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Bosnia and Herzegovina
Anacardiaceae,Pistacia terebinthus,L.,Bosnia and Herzegovina
Anacardiaceae,Rhus coriaria,L.,Bosnia and Herzegovina
Aquifoliaceae,Ilex aquifolium,L.,Bosnia and Herzegovina
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Bosnia and Herzegovina
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Bosnia and Herzegovina
Betulaceae,Alnus incana,(L.) Moench,Bosnia and Herzegovina
Betulaceae,Betula pendula,Roth,Bosnia and Herzegovina
Betulaceae,Betula pubescens,Ehrh.,Bosnia and Herzegovina
Betulaceae,Carpinus betulus,L.,Bosnia and Herzegovina
Betulaceae,Carpinus orientalis,Mill.,Bosnia and Herzegovina
Betulaceae,Corylus avellana,L.,Bosnia and Herzegovina
Betulaceae,Corylus colurna,L.,Bosnia and Herzegovina
Betulaceae,Corylus maxima,Mill.,Bosnia and Herzegovina
Betulaceae,Ostrya carpinifolia,Scop.,Bosnia and Herzegovina
Cannabaceae,Celtis australis,L.,Bosnia and Herzegovina
Cannabaceae,Celtis tournefortii,Lam.,Bosnia and Herzegovina
Celastraceae,Euonymus europaeus,L.,Bosnia and Herzegovina
Celastraceae,Euonymus latifolius,(L.) Mill.,Bosnia and Herzegovina
Cornaceae,Cornus mas,L.,Bosnia and Herzegovina
Cupressaceae,Juniperus deltoides,R.P.Adams,Bosnia and Herzegovina
Cupressaceae,Juniperus oxycedrus,L.,Bosnia and Herzegovina
Ericaceae,Erica arborea,L.,Bosnia and Herzegovina
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Bosnia and Herzegovina
Fabaceae,Laburnum anagyroides,Medik.,Bosnia and Herzegovina
Fagaceae,Castanea sativa,Mill.,Bosnia and Herzegovina
Fagaceae,Quercus cerris,L.,Bosnia and Herzegovina
Fagaceae,Quercus coccifera,L.,Bosnia and Herzegovina
Fagaceae,Quercus frainetto,Ten.,Bosnia and Herzegovina
Fagaceae,Quercus ilex,L.,Bosnia and Herzegovina
Fagaceae,Quercus petraea,(Matt.) Liebl.,Bosnia and Herzegovina
Fagaceae,Quercus pubescens,Willd.,Bosnia and Herzegovina
Fagaceae,Quercus robur,L.,Bosnia and Herzegovina
Fagaceae,Quercus trojana,Webb,Bosnia and Herzegovina
Juglandaceae,Juglans regia,L.,Bosnia and Herzegovina
Lamiaceae,Vitex agnus-castus,L.,Bosnia and Herzegovina
Lauraceae,Laurus nobilis,L.,Bosnia and Herzegovina
Malvaceae,Tilia cordata,Mill.,Bosnia and Herzegovina
Malvaceae,Tilia platyphyllos,Scop.,Bosnia and Herzegovina
Malvaceae,Tilia tomentosa,Moench,Bosnia and Herzegovina
Oleaceae,Fraxinus angustifolia,Vahl,Bosnia and Herzegovina
Oleaceae,Fraxinus ornus,L.,Bosnia and Herzegovina
Oleaceae,Phillyrea latifolia,L.,Bosnia and Herzegovina
Oleaceae,Syringa vulgaris,L.,Bosnia and Herzegovina
Pinaceae,Picea abies,(L.) H.Karst.,Bosnia and Herzegovina
Pinaceae,Picea omorika,(Pancic) Purk.,Bosnia and Herzegovina
Pinaceae,Pinus mugo,Turra,Bosnia and Herzegovina
Pinaceae,Pinus nigra,J.F.Arnold,Bosnia and Herzegovina
Pinaceae,Pinus sylvestris,L.,Bosnia and Herzegovina
Rhamnaceae,Rhamnus cathartica,L.,Bosnia and Herzegovina
Rosaceae,Crataegus monogyna,Jacq.,Bosnia and Herzegovina
