family,taxon,author,native to
Achariaceae,Rawsonia lucida,Harv. & Sond.,Botswana
Anacardiaceae,Lannea discolor,(Sond.) Engl.,Botswana
Anacardiaceae,Lannea schweinfurthii,Engl.,Botswana
Anacardiaceae,Ozoroa insignis,Delile,Botswana
Anacardiaceae,Ozoroa longipes,(Engl. & Gilg) R.Fern. & A.Fern.,Botswana
Anacardiaceae,Ozoroa paniculosa,(Sond.) R.Fern. & A.Fern.,Botswana
Anacardiaceae,Ozoroa schinzii,(Engl.) R.Fern. & A.Fern.,Botswana
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Botswana
Anacardiaceae,Searsia chirindensis,(Baker f.) Moffett,Botswana
Anacardiaceae,Searsia lancea,(L.f.) F.A.Barkley,Botswana
Anacardiaceae,Searsia leptodictya,"(Diels) T.S.Yi, A.J.Mill. & J.Wen",Botswana
Anacardiaceae,Searsia lucens,(Hutch.) Moffett,Botswana
Anacardiaceae,Searsia pallens,(Eckl. & Zeyh.) Moffett,Botswana
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Botswana
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,Botswana
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,Botswana
Annonaceae,Artabotrys brachypetalus,Benth.,Botswana
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Botswana
Annonaceae,Monanthotaxis obovata,(Benth.) P.H.Hoekstra,Botswana
Annonaceae,Xylopia odoratissima,Welw. ex Oliv.,Botswana
Apiaceae,Heteromorpha arborescens,(Spreng.) Cham. & Schltdl.,Botswana
Apiaceae,Steganotaenia araliacea,Hochst.,Botswana
Apocynaceae,Carissa bispinosa,(L.) Desf. ex Brenan,Botswana
Apocynaceae,Carissa spinarum,L.,Botswana
Apocynaceae,Diplorhynchus condylocarpon,(Müll.Arg.) Pichon,Botswana
Araliaceae,Cussonia paniculata,Eckl. & Zeyh.,Botswana
Araliaceae,Cussonia spicata,Thunb.,Botswana
Arecaceae,Hyphaene petersiana,Klotzsch ex Mart.,Botswana
Arecaceae,Phoenix reclinata,Jacq.,Botswana
Asphodelaceae,Aloe excelsa,A.Berger,Botswana
Asphodelaceae,Aloe littoralis,Baker,Botswana
Asphodelaceae,Aloe marlothii,A.Berger,Botswana
Asteraceae,Brachylaena ilicifolia,(Lam.) Phillips & Schweick.,Botswana
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Botswana
Asteraceae,Tarchonanthus camphoratus,L.,Botswana
Bignoniaceae,Catophractes alexandri,D.Don,Botswana
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Botswana
Bignoniaceae,Markhamia obtusifolia,(Baker) Sprague,Botswana
Bignoniaceae,Markhamia zanzibarica,(Bojer ex DC.) K.Schum.,Botswana
Bignoniaceae,Rhigozum brevispinosum,Kuntze,Botswana
Bignoniaceae,Rhigozum zambesiacum,Baker,Botswana
Boraginaceae,Cordia caffra,Sond.,Botswana
Boraginaceae,Cordia monoica,Roxb.,Botswana
Boraginaceae,Cordia pilosissima,Baker,Botswana
Boraginaceae,Cordia sinensis,Lam.,Botswana
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,Botswana
Burseraceae,Commiphora africana,(A.Rich.) Engl.,Botswana
Burseraceae,Commiphora angolensis,Engl.,Botswana
Burseraceae,Commiphora edulis,(Klotzsch) Engl.,Botswana
