family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Brazil
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Brazil
Acanthaceae,Sanchezia scandens,(Lindau) Leonard & L.B.Sm.,Brazil
Acanthaceae,Trichanthera gigantea,(Bonpl.) Nees,Brazil
Achariaceae,Carpotroche amazonica,Mart. ex Eichler,Brazil
Achariaceae,Carpotroche brasiliensis,(Raddi) A.Gray,Brazil
Achariaceae,Carpotroche crispidentata,Ducke,Brazil
Achariaceae,Carpotroche grandiflora,Spruce ex Eichler,Brazil
Achariaceae,Carpotroche integrifolia,Kuhlm.,Brazil
Achariaceae,Carpotroche longifolia,(Poepp.) Benth.,Brazil
Achariaceae,Carpotroche surinamensis,Uittien,Brazil
Achariaceae,Kuhlmanniodendron apterocarpum,(Kuhlm.) Fiaschi & Groppo,Brazil
Achariaceae,Kuhlmanniodendron macrocarpum,"Groppo, Favaretto & Fiaschi",Brazil
Achariaceae,Lindackeria latifolia,Benth.,Brazil
Achariaceae,Lindackeria paludosa,(Benth.) Gilg,Brazil
Achariaceae,Lindackeria paraensis,Kuhlm.,Brazil
Achariaceae,Lindackeria pauciflora,Benth.,Brazil
Achariaceae,Mayna odorata,Aubl.,Brazil
Achatocarpaceae,Achatocarpus praecox,Griseb.,Brazil
Anacardiaceae,Anacardium amapaense,J.D.Mitch.,Brazil
Anacardiaceae,Anacardium giganteum,Hancock ex Engl.,Brazil
Anacardiaceae,Anacardium humile,A.St.-Hil.,Brazil
Anacardiaceae,Anacardium microsepalum,Loes.,Brazil
Anacardiaceae,Anacardium occidentale,L.,Brazil
Anacardiaceae,Anacardium parvifolium,Ducke,Brazil
Anacardiaceae,Anacardium spruceanum,Benth. ex Engl.,Brazil
Anacardiaceae,Antrocaryon amazonicum,(Ducke) B.L.Burtt & A.W.Hill,Brazil
Anacardiaceae,Apterokarpos gardneri,(Engl.) Rizzini,Brazil
Anacardiaceae,Astronium balansae,Engl.,Brazil
Anacardiaceae,Astronium concinnum,Schott,Brazil
Anacardiaceae,Astronium fraxinifolium,Schott,Brazil
Anacardiaceae,Astronium glaziovii,Mattick,Brazil
Anacardiaceae,Astronium graveolens,Jacq.,Brazil
Anacardiaceae,Astronium lecointei,Ducke,Brazil
Anacardiaceae,Astronium nelson-rosae,Santin,Brazil
Anacardiaceae,Astronium pumilum,J.D.Mitch. & Daly,Brazil
Anacardiaceae,Astronium ulei,Mattick,Brazil
Anacardiaceae,Campnosperma gummiferum,(Benth.) Marchand,Brazil
Anacardiaceae,Cyrtocarpa caatingae,J.D.Mitch. & Daly,Brazil
Anacardiaceae,Cyrtocarpa velutinifolia,(R.S.Cowan) J.D.Mitch. & Daly,Brazil
Anacardiaceae,Lithraea brasiliensis,Marchand,Brazil
Anacardiaceae,Lithraea molleoides,(Vell.) Engl.,Brazil
Anacardiaceae,Myracrodruon urundeuva,Allemão,Brazil
Anacardiaceae,Schinopsis balansae,Engl.,Brazil
Anacardiaceae,Schinopsis brasiliensis,Engl.,Brazil
Anacardiaceae,Schinus engleri,F.A. Barkley,Brazil
Anacardiaceae,Schinus ferox,Hassl.,Brazil
Anacardiaceae,Schinus lentiscifolius,Marchand,Brazil
Anacardiaceae,Schinus longifolia,(Lindl.) Speg.,Brazil
Anacardiaceae,Schinus molle,L.,Brazil
Anacardiaceae,Schinus ramboi,F.A. Barkley,Brazil
Anacardiaceae,Schinus spinosa,Engl.,Brazil
Anacardiaceae,Schinus terebinthifolia,Raddi,Brazil
Anacardiaceae,Spondias admirabilis,J.D.Mitch. & Daly,Brazil
Anacardiaceae,Spondias bahiensis,"P.Carvalho, Van den Berg & M.Machado",Brazil
Anacardiaceae,Spondias expeditionaria,J.D.Mitch. & Daly,Brazil
Anacardiaceae,Spondias globosa,J.D.Mitch. & Daly,Brazil
Anacardiaceae,Spondias macrocarpa,Engl.,Brazil
Anacardiaceae,Spondias mombin,L.,Brazil
Anacardiaceae,Spondias testudinis,J.D.Mitch. & Daly,Brazil
Anacardiaceae,Spondias tuberosa,Arruda,Brazil
Anacardiaceae,Spondias venulosa,(Mart. ex Engl.) Engl.,Brazil
Anacardiaceae,Tapirira guianensis,Aubl.,Brazil
Anacardiaceae,Tapirira obtusa,(Benth.) J.D.Mitch.,Brazil
Anacardiaceae,Tapirira retusa,Ducke,Brazil
Anacardiaceae,Thyrsodium bolivianum,J.D. Mitch. & D.C. Daly,Brazil
Anacardiaceae,Thyrsodium guianense,Sagot ex Marchand,Brazil
Anacardiaceae,Thyrsodium puberulum,J.D. Mitch. & D.C. Daly,Brazil
Anacardiaceae,Thyrsodium rondonianum,J.D. Mitch. & D.C. Daly,Brazil
Anacardiaceae,Thyrsodium spruceanum,Benth.,Brazil
Anisophylleaceae,Anisophyllea manausensis,Pires & W.A.Rodrigues,Brazil
Anisophylleaceae,Polygonanthus amazonicus,Ducke,Brazil
Anisophylleaceae,Polygonanthus punctulatus,Kuhlm.,Brazil
Annonaceae,Anaxagorea acuminata,(Dunal) A.St.-Hil. ex A.DC.,Brazil
Annonaceae,Anaxagorea angustifolia,Timmerman,Brazil
Annonaceae,Anaxagorea brachycarpa,R.E.Fr.,Brazil
Annonaceae,Anaxagorea brevipedicellata,Timmerman,Brazil
Annonaceae,Anaxagorea brevipes,Benth.,Brazil
Annonaceae,Anaxagorea dolichocarpa,Sprague & Sandwith,Brazil
Annonaceae,Anaxagorea gigantophylla,R.E.Fr.,Brazil
Annonaceae,Anaxagorea macrantha,R.E.Fr.,Brazil
Annonaceae,Anaxagorea manausensis,Timmerman,Brazil
Annonaceae,Anaxagorea petiolata,R.E.Fr.,Brazil
Annonaceae,Anaxagorea phaeocarpa,Mart.,Brazil
Annonaceae,Anaxagorea prinoides,(Dunal) A.St.-Hil.,Brazil
Annonaceae,Anaxagorea rufa,Timmerman,Brazil
Annonaceae,Anaxagorea silvatica,R.E.Fr.,Brazil
Annonaceae,Annona acutiflora,Mart.,Brazil
Annonaceae,Annona amazonica,R.E.Fr.,Brazil
Annonaceae,Annona ambotay,Aubl.,Brazil
Annonaceae,Annona angustifolia,Huber,Brazil
Annonaceae,Annona annonoides,(R.E.Fr.) Maas & Westra,Brazil
Annonaceae,Annona asplundiana,R.E.Fr.,Brazil
Annonaceae,Annona atabapensis,Kunth,Brazil
Annonaceae,Annona aurantiaca,Barb.Rodr.,Brazil
Annonaceae,Annona bahiensis,(Maas & Westra) H.Rainer,Brazil
Annonaceae,Annona burchellii,R.E.Fr.,Brazil
Annonaceae,Annona cacans,Warm.,Brazil
Annonaceae,Annona calcarata,(R.E.Fr. ) H.Rainer,Brazil
Annonaceae,Annona centrantha,(R.E.Fr.) H.Rainer,Brazil
Annonaceae,Annona cordifolia,(Szyszyl.) Poepp. ex Maas & Westra,Brazil
Annonaceae,Annona coriacea,Mart.,Brazil
Annonaceae,Annona cornifolia,A.St.-Hil.,Brazil
Annonaceae,Annona crassiflora,Mart.,Brazil
Annonaceae,Annona cuspidata,(Mart.) H.Rainer,Brazil
Annonaceae,Annona deminuta,R.E.Fr.,Brazil
Annonaceae,Annona densicoma,Mart.,Brazil
Annonaceae,Annona dioica,A.St.-Hil.,Brazil
