family,taxon,author,native to
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,British Indian Ocean Territory
Asparagaceae,Dracaena reflexa,Lam.,British Indian Ocean Territory
Boraginaceae,Cordia subcordata,Lam.,British Indian Ocean Territory
Calophyllaceae,Calophyllum inophyllum,L.,British Indian Ocean Territory
Combretaceae,Lumnitzera racemosa,Willd.,British Indian Ocean Territory
Fabaceae,Intsia bijuga,(Colebr.) Kuntze,British Indian Ocean Territory
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,British Indian Ocean Territory
Lamiaceae,Premna serratifolia,L.,British Indian Ocean Territory
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,British Indian Ocean Territory
Rubiaceae,Guettarda speciosa,L.,British Indian Ocean Territory
