family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,British Virgin Islands
Anacardiaceae,Comocladia dodonaea,(L.) Britton,British Virgin Islands
Anacardiaceae,Spondias mombin,L.,British Virgin Islands
Annonaceae,Annona glabra,L.,British Virgin Islands
Annonaceae,Annona montana,Macfad.,British Virgin Islands
Annonaceae,Annona mucosa,Jacq.,British Virgin Islands
Annonaceae,Guatteria blainii,(Griseb.) Urb.,British Virgin Islands
Apocynaceae,Plumeria alba,L.,British Virgin Islands
Apocynaceae,Rauvolfia nitida,Jacq.,British Virgin Islands
Apocynaceae,Rauvolfia tetraphylla,L.,British Virgin Islands
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,British Virgin Islands
Aquifoliaceae,Ilex urbaniana,Loes. ex Urb.,British Virgin Islands
Araliaceae,Dendropanax arboreus,(L.) Decne. & Planch.,British Virgin Islands
Araliaceae,Didymopanax morototoni,(Aubl.) Decne. & Planch.,British Virgin Islands
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,British Virgin Islands
Arecaceae,Leucothrinax morrisii,(H.Wendl.) C.Lewis & Zona,British Virgin Islands
Arecaceae,Roystonea oleracea,(Jacq.) O.F.Cook,British Virgin Islands
Arecaceae,Sabal causiarum,(O.F.Cook) Becc.,British Virgin Islands
Bignoniaceae,Crescentia cujete,L.,British Virgin Islands
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,British Virgin Islands
Bignoniaceae,Tabebuia lepidota,(Kunth) Britton,British Virgin Islands
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,British Virgin Islands
Boraginaceae,Bourreria succulenta,Jacq.,British Virgin Islands
Boraginaceae,Cordia alliodora,(Ruiz & Pav.) Oken,British Virgin Islands
Boraginaceae,Cordia collococca,L.,British Virgin Islands
Boraginaceae,Cordia laevigata,Lam.,British Virgin Islands
Boraginaceae,Cordia rickseckeri,Millsp.,British Virgin Islands
Boraginaceae,Cordia sulcata,A.DC.,British Virgin Islands
Boraginaceae,Rochefortia acanthophora,(A.DC.) Griseb.,British Virgin Islands
Burseraceae,Protium balsamiferum,(Sw.) Daly & P.Fine,British Virgin Islands
Cactaceae,Consolea macracantha,(Griseb.) A.Berger,British Virgin Islands
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,British Virgin Islands
Calophyllaceae,Mammea americana,L.,British Virgin Islands
Canellaceae,Canella winterana,(L.) Gaertn.,British Virgin Islands
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,British Virgin Islands
Cannabaceae,Celtis trinervia,Lam.,British Virgin Islands
Cannabaceae,Trema micranthum,(L.) Blume,British Virgin Islands
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,British Virgin Islands
Capparaceae,Cynophalla amplissima,(Lam.) Iltis & Cornejo,British Virgin Islands
