family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Bulgaria
Anacardiaceae,Pistacia terebinthus,L.,Bulgaria
Anacardiaceae,Rhus coriaria,L.,Bulgaria
Aquifoliaceae,Ilex aquifolium,L.,Bulgaria
Aquifoliaceae,Ilex colchica,Pojark.,Bulgaria
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Bulgaria
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Bulgaria
Betulaceae,Alnus incana,(L.) Moench,Bulgaria
Betulaceae,Betula pendula,Roth,Bulgaria
Betulaceae,Carpinus betulus,L.,Bulgaria
Betulaceae,Carpinus orientalis,Mill.,Bulgaria
Betulaceae,Corylus avellana,L.,Bulgaria
Betulaceae,Corylus colurna,L.,Bulgaria
Betulaceae,Ostrya carpinifolia,Scop.,Bulgaria
Cannabaceae,Celtis australis,L.,Bulgaria
Cannabaceae,Celtis planchoniana,K.I.Chr.,Bulgaria
Cannabaceae,Celtis tournefortii,Lam.,Bulgaria
Celastraceae,Euonymus europaeus,L.,Bulgaria
Celastraceae,Euonymus latifolius,(L.) Mill.,Bulgaria
Cornaceae,Cornus mas,L.,Bulgaria
Cupressaceae,Juniperus communis,L.,Bulgaria
Cupressaceae,Juniperus deltoides,R.P.Adams,Bulgaria
Cupressaceae,Juniperus excelsa,M.Bieb.,Bulgaria
Cupressaceae,Juniperus oxycedrus,L.,Bulgaria
Elaeagnaceae,Hippophae rhamnoides,L.,Bulgaria
Ericaceae,Arbutus andrachne,L.,Bulgaria
Ericaceae,Arbutus unedo,L.,Bulgaria
Ericaceae,Erica arborea,L.,Bulgaria
Fabaceae,Anagyris foetida,L.,Bulgaria
Fabaceae,Cercis siliquastrum,L.,Bulgaria
Fabaceae,Laburnum anagyroides,Medik.,Bulgaria
Fagaceae,Fagus orientalis,Lipsky,Bulgaria
Fagaceae,Fagus sylvatica,L.,Bulgaria
Fagaceae,Quercus cerris,L.,Bulgaria
Fagaceae,Quercus coccifera,L.,Bulgaria
Fagaceae,Quercus frainetto,Ten.,Bulgaria
Fagaceae,Quercus hartwissiana,Steven,Bulgaria
Fagaceae,Quercus petraea,(Matt.) Liebl.,Bulgaria
Fagaceae,Quercus protoroburoides,Donchev & Bouzov ex Tashev & Tsavkov,Bulgaria
Fagaceae,Quercus pubescens,Willd.,Bulgaria
Fagaceae,Quercus robur,L.,Bulgaria
Fagaceae,Quercus suber,L.,Bulgaria
Fagaceae,Quercus trojana,Webb,Bulgaria
Juglandaceae,Juglans regia,L.,Bulgaria
Lamiaceae,Vitex agnus-castus,L.,Bulgaria
Malvaceae,Tilia cordata,Mill.,Bulgaria
Malvaceae,Tilia platyphyllos,Scop.,Bulgaria
Malvaceae,Tilia tomentosa,Moench,Bulgaria
Oleaceae,Fraxinus angustifolia,Vahl,Bulgaria
Oleaceae,Fraxinus excelsior,L.,Bulgaria
Oleaceae,Fraxinus ornus,L.,Bulgaria
Oleaceae,Fraxinus pallisiae,Wilmott,Bulgaria
Oleaceae,Phillyrea latifolia,L.,Bulgaria
Oleaceae,Syringa vulgaris,L.,Bulgaria
Pinaceae,Abies alba,Mill.,Bulgaria
Pinaceae,Picea abies,(L.) H.Karst.,Bulgaria
Pinaceae,Pinus heldreichii,Christ,Bulgaria
Pinaceae,Pinus mugo,Turra,Bulgaria
Pinaceae,Pinus nigra,J.F.Arnold,Bulgaria
Pinaceae,Pinus peuce,Griseb.,Bulgaria
Pinaceae,Pinus sylvestris,L.,Bulgaria
Platanaceae,Platanus orientalis,L.,Bulgaria
Rhamnaceae,Frangula alnus,Mill.,Bulgaria
Rhamnaceae,Rhamnus alpina,L.,Bulgaria
Rhamnaceae,Rhamnus cathartica,L.,Bulgaria
Rosaceae,Crataegus heldreichii,Boiss.,Bulgaria
Rosaceae,Crataegus monogyna,Jacq.,Bulgaria
Rosaceae,Crataegus orientalis,Pall. ex M.Bieb.,Bulgaria
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Bulgaria
Rosaceae,Crataegus rhipidophylla,Gand.,Bulgaria
Rosaceae,Malus dasyphylla,Borkh.,Bulgaria
Rosaceae,Malus sylvestris,(L.) Mill.,Bulgaria
Rosaceae,Malus trilobata,(Labill. ex Poir.) C.K.Schneid.,Bulgaria
Rosaceae,Mespilus germanica,L.,Bulgaria
Rosaceae,Prunus avium,(L.) L.,Bulgaria
Rosaceae,Prunus cerasifera,Ehrh.,Bulgaria
Rosaceae,Prunus laurocerasus,L.,Bulgaria
Rosaceae,Prunus mahaleb,L.,Bulgaria
Rosaceae,Prunus padus,L.,Bulgaria
Rosaceae,Prunus spinosa,L.,Bulgaria
Rosaceae,Prunus webbii,(Spach) Vierh.,Bulgaria
Rosaceae,Pyrus elaeagrifolia,Pall.,Bulgaria
Rosaceae,Pyrus nivalis,Jacq.,Bulgaria
Rosaceae,Pyrus spinosa,Forssk.,Bulgaria
Rosaceae,Sorbus aria,(L.) Crantz,Bulgaria
Rosaceae,Sorbus aucuparia,L.,Bulgaria
Rosaceae,Sorbus austriaca,(Beck) Hedl.,Bulgaria
Rosaceae,Sorbus domestica,L.        ,Bulgaria
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Bulgaria
Rosaceae,Sorbus torminalis,Garsault,Bulgaria
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Bulgaria
Salicaceae,Populus alba,L.,Bulgaria
Salicaceae,Populus nigra,L.,Bulgaria
Salicaceae,Populus tremula,L.,Bulgaria
Salicaceae,Salix appendiculata,Vill.,Bulgaria
Salicaceae,Salix caprea,L.,Bulgaria
Salicaceae,Salix cinerea,L.,Bulgaria
Salicaceae,Salix eleagnos,Scop.,Bulgaria
Salicaceae,Salix pentandra,L.,Bulgaria
Salicaceae,Salix purpurea,L.,Bulgaria
Salicaceae,Salix triandra,L.,Bulgaria
Salicaceae,Salix viminalis,L.,Bulgaria
Sapindaceae,Acer campestre,L.,Bulgaria
Sapindaceae,Acer heldreichii,Orph. ex Boiss.,Bulgaria
Sapindaceae,Acer hyrcanum,Fisch. & C.A.Mey.,Bulgaria
Sapindaceae,Acer monspessulanum,L.,Bulgaria
Sapindaceae,Acer platanoides,L.,Bulgaria
Sapindaceae,Acer pseudoplatanus,L.,Bulgaria
Sapindaceae,Acer tataricum,L.,Bulgaria
Sapindaceae,Aesculus hippocastanum,L.,Bulgaria
Staphyleaceae,Staphylea pinnata,L.,Bulgaria
Tamaricaceae,Tamarix smyrnensis,Bunge,Bulgaria
Taxaceae,Taxus baccata,L.,Bulgaria
Ulmaceae,Ulmus glabra,Huds.,Bulgaria
Ulmaceae,Ulmus minor,Mill.,Bulgaria
Viburnaceae,Sambucus nigra,L.,Bulgaria
Viburnaceae,Sambucus racemosa,L.,Bulgaria
