family,taxon,author,native to
Anacardiaceae,Haematostaphis barteri,Hook.f.,Burkina Faso
Anacardiaceae,Lannea acida,A.Rich.,Burkina Faso
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Burkina Faso
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Burkina Faso
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Burkina Faso
Anacardiaceae,Lannea velutina,A.Rich.,Burkina Faso
Anacardiaceae,Ozoroa insignis,Delile,Burkina Faso
Anacardiaceae,Ozoroa obovata,(Oliv.) R.Fern. & A.Fern.,Burkina Faso
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Burkina Faso
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Burkina Faso
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Burkina Faso
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Burkina Faso
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Burkina Faso
Annonaceae,Annona senegalensis,Pers.,Burkina Faso
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Burkina Faso
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Burkina Faso
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Burkina Faso
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Burkina Faso
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Burkina Faso
Annonaceae,Xylopia elliotii,Pierre ex Engl. & Diels,Burkina Faso
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Burkina Faso
Apiaceae,Steganotaenia araliacea,Hochst.,Burkina Faso
Apocynaceae,Alstonia congensis,Engl.,Burkina Faso
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Burkina Faso
Apocynaceae,Carissa spinarum,L.,Burkina Faso
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Burkina Faso
Apocynaceae,Rauvolfia vomitoria,Afzel.,Burkina Faso
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Burkina Faso
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Burkina Faso
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Burkina Faso
Arecaceae,Borassus aethiopum,Mart.,Burkina Faso
Arecaceae,Borassus akeassii,"Bayton, Ouédr. & Guinko",Burkina Faso
Arecaceae,Elaeis guineensis,Jacq.,Burkina Faso
Arecaceae,Hyphaene thebaica,(L.) Mart.,Burkina Faso
Arecaceae,Phoenix reclinata,Jacq.,Burkina Faso
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Burkina Faso
Arecaceae,Raphia palma-pinus,(Gaertn.) Hutch.,Burkina Faso
Arecaceae,Raphia sudanica,A.Chev.,Burkina Faso
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Burkina Faso
