family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Burundi
Acanthaceae,Mimulopsis arborescens,C.B.Clarke,Burundi
Achariaceae,Dasylepis racemosa,Oliv.,Burundi
Achariaceae,Lindackeria bukobensis,Gilg,Burundi
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Burundi
Anacardiaceae,Lannea fulva,(Engl.) Engl.,Burundi
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Burundi
Anacardiaceae,Ozoroa insignis,Delile,Burundi
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Burundi
Anacardiaceae,Searsia anchietae,(Ficalho & Hiern) Moffett,Burundi
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Burundi
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Burundi
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Burundi
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Burundi
Anacardiaceae,Trichoscypha lucens,Oliv.,Burundi
Annonaceae,Annona senegalensis,Pers.,Burundi
Annonaceae,Artabotrys monteiroae,Oliv.,Burundi
Annonaceae,Isolona lebrunii,Boutique,Burundi
Annonaceae,Monanthotaxis ferruginea,(Oliv.) Verdc.,Burundi
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Burundi
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Burundi
Apiaceae,Heteromorpha arborescens,(Spreng.) Cham. & Schltdl.,Burundi
Apiaceae,Steganotaenia araliacea,Hochst.,Burundi
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Burundi
Apocynaceae,Carissa spinarum,L.,Burundi
Apocynaceae,Landolphia parvifolia,K.Schum.,Burundi
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Burundi
Apocynaceae,Rauvolfia mannii,Stapf,Burundi
Apocynaceae,Tabernaemontana stapfiana,Britten,Burundi
Apocynaceae,Tabernaemontana ventricosa,Hochst. ex A.DC.,Burundi
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Burundi
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Burundi
Araliaceae,Astropanax abyssinicus,(Hochst. ex A.Rich.) Seem.,Burundi
Araliaceae,Astropanax barteri,Seem.,Burundi
Araliaceae,Astropanax goetzenii,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Burundi
Araliaceae,Astropanax polysciadius,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Burundi
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Burundi
Araliaceae,Polyscias fulva,(Hiern) Harms,Burundi
Arecaceae,Elaeis guineensis,Jacq.,Burundi
Arecaceae,Hyphaene petersiana,Klotzsch ex Mart.,Burundi
Arecaceae,Phoenix reclinata,Jacq.,Burundi
Arecaceae,Raphia ruwenzorica,Otedoh,Burundi
Asparagaceae,Dracaena afromontana,Mildbr.,Burundi
Asparagaceae,Dracaena mannii,Baker,Burundi
Asparagaceae,Dracaena steudneri,Engl.,Burundi
Asteraceae,Gymnanthemum myrianthum,(Hook.f.) H.Rob.,Burundi
Asteraceae,Solanecio mannii,(Hook.f.) C.Jeffrey,Burundi
Asteraceae,Vernonia hochstetteri,Sch.Bip. ex Walp.,Burundi
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Burundi
Bignoniaceae,Markhamia lutea,(Benth.) K.Schum.,Burundi
Bignoniaceae,Markhamia obtusifolia,(Baker) Sprague,Burundi
Bignoniaceae,Spathodea campanulata,P.Beauv.,Burundi
Bignoniaceae,Stereospermum harmsianum,K.Schum.,Burundi
Bignoniaceae,Stereospermum kunthianum,Cham.,Burundi
Boraginaceae,Cordia africana,Lam.,Burundi
Boraginaceae,Cordia monoica,Roxb.,Burundi
Burseraceae,Commiphora schimperi,(O.Berg) Engl.,Burundi
Cannabaceae,Celtis africana,Burm.f.,Burundi
