family,taxon,author,native to
Annonaceae,Annona senegalensis,Pers.,Cabo Verde
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Cabo Verde
Arecaceae,Borassus aethiopum,Mart.,Cabo Verde
Arecaceae,Phoenix atlantica,A.Chev.,Cabo Verde
Asparagaceae,Dracaena draco,(L.) L.,Cabo Verde
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Cabo Verde
Fabaceae,Dichrostachys cinerea,(L.) Wight & Arn.,Cabo Verde
Fabaceae,Guilandina bonduc,L.,Cabo Verde
Fabaceae,Sesbania sesban,(L.) Merr.,Cabo Verde
Fabaceae,Tamarindus indica,L.,Cabo Verde
Malvaceae,Grewia villosa,Willd.,Cabo Verde
Moraceae,Ficus lutea,Vahl,Cabo Verde
Moraceae,Ficus sur,Forssk.,Cabo Verde
Moraceae,Ficus sycomorus,L.,Cabo Verde
Moraceae,Ficus thonningii,Blume,Cabo Verde
Olacaceae,Ximenia americana,L.,Cabo Verde
Rhamnaceae,Ziziphus mauritiana,Lam.,Cabo Verde
Sapotaceae,Sideroxylon marginatum,(Decne. ex Webb) Cout.,Cabo Verde
Tamaricaceae,Tamarix senegalensis,DC.,Cabo Verde
