family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Cambodia
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Cambodia
Acanthaceae,Avicennia officinalis,L.,Cambodia
Achariaceae,Hydnocarpus ilicifolius,King,Cambodia
Achariaceae,Hydnocarpus saigonensis,Pierre ex Gagnep.,Cambodia
Actinidiaceae,Saurauia roxburghii,Wall.,Cambodia
Altingiaceae,Liquidambar cambodiana,(Lecomte) Ickert-Bond & J.Wen,Cambodia
Altingiaceae,Liquidambar siamensis,(Craib) Ickert-Bond & J.Wen,Cambodia
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,Cambodia
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Cambodia
Anacardiaceae,Buchanania evrardii,Tardieu,Cambodia
Anacardiaceae,Buchanania glabra,Wall. ex Engl.,Cambodia
Anacardiaceae,Buchanania reticulata,Hance,Cambodia
Anacardiaceae,Buchanania siamensis,Miq.,Cambodia
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,Cambodia
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Cambodia
Anacardiaceae,Gluta cambodiana,Pierre,Cambodia
Anacardiaceae,Gluta laccifera,(Pierre) Ding Hou,Cambodia
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,Cambodia
Anacardiaceae,Mangifera caloneura,Kurz,Cambodia
Anacardiaceae,Mangifera cochinchinensis,Engl.,Cambodia
Anacardiaceae,Mangifera flava,Evrard,Cambodia
Anacardiaceae,Mangifera laurina,Blume,Cambodia
Anacardiaceae,Mangifera reba,Pierre,Cambodia
Anacardiaceae,Mangifera sylvatica,Roxb.,Cambodia
Anacardiaceae,Rhus chinensis,Mill.,Cambodia
Anacardiaceae,Semecarpus cochinchinensis,Engl.,Cambodia
Anacardiaceae,Semecarpus densiflorus,(Merr.) Steenis,Cambodia
Anacardiaceae,Spondias malayana,Kosterm.,Cambodia
Anacardiaceae,Swintonia pierrei,Hance,Cambodia
Anacardiaceae,Swintonia schwenckii,Teijsm. & Binn. ex Hook.f.,Cambodia
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,Cambodia
Annonaceae,Anaxagorea luzonensis,A.Gray,Cambodia
Annonaceae,Cananga brandisiana,(Pierre) Saff.,Cambodia
Annonaceae,Dasymaschalon lomentaceum,Finet & Gagnep.,Cambodia
Annonaceae,Dasymaschalon macrocalyx,Finet & Gagnep.,Cambodia
Annonaceae,Goniothalamus gabriacianus,(Baill.) Ast,Cambodia
Annonaceae,Goniothalamus repevensis,Pierre ex Finet & Gagnep.,Cambodia
