family,taxon,author,native to
Anacardiaceae,Rhus copallinum,L.,Canada
Anacardiaceae,Rhus glabra,L.,Canada
Anacardiaceae,Rhus typhina,L.,Canada
Anacardiaceae,Toxicodendron vernix,(L.) Kuntze,Canada
Annonaceae,Asimina triloba,(L.) Dunal,Canada
Aquifoliaceae,Ilex mucronata,"(L.) M. Powell, Savol. & S. Andrews",Canada
Aquifoliaceae,Ilex verticillata,(L.) A. Gray,Canada
Asteraceae,Artemisia tridentata,Nutt.,Canada
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Canada
Betulaceae,Alnus incana,(L.) Moench,Canada
Betulaceae,Alnus rubra,Bong.,Canada
Betulaceae,Alnus serrulata,(Aiton) Willd.,Canada
Betulaceae,Betula alleghaniensis,Britton,Canada
Betulaceae,Betula cordifolia,Regel,Canada
Betulaceae,Betula lenta,L.,Canada
Betulaceae,Betula murrayana,B.V.Barnes & Dancik,Canada
Betulaceae,Betula occidentalis,Hook.,Canada
Betulaceae,Betula papyrifera,Marshall,Canada
Betulaceae,Betula pendula,Roth,Canada
Betulaceae,Betula populifolia,Marshall,Canada
Betulaceae,Betula pubescens,Ehrh.,Canada
Betulaceae,Carpinus caroliniana,Walter,Canada
Betulaceae,Corylus cornuta,Marshall,Canada
Betulaceae,Ostrya virginiana,(Mill.) K.Koch,Canada
Cannabaceae,Celtis occidentalis,L.,Canada
Celastraceae,Euonymus atropurpureus,Jacq.,Canada
Celastraceae,Euonymus occidentalis,Nutt. ex Torr.,Canada
Clethraceae,Clethra alnifolia,L.,Canada
Cornaceae,Cornus alternifolia,L.f.,Canada
Cornaceae,Cornus asperifolia,Michx.,Canada
Cornaceae,Cornus florida,L.,Canada
Cornaceae,Cornus foemina,Mill.,Canada
Cornaceae,Cornus nuttallii,Audubon ex Torr. & A.Gray,Canada
Cornaceae,Cornus rugosa,Lam.,Canada
Cupressaceae,Callitropsis nootkatensis,(D.Don) Oerst. ex D.P.Little,Canada
Cupressaceae,Juniperus communis,L.,Canada
Cupressaceae,Juniperus scopulorum,Sarg.,Canada
Cupressaceae,Juniperus virginiana,L.,Canada
Cupressaceae,Thuja occidentalis,L.,Canada
Cupressaceae,Thuja plicata,Donn ex D.Don,Canada
Elaeagnaceae,Shepherdia argentea,(Pursh) Nutt.,Canada
Ericaceae,Arbutus menziesii,Pursh,Canada
Ericaceae,Arctostaphylos columbiana,Piper,Canada
Ericaceae,Rhododendron macrophyllum,D.Don ex G.Don,Canada
Ericaceae,Rhododendron maximum,L.,Canada
Fabaceae,Gleditsia triacanthos,L.,Canada
Fabaceae,Gymnocladus dioicus,(L.) K.Koch,Canada
Fabaceae,Robinia pseudoacacia,L.,Canada
Fagaceae,Castanea dentata,(Marshall) Borkh.,Canada
Fagaceae,Fagus grandifolia,Ehrh.,Canada
Fagaceae,Quercus alba,L.,Canada
Fagaceae,Quercus bicolor,Willd.,Canada
Fagaceae,Quercus ellipsoidalis,E.J.Hill,Canada
Fagaceae,Quercus garryana,Douglas ex Hook.,Canada
Fagaceae,Quercus ilicifolia,Wangenh.,Canada
Fagaceae,Quercus macrocarpa,Michx.,Canada
Fagaceae,Quercus muehlenbergii,Engelm.,Canada
Fagaceae,Quercus palustris,Münchh.,Canada
Fagaceae,Quercus prinoides,Willd.,Canada
Fagaceae,Quercus rubra,L.,Canada
Fagaceae,Quercus shumardii,Buckley,Canada
Fagaceae,Quercus velutina,Lam.,Canada
Hamamelidaceae,Hamamelis virginiana,L.,Canada
Juglandaceae,Carya cordiformis,(Wangenh.) K.Koch,Canada
Juglandaceae,Carya glabra,(Mill.) Sweet,Canada
Juglandaceae,Carya laciniosa,(Michx.f.) G.Don,Canada
Juglandaceae,Carya ovata,(Mill.) K.Koch,Canada
Juglandaceae,Juglans cinerea,L.,Canada
Juglandaceae,Juglans nigra,L.,Canada
Lauraceae,Lindera benzoin,(L.) Blume,Canada
Lauraceae,Sassafras albidum,(Nutt.) Nees,Canada
Magnoliaceae,Liriodendron tulipifera,L.,Canada
Magnoliaceae,Magnolia acuminata,(L.) L.,Canada
Malvaceae,Tilia americana,L.,Canada
Moraceae,Morus rubra,L.,Canada
Myricaceae,Morella californica,(Cham.) Wilbur,Canada
Myricaceae,Morella pensylvanica,(Mirb.) Kartesz,Canada
Nyssaceae,Nyssa sylvatica,Marshall,Canada
Oleaceae,Fraxinus latifolia,Benth.,Canada
Oleaceae,Fraxinus nigra,Marshall,Canada
Oleaceae,Fraxinus pennsylvanica,Marshall,Canada
Pinaceae,Abies amabilis,(Douglas ex Loudon) J.Forbes,Canada
Pinaceae,Abies balsamea,(L.) Mill.,Canada
Pinaceae,Abies grandis,(Douglas ex D.Don) Lindl.,Canada
Pinaceae,Abies lasiocarpa,(Hook.) Nutt.,Canada
Pinaceae,Larix laricina,(Du Roi) K.Koch,Canada
Pinaceae,Larix lyallii,Parl.,Canada
Pinaceae,Larix occidentalis,Nutt.,Canada
Pinaceae,Picea engelmannii,Parry ex Engelm.,Canada
Pinaceae,Picea glauca,(Moench) Voss,Canada
Pinaceae,Picea mariana,"(Mill.) Britton, Sterns & Poggenb.",Canada
Pinaceae,Picea rubens,Sarg.,Canada
Pinaceae,Picea sitchensis,(Bong.) Carrière,Canada
Pinaceae,Pinus albicaulis,Engelm.,Canada
Pinaceae,Pinus banksiana,Lamb.,Canada
Pinaceae,Pinus contorta,Douglas ex Loudon,Canada
Pinaceae,Pinus flexilis,E.James,Canada
Pinaceae,Pinus monticola,Douglas ex D.Don,Canada
Pinaceae,Pinus ponderosa,Douglas ex C.Lawson,Canada
Pinaceae,Pinus resinosa,Aiton,Canada
Pinaceae,Pinus rigida,Mill.,Canada
Pinaceae,Pinus strobus,L.,Canada
Pinaceae,Pseudotsuga menziesii,(Mirb.) Franco,Canada
Pinaceae,Tsuga canadensis,(L.) Carrière,Canada
Pinaceae,Tsuga heterophylla,(Raf.) Sarg.,Canada
Pinaceae,Tsuga mertensiana,(Bong.) Carrière,Canada
Platanaceae,Platanus occidentalis,L.,Canada
Rhamnaceae,Ceanothus velutinus,Douglas ex Hook.,Canada
Rhamnaceae,Frangula purshiana,Cooper,Canada
Rosaceae,Amelanchier arborea,(F.Michx.) Fernald,Canada
Rosaceae,Amelanchier bartramiana,(Tausch) M.Roem.,Canada
Rosaceae,Amelanchier canadensis,(L.) Medik.,Canada
