family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Cayman Islands
Anacardiaceae,Comocladia dentata,Jacq.,Cayman Islands
Anacardiaceae,Metopium toxiferum,(L.) Krug & Urb.,Cayman Islands
Anacardiaceae,Spondias mombin,L.,Cayman Islands
Annonaceae,Annona glabra,L.,Cayman Islands
Annonaceae,Annona montana,Macfad.,Cayman Islands
Annonaceae,Annona mucosa,Jacq.,Cayman Islands
Apocynaceae,Plumeria obtusa,L.,Cayman Islands
Apocynaceae,Rauvolfia nitida,Jacq.,Cayman Islands
Apocynaceae,Tabernaemontana laurifolia,L.,Cayman Islands
Araliaceae,Dendropanax arboreus,(L.) Decne. & Planch.,Cayman Islands
Arecaceae,Coccothrinax proctorii,Read,Cayman Islands
Arecaceae,Roystonea regia,(Kunth) O.F.Cook,Cayman Islands
Arecaceae,Thrinax radiata,Lodd. ex Schult. & Schult.f.,Cayman Islands
Asteraceae,Baccharis dioica,Vahl,Cayman Islands
Bignoniaceae,Crescentia cujete,L.,Cayman Islands
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Cayman Islands
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Cayman Islands
Boraginaceae,Bourreria succulenta,Jacq.,Cayman Islands
Boraginaceae,Cordia gerascanthus,L.,Cayman Islands
Boraginaceae,Cordia laevigata,Lam.,Cayman Islands
Boraginaceae,Cordia sebestena,L.,Cayman Islands
Boraginaceae,Ehretia tinifolia,L.,Cayman Islands
Burseraceae,Bursera simaruba,(L.) Sarg.,Cayman Islands
Buxaceae,Buxus bahamensis,Baker,Cayman Islands
Cactaceae,Consolea macracantha,(Griseb.) A.Berger,Cayman Islands
Cactaceae,Consolea millspaughii,(Britton) A.Berger,Cayman Islands
Cactaceae,Harrisia gracilis,(Mill.) Britton,Cayman Islands
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Cayman Islands
Calophyllaceae,Mammea americana,L.,Cayman Islands
Canellaceae,Canella winterana,(L.) Gaertn.,Cayman Islands
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Cayman Islands
Cannabaceae,Celtis trinervia,Lam.,Cayman Islands
Cannabaceae,Trema lamarckianum,(Schult.) Blume,Cayman Islands
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Cayman Islands
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Cayman Islands
Capparaceae,Quadrella ferruginea,(L.) Iltis & Cornejo,Cayman Islands
Celastraceae,Crossopetalum rhacoma,Crantz,Cayman Islands
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Cayman Islands
Celastraceae,Maytenus buxifolia,(A.Rich.) Griseb.,Cayman Islands
Celastraceae,Schaefferia frutescens,Jacq.,Cayman Islands
Chrysobalanaceae,Chrysobalanus icaco,L.,Cayman Islands
Clusiaceae,Clusia flava,Jacq.,Cayman Islands
Clusiaceae,Clusia rosea,Jacq.,Cayman Islands
Combretaceae,Conocarpus erectus,L.,Cayman Islands
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Cayman Islands
Erythroxylaceae,Erythroxylum areolatum,L.,Cayman Islands
Erythroxylaceae,Erythroxylum confusum,Britton,Cayman Islands
Erythroxylaceae,Erythroxylum rotundifolium,Lunan,Cayman Islands
Euphorbiaceae,Adelia ricinella,L.,Cayman Islands
Euphorbiaceae,Argythamnia candicans,Sw.,Cayman Islands
Euphorbiaceae,Bernardia dichotoma,(Willd.) Müll.Arg.,Cayman Islands
Euphorbiaceae,Croton glabellus,L.,Cayman Islands
Euphorbiaceae,Croton nitens,Sw.,Cayman Islands
Euphorbiaceae,Croton rosmarinoides,Millsp.,Cayman Islands
Euphorbiaceae,Euphorbia cassythoides,Boiss.,Cayman Islands
Euphorbiaceae,Euphorbia sinclairiana,Benth.,Cayman Islands
Euphorbiaceae,Hippomane mancinella,L.,Cayman Islands
Euphorbiaceae,Jatropha divaricata,Sw.,Cayman Islands
Fabaceae,Bauhinia divaricata,L.,Cayman Islands
Fabaceae,Dalbergia brownei,(Jacq.) Schinz,Cayman Islands
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Cayman Islands
Fabaceae,Guilandina bonduc,L.,Cayman Islands
Fabaceae,Piscidia piscipula,(L.) Sarg.,Cayman Islands
Fabaceae,Sophora tomentosa,L.,Cayman Islands
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Cayman Islands
Heliotropiaceae,Tournefortia astrotricha,Sw.,Cayman Islands
Lamiaceae,Aegiphila elata,Sw.,Cayman Islands
Lamiaceae,Petitia domingensis,Jacq.,Cayman Islands
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Cayman Islands
Malvaceae,Guazuma ulmifolia,Lam.,Cayman Islands
Malvaceae,Helicteres jamaicensis,Jacq.,Cayman Islands
Malvaceae,Hibiscus clypeatus,L.,Cayman Islands
Malvaceae,Hibiscus tiliaceus,L.,Cayman Islands
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Cayman Islands
Malvaceae,Triumfetta lappula,L.,Cayman Islands
Malvaceae,Triumfetta semitriloba,Jacq.,Cayman Islands
Meliaceae,Cedrela odorata,L.,Cayman Islands
Meliaceae,Swietenia mahagoni,(L.) Jacq.,Cayman Islands
Meliaceae,Trichilia glabra,L.,Cayman Islands
Meliaceae,Trichilia havanensis,Jacq.,Cayman Islands
Moraceae,Ficus aurea,Nutt.,Cayman Islands
Moraceae,Ficus citrifolia,Mill.,Cayman Islands
Moraceae,Maclura tinctoria,(L.) D.Don ex Steud.,Cayman Islands
Myricaceae,Morella cerifera,(L.) Small,Cayman Islands
Myrtaceae,Eugenia axillaris,(Sw.) Willd.,Cayman Islands
Myrtaceae,Eugenia biflora,(L.) DC.,Cayman Islands
Myrtaceae,Eugenia foetida,Pers.,Cayman Islands
Myrtaceae,Eugenia monticola,(Sw.) DC.,Cayman Islands
Myrtaceae,Myrcia zuzygium,(L.) A.R.Lourenço & E.Lucas,Cayman Islands
Myrtaceae,Myrcianthes fragrans,(Sw.) McVaugh,Cayman Islands
Myrtaceae,Pimenta dioica,(L.) Merr.,Cayman Islands
Myrtaceae,Pimenta racemosa,(Mill.) J.W.Moore,Cayman Islands
Myrtaceae,Psidium guajava,L.,Cayman Islands
Nyctaginaceae,Guapira discolor,(Spreng.) Little,Cayman Islands
Nyctaginaceae,Pisonia aculeata,L.,Cayman Islands
Olacaceae,Ximenia americana,L.,Cayman Islands
Oleaceae,Chionanthus caymanensis,Stearn,Cayman Islands
Oleaceae,Forestiera segregata,(Jacq.) Krug & Urb.,Cayman Islands
Phyllanthaceae,Astrocasia tremula,(Griseb.) G.L.Webster,Cayman Islands
Phyllanthaceae,Chascotheca neopeltandra,(Griseb.) Urb.,Cayman Islands
Phyllanthaceae,Heterosavia bahamensis,(Britton) Petra Hoffm.,Cayman Islands
Phyllanthaceae,Margaritaria nobilis,L.f.,Cayman Islands
Phyllanthaceae,Phyllanthus angustifolius,(Sw.) Sw.,Cayman Islands
Phyllanthaceae,Phyllanthus nutans,Sw.,Cayman Islands
Picramniaceae,Alvaradoa amorphoides,Liebm.,Cayman Islands
Picrodendraceae,Picrodendron baccatum,(L.) Krug & Urb.,Cayman Islands
Piperaceae,Piper amalago,L.,Cayman Islands
Polygalaceae,Badiera propinqua,Britton,Cayman Islands
Polygonaceae,Coccoloba uvifera,(L.) L.,Cayman Islands
Primulaceae,Jacquinia berteroi,Spreng.,Cayman Islands
Primulaceae,Jacquinia keyensis,Mez,Cayman Islands
Primulaceae,Myrsine acrantha,Krug & Urb.,Cayman Islands
Rhamnaceae,Colubrina arborescens,(Mill.) Sarg.,Cayman Islands
Rhamnaceae,Colubrina cubensis,(Jacq.) Brongn.       ,Cayman Islands
Rhamnaceae,Colubrina elliptica,(Sw.) Brizicky & W.L.Stern,Cayman Islands
Rhizophoraceae,Rhizophora mangle,L.,Cayman Islands
Rubiaceae,Erithalis fruticosa,L.,Cayman Islands
Rubiaceae,Ernodea littoralis,Sw.,Cayman Islands
Rubiaceae,Exostema caribaeum,(Jacq.) Schult.,Cayman Islands
Rubiaceae,Faramea occidentalis,(L.) A.Rich.,Cayman Islands
Rubiaceae,Guettarda elliptica,Sw.,Cayman Islands
Rubiaceae,Hamelia cuprea,Griseb.,Cayman Islands
Rubiaceae,Randia aculeata,L.,Cayman Islands
Rubiaceae,Stenostomum lucidum,(Sw.) C.F.Gaertn.,Cayman Islands
Rutaceae,Amyris elemifera,L.,Cayman Islands
Rutaceae,Zanthoxylum caribaeum,Lam.,Cayman Islands
Rutaceae,Zanthoxylum flavum,Vahl,Cayman Islands
Rutaceae,Zanthoxylum spinosum,(L.) Sw.,Cayman Islands
Salicaceae,Banara caymanensis,Proctor,Cayman Islands
Salicaceae,Casearia aculeata,Jacq.,Cayman Islands
Salicaceae,Casearia guianensis,(Aubl.) Urb.,Cayman Islands
Salicaceae,Casearia hirsuta,Sw.,Cayman Islands
Salicaceae,Casearia laetioides,(A.Rich.) Warb.,Cayman Islands
Salicaceae,Casearia sylvestris,Sw.,Cayman Islands
Salicaceae,Xylosma bahamensis,(Britton) Standl.,Cayman Islands
Sapindaceae,Allophylus cominia,(L.) Sw.,Cayman Islands
Sapindaceae,Dodonaea viscosa,(L.) Jacq.,Cayman Islands
Sapindaceae,Exothea paniculata,(Juss.) Radlk.,Cayman Islands
Sapindaceae,Hypelate trifoliata,Sw.,Cayman Islands
Sapindaceae,Sapindus saponaria,L.,Cayman Islands
Sapotaceae,Sideroxylon foetidissimum,Jacq.,Cayman Islands
Sapotaceae,Sideroxylon horridum,(Griseb.) T.D.Penn.,Cayman Islands
Scrophulariaceae,Bontia daphnoides,L.,Cayman Islands
Solanaceae,Cestrum diurnum,L.,Cayman Islands
Solanaceae,Solandra longiflora,Tussac,Cayman Islands
Surianaceae,Suriana maritima,L.,Cayman Islands
Thymelaeaceae,Daphnopsis occidentalis,(Sw.) Krug & Urb.,Cayman Islands
Verbenaceae,Duranta erecta,L.,Cayman Islands
