family,taxon,author,native to
Achariaceae,Buchnerodendron speciosum,Gürke,Central African Republic
Achariaceae,Caloncoba crepiniana,(De Wild. & T.Durand) Gilg,Central African Republic
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,Central African Republic
Achariaceae,Camptostylus mannii,(Oliv.) Gilg,Central African Republic
Achariaceae,Dasylepis seretii,De Wild.,Central African Republic
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Central African Republic
Achariaceae,Lindackeria schweinfurthii,Gilg,Central African Republic
Achariaceae,Rawsonia lucida,Harv. & Sond.,Central African Republic
Achariaceae,Scottellia klaineana,Pierre,Central African Republic
Achariaceae,Scottellia leonensis,Oliv.,Central African Republic
Achariaceae,Scottellia orientalis,Gilg,Central African Republic
Anacardiaceae,Antrocaryon klaineanum,Pierre,Central African Republic
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Central African Republic
Anacardiaceae,Lannea chevalieri,Engl.,Central African Republic
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Central African Republic
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Central African Republic
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Central African Republic
Anacardiaceae,Lannea schweinfurthii,Engl.,Central African Republic
Anacardiaceae,Lannea velutina,A.Rich.,Central African Republic
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Central African Republic
Anacardiaceae,Ozoroa insignis,Delile,Central African Republic
Anacardiaceae,Pseudospondias longifolia,Engl.,Central African Republic
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Central African Republic
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Central African Republic
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Central African Republic
Anacardiaceae,Sorindeia africana,(Engl.) Van der Veken,Central African Republic
Anacardiaceae,Sorindeia grandifolia,Engl.,Central African Republic
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Central African Republic
Anacardiaceae,Trichoscypha acuminata,Engl.,Central African Republic
Anacardiaceae,Trichoscypha reygaertii,De Wild.,Central African Republic
Annonaceae,Annona senegalensis,Pers.,Central African Republic
Annonaceae,Anonidium mannii,(Oliv.) Engl. & Diels,Central African Republic
Annonaceae,Cleistopholis glauca,Pierre ex Engl. & Diels,Central African Republic
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Central African Republic
Annonaceae,Cleistopholis staudtii,(Engl. & Diels) Engl. & Diels,Central African Republic
Annonaceae,Duguetia staudtii,(Engl. & Diels) Chatrou,Central African Republic
Annonaceae,Greenwayodendron suaveolens,(Engl. & Diels) Verdc.,Central African Republic
Annonaceae,Hexalobus crispiflorus,A.Rich.,Central African Republic
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Central African Republic
Annonaceae,Isolona hexaloba,(Pierre) Engl. & Diels,Central African Republic
Annonaceae,Isolona thonneri,(De Wild. & T.Durand) Engl. & Diels,Central African Republic
Annonaceae,Meiocarpidium oliverianum,(Baill.) D.M.Johnson & N.A.Murray,Central African Republic
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,Central African Republic
Annonaceae,Monanthotaxis ferruginea,(Oliv.) Verdc.,Central African Republic
Annonaceae,Monanthotaxis littoralis,(Bagsh. & Baker f.) Verdc.,Central African Republic
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Central African Republic
Annonaceae,Monodora angolensis,Welw.,Central African Republic
Annonaceae,Monodora crispata,Engl.,Central African Republic
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Central African Republic
Annonaceae,Monodora tenuifolia,Benth.,Central African Republic
Annonaceae,Neostenanthera myristicifolia,(Oliv.) Exell,Central African Republic
Annonaceae,Piptostigma mortehanii,De Wild.,Central African Republic
Annonaceae,Polyceratocarpus gossweileri,(Exell) Paiva,Central African Republic
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Central African Republic
Annonaceae,Uvaria schweinfurthii,Engl. & Diels,Central African Republic
Annonaceae,Uvariastrum germainii,Boutique,Central African Republic
Annonaceae,Uvariastrum pierreanum,Engl.,Central African Republic
Annonaceae,Uvariodendron molundense,(Diels) R.E.Fr.,Central African Republic
Annonaceae,Uvariopsis solheidii,(De Wild.) Robyns & Ghesq.,Central African Republic
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Central African Republic
