family,taxon,author,native to
Achariaceae,Caloncoba crepiniana,(De Wild. & T.Durand) Gilg,Chad
Anacardiaceae,Haematostaphis barteri,Hook.f.,Chad
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Chad
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Chad
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Chad
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Chad
Anacardiaceae,Lannea sessilifoliata,Engl.,Chad
Anacardiaceae,Lannea velutina,A.Rich.,Chad
Anacardiaceae,Ozoroa insignis,Delile,Chad
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Chad
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Chad
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Chad
Annonaceae,Annona senegalensis,Pers.,Chad
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Chad
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,Chad
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Chad
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Chad
Apiaceae,Steganotaenia araliacea,Hochst.,Chad
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Chad
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Chad
Apocynaceae,Carissa spinarum,L.,Chad
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Chad
Apocynaceae,Rauvolfia caffra,Sond.,Chad
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Chad
Arecaceae,Borassus aethiopum,Mart.,Chad
Arecaceae,Elaeis guineensis,Jacq.,Chad
Arecaceae,Hyphaene thebaica,(L.) Mart.,Chad
Arecaceae,Raphia monbuttorum,Drude,Chad
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Chad
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Chad
Bignoniaceae,Stereospermum kunthianum,Cham.,Chad
Boraginaceae,Cordia sinensis,Lam.,Chad
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,Chad
Burseraceae,Boswellia dalzielii,Hutch.,Chad
Burseraceae,Boswellia papyrifera,(Caill. ex Delile) Hochst.,Chad
Burseraceae,Commiphora africana,(A.Rich.) Engl.,Chad
Burseraceae,Commiphora kerstingii,Engl.,Chad
Burseraceae,Commiphora pedunculata,(Kotschy & Peyr.) Engl.,Chad
Burseraceae,Commiphora quadricincta,Schweinf.,Chad
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Chad
Cannabaceae,Trema orientale,(L.) Blume,Chad
Capparaceae,Boscia angustifolia,A.Rich.,Chad
Capparaceae,Boscia salicifolia,Oliv.,Chad
Capparaceae,Boscia senegalensis,Lam.,Chad
Capparaceae,Cadaba farinosa,Forssk.,Chad
Capparaceae,Cadaba glandulosa,Forssk.,Chad
Capparaceae,Capparis cartilaginea,Decne.,Chad
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Chad
Capparaceae,Crateva adansonii,DC.,Chad
Capparaceae,Maerua angolensis,DC.,Chad
Capparaceae,Maerua crassifolia,Forssk.,Chad
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Chad
Chrysobalanaceae,Parinari curatellifolia,Planch. ex Benth.,Chad
Clusiaceae,Garcinia ovalifolia,Oliv.,Chad
Clusiaceae,Symphonia globulifera,L.f.,Chad
Combretaceae,Combretum aculeatum,Vent.,Chad
Combretaceae,Combretum collinum,Fresen.,Chad
Combretaceae,Combretum glutinosum,Perr. ex DC.,Chad
Combretaceae,Combretum molle,R.Br. ex G.Don,Chad
Combretaceae,Guiera senegalensis,J.F.Gmel.,Chad
Combretaceae,Terminalia avicennioides,Guill. & Perr.,Chad
Combretaceae,Terminalia brownii,Fresen.,Chad
Combretaceae,Terminalia glaucescens,Planch. ex Benth.,Chad
Combretaceae,Terminalia laxiflora,Engl.,Chad
Combretaceae,Terminalia leiocarpa,(DC.) Baill.,Chad
Combretaceae,Terminalia macroptera,Guill. & Perr.,Chad
Dipterocarpaceae,Monotes kerstingii,Gilg,Chad
Ebenaceae,Diospyros abyssinica,(Hiern) F.White,Chad
Ebenaceae,Diospyros mespiliformis,Hochst. ex A.DC.,Chad
Erythroxylaceae,Erythroxylum emarginatum,Thonn.,Chad
Euphorbiaceae,Alchornea cordifolia,(Schumach. & Thonn.) Müll.Arg.,Chad
Euphorbiaceae,Alchornea occidentalis,(Müll.Arg.) Pax & K.Hoffm.,Chad
Euphorbiaceae,Croton gratissimus,Burch.,Chad
Euphorbiaceae,Croton leuconeurus,Pax,Chad
Euphorbiaceae,Euphorbia cuneata,Vahl,Chad
Euphorbiaceae,Euphorbia desmondii,Keay & Milne-Redh.,Chad
Euphorbiaceae,Euphorbia drupifera,Thonn.,Chad
Euphorbiaceae,Euphorbia kamerunica,Pax,Chad
Euphorbiaceae,Euphorbia sudanica,A.Chev.,Chad
Euphorbiaceae,Euphorbia teke,Schweinf. ex Pax,Chad
Euphorbiaceae,Macaranga schweinfurthii,Pax,Chad
Fabaceae,Aeschynomene elaphroxylon,(Guill. & Perr.) Taub.,Chad
Fabaceae,Afzelia africana,Sm.,Chad
Fabaceae,Albizia chevalieri,Harms,Chad
Fabaceae,Albizia malacophylla,(A.Rich.) Walp.,Chad
Fabaceae,Albizia zygia,(DC.) J.F.Macbr.,Chad
Fabaceae,Amblygonocarpus andongensis,(Welw. ex Oliv.) Exell & Torre,Chad
Fabaceae,Andira inermis,(W.Wright) DC.,Chad
Fabaceae,Anonychium africanum,(Guill. & Perr.) C.E.Hughes & G.P.Lewis,Chad
Fabaceae,Bauhinia rufescens,Lam.,Chad
Fabaceae,Bobgunnia madagascariensis,(Desv.) J.H.Kirkbr. & Wiersema,Chad
Fabaceae,Burkea africana,Hook.,Chad
Fabaceae,Calpocalyx brevibracteatus,Harms,Chad
Fabaceae,Cassia sieberiana,DC.,Chad
Fabaceae,Chidlowia sanguinea,Hoyle,Chad
Fabaceae,Cordyla pinnata,(A.Rich.) Milne-Redh.,Chad
Fabaceae,Dalbergia melanoxylon,Guill. & Perr.,Chad
Fabaceae,Daniellia oliveri,(Rolfe) Hutch. & Dalziel,Chad
Fabaceae,Detarium microcarpum,Guill. & Perr.,Chad
Fabaceae,Detarium senegalense,J.F.Gmel.,Chad
Fabaceae,Dichrostachys cinerea,(L.) Wight & Arn.,Chad
Fabaceae,Entada africana,Guill. & Perr.,Chad
Fabaceae,Erythrina senegalensis,DC.,Chad
Fabaceae,Erythrina sigmoidea,Hua,Chad
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Chad
Fabaceae,Isoberlinia doka,Craib & Stapf,Chad
Fabaceae,Isoberlinia tomentosa,(Harms) Craib & Stapf,Chad
Fabaceae,Osodendron altissimum,(Hook.f.) E.J.M.Koenen,Chad
Fabaceae,Parkia biglobosa,(Jacq.) R.Br. ex G.Don,Chad
Fabaceae,Pericopsis laxiflora,(Benth. ex Baker) Meeuwen,Chad
Fabaceae,Philenoptera laxiflora,(Guill. & Perr.) Roberty,Chad
Fabaceae,Piliostigma thonningii,(Schumach.) Milne-Redh.,Chad
Fabaceae,Pterocarpus erinaceus,Poir.,Chad
Fabaceae,Pterocarpus lucens,Lepr. ex Guill. & Perr.,Chad
Fabaceae,Senegalia ataxacantha,(DC.) Kyal. & Boatwr.,Chad
Fabaceae,Senegalia dudgeonii,(Craib) Kyal. & Boatwr.,Chad
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Chad
Fabaceae,Senegalia macrostachya,(Rchb. ex DC.) Kyal. & Boatwr.,Chad
Fabaceae,Senegalia mellifera,(Benth.) Seigler & Ebinger,Chad
Fabaceae,Senegalia polyacantha,(Willd.) Seigler & Ebinger,Chad
Fabaceae,Senegalia senegal,(L.) Britton,Chad
Fabaceae,Senna alexandrina,Mill.,Chad
Fabaceae,Senna singueana,(Delile) Lock,Chad
