family,taxon,author,native to
Aextoxicaceae,Aextoxicon punctatum,Ruiz & Pav.,Chile
Amaranthaceae,Chenopodium nesodendron,Skottsb.,Chile
Anacardiaceae,Haplorhus peruviana,Engl.,Chile
Anacardiaceae,Lithraea caustica,(Molina) Hook. & Arn.,Chile
Anacardiaceae,Schinus patagonicus,(Phil.) I.M. Johnst.,Chile
Anacardiaceae,Schinus pearcei,Engl.,Chile
Anacardiaceae,Schinus polygama,(Cav.) Cabrera,Chile
Araliaceae,Raukaua laetevirens,(Gay) Frodin,Chile
Araucariaceae,Araucaria araucana,(Molina) K.Koch,Chile
Arecaceae,Juania australis,(Mart.) Drude ex Hook.f.,Chile
Arecaceae,Jubaea chilensis,(Molina) Baill.,Chile
Asteraceae,Archidasyphyllum diacanthoides,"(Less.) P.L.Ferreira, Saavedra & Groppo",Chile
Asteraceae,Archidasyphyllum excelsum,"(D.Don) P.L.Ferreira, Saavedra & Groppo",Chile
Asteraceae,Baccharis salicifolia,(Ruiz & Pav.) Pers.,Chile
Asteraceae,Centaurodendron dracaenoides,Johow,Chile
Asteraceae,Centaurodendron palmiforme,Skottsb.,Chile
Asteraceae,Dendroseris berteroana,(Decne.) Hook. & Arn.,Chile
Asteraceae,Dendroseris gigantea,Johow,Chile
Asteraceae,Dendroseris litoralis,Skottsb.        ,Chile
Asteraceae,Dendroseris macrantha,Skottsb.        ,Chile
Asteraceae,Dendroseris macrophylla,D.Don,Chile
Asteraceae,Dendroseris marginata,(Bertero ex Decne.) Hook. & Arn.,Chile
Asteraceae,Dendroseris micrantha,Hook. & Arn.      ,Chile
Asteraceae,Dendroseris neriifolia,(Decne.) Hook. & Arn.,Chile
Asteraceae,Dendroseris pinnata,(Bertero ex Decne.) Hook. & Arn.,Chile
Asteraceae,Dendroseris pruinata,Skottsb.        ,Chile
Asteraceae,Dendroseris regia,Skottsb.,Chile
Asteraceae,Robinsonia berteroi,"(Hemsl.) R.W.Sanders, Stuessy & Martic.",Chile
Asteraceae,Robinsonia macrocephala,Decne.,Chile
Atherospermataceae,Laurelia sempervirens,(Ruiz & Pav.) Tul.,Chile
Atherospermataceae,Laureliopsis philippiana,(Looser) Schodde,Chile
Bignoniaceae,Tecoma fulva,(Cav.) G.Don,Chile
Boraginaceae,Cordia decandra,Hook. & Arn.,Chile
Cactaceae,Browningia candelaris,(Meyen) Britton & Rose,Chile
Cactaceae,Echinopsis atacamensis,(Phil.) Friedrich & G.D.Rowley,Chile
Cactaceae,Eulychnia acida,Phil.,Chile
Cactaceae,Eulychnia breviflora,Phil.,Chile
Cactaceae,Eulychnia castanea,Phil.,Chile
Cactaceae,Eulychnia iquiquensis,(K.Schum.) Britton & Rose,Chile
Cactaceae,Trichocereus chiloensis,(Colla) Britton & Rose,Chile
Capparaceae,Atamisquea emarginata,Miers ex Hook. & Arn.,Chile
Cardiopteridaceae,Citronella mucronata,(Ruiz & Pav.) D.Don,Chile
Celastraceae,Maytenus boaria,Molina,Chile
Celastraceae,Maytenus magellanica,(Lam.) Hook.f.,Chile
Cunoniaceae,Caldcluvia paniculata,(Cav.) D.Don,Chile
Cunoniaceae,Eucryphia cordifolia,Cav.,Chile
Cunoniaceae,Eucryphia glutinosa,(Poepp. & Endl.) Baill.,Chile
Cunoniaceae,Weinmannia trichosperma,Cav.,Chile
Cupressaceae,Austrocedrus chilensis,(D.Don) Pic.Serm. & Bizzarri,Chile
Cupressaceae,Fitzroya cupressoides,(Molina) I.M.Johnst.,Chile
Cupressaceae,Pilgerodendron uviferum,(D.Don) Florin,Chile
Elaeocarpaceae,Aristotelia chilensis,(Molina) Stuntz,Chile
Elaeocarpaceae,Crinodendron patagua,Molina,Chile
Escalloniaceae,Escallonia angustifolia,C.Presl,Chile
Escalloniaceae,Escallonia myrtoidea,Bertero ex DC.,Chile
Escalloniaceae,Escallonia pulverulenta,(Ruiz & Pav.) Pers.,Chile
Escalloniaceae,Escallonia revoluta,(Ruiz & Pav.) Pers.,Chile
Fabaceae,Adesmia viscosa,Gillies ex Hook.,Chile
Fabaceae,Cynometra bauhiniifolia,Benth.,Chile
Fabaceae,Geoffroea decorticans,(Gillies ex Hook. & Arn.) Burkart,Chile
Fabaceae,Neltuma chilensis,(Molina) C.E.Hughes & G.P.Lewis,Chile
Fabaceae,Neltuma flexuosa,(DC.) C.E.Hughes & G.P.Lewis,Chile
Fabaceae,Sophora cassioides,(F.Phil.) Sparre,Chile
Fabaceae,Sophora fernandeziana,(Phil.) Skottsb.,Chile
Fabaceae,Sophora masafuerana,(Phil.) Skottsb.,Chile
Fabaceae,Sophora toromiro,(Phil.) Skottsb.,Chile
Fabaceae,Strombocarpa tamarugo,(Phil.) C.E.Hughes & G.P.Lewis,Chile
Fabaceae,Tara spinosa,(Molina) Britton & Rose,Chile
Fabaceae,Vachellia caven,(Molina) Seigler & Ebinger,Chile
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Chile
Gomortegaceae,Gomortega keule,(Molina) Baill.,Chile
Lamiaceae,Cuminia eriantha,(Benth.) Benth.,Chile
Lauraceae,Beilschmiedia berteroana,(Gay) Kosterm.,Chile
Lauraceae,Beilschmiedia miersii,(Gay) Kosterm.,Chile
Lauraceae,Cryptocarya alba,(Molina) Looser,Chile
Lauraceae,Persea lingue,(Ruiz & Pav.) Nees,Chile
Monimiaceae,Peumus boldus,Molina,Chile
Myricaceae,Morella pavonis,(C.DC.) Parra-O.,Chile
Myrtaceae,Amomyrtus luma,(Molina) D.Legrand & Kausel,Chile
Myrtaceae,Amomyrtus meli,(Phil.) D.Legrand & Kausel,Chile
Myrtaceae,Legrandia concinna,(Phil.) Kausel,Chile
Myrtaceae,Luma apiculata,(DC.) Burret,Chile
Myrtaceae,Luma chequen,(Molina) A.Gray,Chile
Myrtaceae,Metrosideros stipularis,(Hook. & Arn.) Hook.f.,Chile
Myrtaceae,Myrceugenia correifolia,(Hook. & Arn.) O.Berg,Chile
Myrtaceae,Myrceugenia exsucca,(DC.) O.Berg,Chile
Myrtaceae,Myrceugenia obtusa,(DC.) O.Berg,Chile
Myrtaceae,Myrceugenia ovata,(Hook. & Arn.) O.Berg,Chile
Myrtaceae,Myrceugenia parvifolia,(DC.) Kausel,Chile
Myrtaceae,Myrceugenia planipes,(Hook. & Arn.) O.Berg,Chile
Myrtaceae,Myrceugenia schulzei,Johow,Chile
Myrtaceae,Myrcianthes coquimbensis,(Barnéoud) Landrum & Grifo,Chile
Myrtaceae,Nothomyrcia fernandeziana,(Hook. & Arn.) Kausel,Chile
Myrtaceae,Temu cruckshanksii,(Hook. & Arn.) Nied.,Chile
Nothofagaceae,Nothofagus alessandrii,Espinosa,Chile
Nothofagaceae,Nothofagus alpina,(Poepp. & Endl.) Oerst.,Chile
Nothofagaceae,Nothofagus antarctica,(G.Forst.) Oerst.,Chile
Nothofagaceae,Nothofagus betuloides,(Mirb.) Oerst.,Chile
Nothofagaceae,Nothofagus dombeyi,(Mirb.) Oerst.,Chile
Nothofagaceae,Nothofagus glauca,(Phil.) Krasser,Chile
Nothofagaceae,Nothofagus macrocarpa,(A.DC.) F.M.Vázquez & R.A.Rodr.,Chile
Nothofagaceae,Nothofagus nitida,(Phil.) Krasser,Chile
Nothofagaceae,Nothofagus obliqua,(Mirb.) Oerst.,Chile
Nothofagaceae,Nothofagus pumilio,(Poepp. & Endl.) Krasser,Chile
Podocarpaceae,Podocarpus nubigenus,Lindl.,Chile
Podocarpaceae,Podocarpus salignus,D.Don,Chile
Podocarpaceae,Prumnopitys andina,(Poepp. ex Endl.) de Laub.,Chile
Podocarpaceae,Saxegothaea conspicua,Lindl.,Chile
Proteaceae,Embothrium coccineum,J.R.Forst. & G.Forst.,Chile
Proteaceae,Gevuina avellana,Molina,Chile
Proteaceae,Lomatia dentata,R.Br.,Chile
Proteaceae,Lomatia ferruginea,R. Br,Chile
Proteaceae,Lomatia hirsuta,(Lam.) Diels,Chile
Quillajaceae,Quillaja saponaria,Molina,Chile
Rhamnaceae,Colletia spinosissima,J.F.Gmel.,Chile
Rhamnaceae,Discaria chacaye,(G.Don) Tortosa,Chile
Rhamnaceae,Ochetophila trinervis,(Gillies ex Hook.) Poepp. ex Endl.,Chile
Rosaceae,Kageneckia angustifolia,D.Don,Chile
Rosaceae,Kageneckia oblonga,Ruiz & Pav.,Chile
Rosaceae,Polylepis besseri,Hieron.,Chile
Rosaceae,Polylepis rugulosa,Bitter,Chile
Rosaceae,Polylepis tarapacana,Phil.,Chile
Rubiaceae,Coprosma oliveri,Fosberg,Chile
Rubiaceae,Coprosma pyrifolia,(Hook. & Arn.) Skottsb.,Chile
Rutaceae,Fagara externa,Skottsb.,Chile
Rutaceae,Pitavia punctata,Molina,Chile
Rutaceae,Zanthoxylum mayu,Bertero,Chile
Salicaceae,Azara integrifolia,Ruiz & Pav.,Chile
Salicaceae,Azara lanceolata,Hook.f.,Chile
Salicaceae,Azara microphylla,Hook.f.,Chile
Salicaceae,Azara petiolaris,(D.Don) I.M.Johnst.,Chile
Salicaceae,Azara serrata,Ruiz & Pav.,Chile
Salicaceae,Salix humboldtiana,Willd.,Chile
Santalaceae,Santalum fernandezianum,Phil.,Chile
Sapotaceae,Pouteria lucuma,(Ruiz & Pav.) Kuntze,Chile
Sapotaceae,Pouteria splendens,(A.DC.) Kuntze,Chile
Solanaceae,Cestrum parqui,(Lam.) L'Hér.,Chile
Urticaceae,Boehmeria excelsa,(Bertero ex Steud.) Wedd.,Chile
Verbenaceae,Rhaphithamnus spinosus,(Juss.) Moldenke,Chile
Verbenaceae,Rhaphithamnus venustus,(Phil.) B.L.Rob.,Chile
Winteraceae,Drimys confertifolia,Phil.,Chile
Winteraceae,Drimys winteri,J.R.Forst. & G.Forst.,Chile
Zygophyllaceae,Porlieria chilensis,I.M.Johnst.,Chile
