family,taxon,author,native to
Actinidiaceae,Saurauia tristyla,DC.,"China, Hong Kong Special Administrative Region"
Altingiaceae,Liquidambar chinensis,Champ.,"China, Hong Kong Special Administrative Region"
Altingiaceae,Liquidambar formosana,Hance,"China, Hong Kong Special Administrative Region"
Altingiaceae,Liquidambar gracilipes,(Hemsl.) Ickert-Bond & J.Wen,"China, Hong Kong Special Administrative Region"
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,"China, Hong Kong Special Administrative Region"
Anacardiaceae,Dracontomelon duperreanum,Pierre,"China, Hong Kong Special Administrative Region"
Anacardiaceae,Rhus chinensis,Mill.,"China, Hong Kong Special Administrative Region"
Anacardiaceae,Rhus hypoleuca,Champ. ex Benth.,"China, Hong Kong Special Administrative Region"
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,"China, Hong Kong Special Administrative Region"
Apocynaceae,Cerbera manghas,L.,"China, Hong Kong Special Administrative Region"
Apocynaceae,Kopsia arborea,Blume,"China, Hong Kong Special Administrative Region"
Apocynaceae,Wrightia laevis,Hook.f.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex championii,Loes.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex chapaensis,Merr.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex cinerea,Champ. ex Benth.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex dasyphylla,Merr.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex ficoidea,Hemsl.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex graciliflora,Champ. ex Benth.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex kwangtungensis,Merr.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex lancilimba,Merr.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex rotunda,Thunb.,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex triflora,Blume,"China, Hong Kong Special Administrative Region"
Aquifoliaceae,Ilex viridis,Champ. ex Benth.,"China, Hong Kong Special Administrative Region"
Araliaceae,Aralia chinensis,L.,"China, Hong Kong Special Administrative Region"
Araliaceae,Dendropanax dentiger,(Harms) Merr.,"China, Hong Kong Special Administrative Region"
Araliaceae,Heptapleurum heptaphyllum,(L.) Y.F.Deng,"China, Hong Kong Special Administrative Region"
Arecaceae,Caryota maxima,Blume,"China, Hong Kong Special Administrative Region"
Arecaceae,Livistona chinensis,(Jacq.) R.Br. ex Mart.,"China, Hong Kong Special Administrative Region"
Arecaceae,Livistona saribus,(Lour.) Merr. ex A.Chev.,"China, Hong Kong Special Administrative Region"
Arecaceae,Phoenix loureiroi,Kunth,"China, Hong Kong Special Administrative Region"
