family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,China
Achariaceae,Gynocardia odorata,R.Br.,China
Achariaceae,Hydnocarpus annamensis,(Gagnep.) Lescot & Sleumer,China
Achariaceae,Hydnocarpus hainanensis,(Merr.) Sleumer,China
Actinidiaceae,Saurauia armata,Kurz,China
Actinidiaceae,Saurauia cerea,Griff. ex Dyer,China
Actinidiaceae,Saurauia erythrocarpa,C.F.Liang & Y.S.Wang,China
Actinidiaceae,Saurauia griffithii,Dyer,China
Actinidiaceae,Saurauia macrotricha,Kurz,China
Actinidiaceae,Saurauia miniata,C.F.Liang & Y.S.Wang,China
Actinidiaceae,Saurauia napaulensis,DC.,China
Actinidiaceae,Saurauia polyneura,C.F.Liang & Y.S.Wang,China
Actinidiaceae,Saurauia punduana,Wall.,China
Actinidiaceae,Saurauia sinohirsuta,J.Q.Li & Soejarto,China
Actinidiaceae,Saurauia thyrsiflora,C.F.Liang & Y.S.Wang,China
Actinidiaceae,Saurauia tristyla,DC.,China
Actinidiaceae,Saurauia yunnanensis,C.F.Liang & Y.S.Wang,China
Akaniaceae,Bretschneidera sinensis,Hemsl.,China
Altingiaceae,Liquidambar acalycina,H.T.Chang,China
Altingiaceae,Liquidambar caudata,(H.T.Chang) Ickert-Bond & J.Wen,China
Altingiaceae,Liquidambar chinensis,Champ.,China
Altingiaceae,Liquidambar chingii,(F.P.Metcalf) Ickert-Bond & J.Wen,China
Altingiaceae,Liquidambar excelsa,(Noronha) Oken,China
Altingiaceae,Liquidambar formosana,Hance,China
Altingiaceae,Liquidambar gracilipes,(Hemsl.) Ickert-Bond & J.Wen,China
Altingiaceae,Liquidambar multinervis,(W.C.Cheng) Ickert-Bond & J.Wen,China
Altingiaceae,Liquidambar obovata,(Merr. & Chun) Ickert-Bond & J.Wen,China
Altingiaceae,Liquidambar siamensis,(Craib) Ickert-Bond & J.Wen,China
Altingiaceae,Liquidambar yunnanensis,(Rehder & E.H.Wilson) Ickert-Bond & J.Wen,China
Amaranthaceae,Haloxylon ammodendron,(C.A.Mey.) Bunge ex Fenzl,China
Amaranthaceae,Haloxylon persicum,Bunge,China
Anacardiaceae,Allospondias lakonensis,(Pierre) Stapf,China
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,China
Anacardiaceae,Buchanania lanzan,Spreng.,China
Anacardiaceae,Buchanania microphylla,Engl.,China
Anacardiaceae,Buchanania yunnanensis,C.Y.Wu,China
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,China
Anacardiaceae,Cotinus coggygria,Scop.,China
Anacardiaceae,Cotinus szechuanensis,Pénzes,China
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,China
Anacardiaceae,Dracontomelon duperreanum,Pierre,China
Anacardiaceae,Dracontomelon macrocarpum,H.L.Li,China
Anacardiaceae,Drimycarpus anacardifolius,C.Y.Wu & T.L.Ming,China
Anacardiaceae,Drimycarpus racemosus,(Roxb.) Hook.f. ex Marchand.,China
Anacardiaceae,Gluta gracilis,Evrard,China
Anacardiaceae,Gluta tavoyana,Hook.f.,China
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,China
Anacardiaceae,Mangifera laurina,Blume,China
Anacardiaceae,Mangifera persiciforma,C.Y. Wu & T.L. Ming,China
Anacardiaceae,Mangifera sylvatica,Roxb.,China
Anacardiaceae,Pistacia chinensis,Bunge,China
Anacardiaceae,Pistacia weinmanniifolia,J.Poiss. ex Franch.,China
Anacardiaceae,Rhus chinensis,Mill.,China
Anacardiaceae,Rhus hypoleuca,Champ. ex Benth.,China
Anacardiaceae,Rhus potaninii,Maxim.,China
Anacardiaceae,Rhus punjabensis,J.L.Stewart ex Brandis,China
Anacardiaceae,Searsia paniculata,(Wall. ex G.Don) Moffett,China
Anacardiaceae,Semecarpus microcarpus,Wall.,China
Anacardiaceae,Semecarpus reticulatus,Lecomte,China
Anacardiaceae,Toxicodendron acuminatum,(DC.) C.Y.Wu & T.L.Ming,China
Anacardiaceae,Toxicodendron calcicola,C.Y. Wu,China
Anacardiaceae,Toxicodendron delavayi,(Franch.) F.A. Barkley,China
Anacardiaceae,Toxicodendron fulvum,(W. G. Craib) C.Y. Wu & T.L. Ming,China
Anacardiaceae,Toxicodendron grandiflorum,C.Y. Wu & T.L. Ming,China
Anacardiaceae,Toxicodendron griffithii,(Hook.f.) Kuntze,China
Anacardiaceae,Toxicodendron hookeri,(K.C. Sahni & Bahadur) C.Y. Wu & T.L. Ming,China
Anacardiaceae,Toxicodendron rostratum,T.L. Ming & Z.F. Chen,China
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,China
Anacardiaceae,Toxicodendron sylvestre,(Siebold & Zucc.) Kuntze,China
Anacardiaceae,Toxicodendron trichocarpum,(Miq.) Kuntze,China
Anacardiaceae,Toxicodendron vernicifluum,(Stokes) F.A.Barkley,China
Anacardiaceae,Toxicodendron wallichii,(Hook.f.) Kuntze,China
Annonaceae,Alphonsea boniana,Finet & Gagnep.,China
Annonaceae,Alphonsea hainanensis,Merr. & Chun,China
Annonaceae,Alphonsea mollis,Dunn,China
Annonaceae,Alphonsea monogyna,Merr. & Chun,China
Annonaceae,Alphonsea tsangyuanensis,P.T.Li,China
Annonaceae,Anaxagorea luzonensis,A.Gray,China
Annonaceae,Dasymaschalon glaucum,Merr. & Chun,China
Annonaceae,Dasymaschalon robinsonii,Ast,China
Annonaceae,Dasymaschalon rostratum,Merr. & Chun,China
Annonaceae,Dasymaschalon sootepense,Craib,China
Annonaceae,Dasymaschalon tibetense,X.L.Hou,China
Annonaceae,Dasymaschalon yunnanense,(Hu) Bân,China
Annonaceae,Disepalum petelotii,(Merr.) D.M.Johnson,China
Annonaceae,Disepalum plagioneurum,(Diels) D.M.Johnson,China
Annonaceae,Goniothalamus calvicarpus,Craib,China
Annonaceae,Goniothalamus cheliensis,Hu,China
Annonaceae,Goniothalamus chinensis,Merr. & Chun,China
Annonaceae,Goniothalamus donnaiensis,Finet & Gagnep.,China
Annonaceae,Goniothalamus gabriacianus,(Baill.) Ast,China
Annonaceae,Goniothalamus howii,Merr. & Chun,China
Annonaceae,Goniothalamus laoticus,(Finet & Gagnep.) Bân,China
Annonaceae,Goniothalamus leiocarpus,(W.T.Wang) P.T.Li,China
Annonaceae,Goniothalamus yunnanensis,W.T.Wang,China
Annonaceae,Huberantha cerasoides,(Roxb.) Chaowasku,China
Annonaceae,Marsypopetalum littorale,(Blume) B.Xue & R.M.K.Saunders,China
Annonaceae,Meiogyne hainanensis,(Merr.) Bân,China
Annonaceae,Meiogyne oligocarpa,B.Xue & Y.H.Tan,China
Annonaceae,Miliusa cuneata,W. G. Craib,China
Annonaceae,Miliusa horsfieldii,(Bennett) Baill. ex Pierre,China
Annonaceae,Miliusa sinensis,Finet & Gagnep.,China
Annonaceae,Miliusa tenuistipitata,W.T.Wang,China
Annonaceae,Miliusa velutina,(Dunal) Hook.f. & Thomson,China
Annonaceae,Mitrephora macclurei,Weeras. & R.M.K. Saunders,China
Annonaceae,Mitrephora tomentosa,Hook.f. & Thomson,China
Annonaceae,Mitrephora vulpina,C.E.C.Fisch.,China
Annonaceae,Mitrephora wangii,Hu,China
Annonaceae,Monoon laui,(Merr.) B.Xue & R.M.K.Saunders,China
Annonaceae,Monoon viride,(Craib ) B.Xue & R.M.K.Saunders,China
Annonaceae,Orophea hainanensis,Merr.,China
Annonaceae,Orophea hirsuta,King,China
Annonaceae,Orophea laui,Leonardía & P.J.A. Kessler,China
Annonaceae,Orophea polycarpa,A.DC.,China
Annonaceae,Polyalthia lancilimba,C.Y. Wu ex P.T. Li,China
Annonaceae,Polyalthia obliqua,Hook.f. & Thomson,China
Annonaceae,Polyalthia suberosa,(Roxb.) Thwaites,China
Annonaceae,Polyalthiopsis chinensis,(S.K.Wu & P.T.Li) B.Xue & Y.H.Tan,China
Annonaceae,Polyalthiopsis verrucipes,(C.Y.Wu ex P.T.Li) B.Xue & Y.H.Tan,China
Annonaceae,Popowia pisocarpa,(Blume) Endl. ex Walp.,China
Annonaceae,Pseuduvaria trimera,(W. G. Craib) Y.C.F. Su & R.M.K. Saunders,China
Annonaceae,Trivalvaria costata,(Hook.f. & Thomson) I.M.Turner,China
Annonaceae,Wangia saccopetaloides,(W.T.Wang) X.Guo & R.M.K.Saunders,China
Annonaceae,Wuodendron praecox,"(Hook.f. & Thomson) B.Xue, Y.H.Tan & X.L.Hou",China
Annonaceae,Xylopia vielana,Pierre,China
Apocynaceae,Alstonia rostrata,C.E.C.Fisch.,China
Apocynaceae,Alstonia scholaris,(L.) R.Br.,China
Apocynaceae,Carissa spinarum,L.,China
Apocynaceae,Cerbera manghas,L.,China
Apocynaceae,Holarrhena pubescens,Wall. ex G.Don,China
Apocynaceae,Hunteria zeylanica,(Retz.) Gardner ex Thwaites,China
Apocynaceae,Kibatalia macrophylla,(Pierre ex Hua) Woodson,China
Apocynaceae,Kopsia arborea,Blume,China
Apocynaceae,Kopsia hainanensis,Tsiang,China
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,China
Apocynaceae,Rauvolfia sumatrana,Jack,China
Apocynaceae,Rauvolfia verticillata,(Lour.) Baill.,China
Apocynaceae,Tabernaemontana bovina,Lour.,China
Apocynaceae,Tabernaemontana bufalina,Lour.,China
Apocynaceae,Tabernaemontana corymbosa,Roxb. ex Wall.,China
Apocynaceae,Tabernaemontana divaricata,(L.) R.Br. ex Roem. & Schult.,China
Apocynaceae,Tabernaemontana pandacaqui,Poir.,China
Apocynaceae,Wrightia annamensis,Eberh. & Dubard,China
Apocynaceae,Wrightia arborea,(Dennst.) Mabb.,China
Apocynaceae,Wrightia coccinea,(Roxb. ex Hornem.) Sims,China
Apocynaceae,Wrightia laevis,Hook.f.,China
Apocynaceae,Wrightia pubescens,R.Br.,China
Apocynaceae,Wrightia sikkimensis,Gamble,China
Aquifoliaceae,Ilex angulata,Merr. & Chun,China
Aquifoliaceae,Ilex atrata,W.W. Sm.,China
Aquifoliaceae,Ilex austrosinensis,C.J. Tseng,China
Aquifoliaceae,Ilex bidens,C.Y. Wu,China
Aquifoliaceae,Ilex bioritsensis,Hayata,China
Aquifoliaceae,Ilex brachyphylla,(Hand.-Mazz.) S.Y. Hu,China
Aquifoliaceae,Ilex buergeri,Miq.,China
Aquifoliaceae,Ilex buxoides,S.Y. Hu,China
Aquifoliaceae,Ilex chamaebuxus,C.Y. Wu,China
Aquifoliaceae,Ilex championii,Loes.,China
Aquifoliaceae,Ilex chapaensis,Merr.,China
Aquifoliaceae,Ilex chengbuensis,C.J. Qi & Q.Z. Lin,China
Aquifoliaceae,Ilex chengkouensis,C.J. Tseng,China
Aquifoliaceae,Ilex cheniana,T.R. Dudley,China
Aquifoliaceae,Ilex chinensis,Sims,China
Aquifoliaceae,Ilex chingiana,Hu & T. Tang,China
Aquifoliaceae,Ilex chuniana,S.Y. Hu,China
Aquifoliaceae,Ilex cinerea,Champ. ex Benth.,China
Aquifoliaceae,Ilex cochinchinensis,(Lour.) Loes.,China
Aquifoliaceae,Ilex confertiflora,Merr.,China
Aquifoliaceae,Ilex corallina,Franch.,China
Aquifoliaceae,Ilex cornuta,Lindl. & Paxton,China
Aquifoliaceae,Ilex cupreonitens,C.Y. Wu,China
Aquifoliaceae,Ilex cyrtura,Merr.,China
Aquifoliaceae,Ilex dabieshanensis,K. Yao & M.B. Deng,China
Aquifoliaceae,Ilex dasyphylla,Merr.,China
Aquifoliaceae,Ilex dehongensis,S.K. Chen & Y.X. Feng,China
