family,taxon,author,native to
Anacardiaceae,Spondias dulcis,Parkinson,Christmas Island
Apocynaceae,Cerbera manghas,L.,Christmas Island
Apocynaceae,Ochrosia ackeringae,(Teijsm. & Binn.) Miq.,Christmas Island
Araliaceae,Heptapleurum actinophyllum,(Endl.) Lowry & G.M.Plunkett,Christmas Island
Arecaceae,Arenga listeri,Becc.,Christmas Island
Boraginaceae,Ehretia javanica,Blume,Christmas Island
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Christmas Island
Cannabaceae,Trema tomentosum,(Roxb.) H.Hara,Christmas Island
Combretaceae,Terminalia catappa,L.,Christmas Island
Euphorbiaceae,Alchornea rugosa,(Lour.) Müll.Arg.,Christmas Island
Euphorbiaceae,Aleurites moluccanus,(L.) Willd.,Christmas Island
Euphorbiaceae,Claoxylon indicum,(Reinw. ex Blume) Hassk.,Christmas Island
Euphorbiaceae,Macaranga tanarius,(L.) Müll.Arg.,Christmas Island
Fabaceae,Cynometra iripa,Kostel.,Christmas Island
Fabaceae,Cynometra ramiflora,L.,Christmas Island
Fabaceae,Guilandina bonduc,L.,Christmas Island
Fabaceae,Inocarpus fagifer,(Parkinson ex F.A.Zorn) Fosberg,Christmas Island
Hernandiaceae,Gyrocarpus americanus,Jacq.,Christmas Island
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Christmas Island
Hernandiaceae,Hernandia ovigera,L.,Christmas Island
Lamiaceae,Premna pubescens,Blume,Christmas Island
Lamiaceae,Premna serratifolia,L.,Christmas Island
Lauraceae,Cryptocarya nitens,(Blume) Koord. & Valeton,Christmas Island
Lauraceae,Cryptocarya zollingeriana,Miq.,Christmas Island
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Christmas Island
Lecythidaceae,Barringtonia racemosa,(L.) Spreng.,Christmas Island
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Christmas Island
Malvaceae,Grewia insularis,Ridl.,Christmas Island
Malvaceae,Grewia laevigata,Vahl,Christmas Island
Malvaceae,Heritiera littoralis,Aiton,Christmas Island
Malvaceae,Hibiscus tiliaceus,L.,Christmas Island
Malvaceae,Kleinhovia hospita,L.,Christmas Island
Malvaceae,Melochia umbellata,(Houtt.) Stapf,Christmas Island
Meliaceae,Dysoxylum gaudichaudianum,(A.Juss.) Miq.,Christmas Island
Moraceae,Ficus microcarpa,L.f.,Christmas Island
Moraceae,Ficus saxophila,Blume,Christmas Island
Nyctaginaceae,Ceodes umbellifera,J.R.Forst. & G.Forst.,Christmas Island
Nyctaginaceae,Pisonia grandis,R.Br.,Christmas Island
Olacaceae,Ximenia americana,L.,Christmas Island
Oleaceae,Ligustrum glomeratum,Blume,Christmas Island
Pandanaceae,Pandanus christmatensis,Martelli,Christmas Island
Pandanaceae,Pandanus elatus,Ridl.,Christmas Island
Phyllanthaceae,Antidesma bunius,(L.) Spreng.,Christmas Island
Pittosporaceae,Pittosporum ferrugineum,W.T.Aiton,Christmas Island
Rhamnaceae,Colubrina pedunculata,Baker f.,Christmas Island
Rhizophoraceae,Bruguiera gymnorhiza,(L.) Lam.,Christmas Island
Rhizophoraceae,Bruguiera sexangula,(Lour.) Poir.,Christmas Island
Rubiaceae,Aidia racemosa,(Cav.) Tirveng.,Christmas Island
Rubiaceae,Guettarda speciosa,L.,Christmas Island
Rubiaceae,Morinda citrifolia,L.,Christmas Island
Rutaceae,Acronychia trifoliolata,Zoll. & Moritzi,Christmas Island
Rutaceae,Murraya paniculata,(L.) Jack,Christmas Island
Sapindaceae,Tristiropsis acutangula,Radlk.,Christmas Island
Sapotaceae,Planchonella duclitan,(Blanco) Bakh.f.,Christmas Island
Urticaceae,Dendrocnide peltata,(Blume) Miq.,Christmas Island
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Christmas Island
Vitaceae,Leea angulata,Korth. ex Miq.,Christmas Island
