family,taxon,author,native to
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Cocos (Keeling) Islands
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Cocos (Keeling) Islands
Calophyllaceae,Calophyllum inophyllum,L.,Cocos (Keeling) Islands
Fabaceae,Guilandina bonduc,L.,Cocos (Keeling) Islands
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Cocos (Keeling) Islands
Lamiaceae,Premna serratifolia,L.,Cocos (Keeling) Islands
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Cocos (Keeling) Islands
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Cocos (Keeling) Islands
Malvaceae,Hibiscus tiliaceus,L.,Cocos (Keeling) Islands
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Cocos (Keeling) Islands
Meliaceae,Aglaia lawii,(Wight) C.J.Saldanha,Cocos (Keeling) Islands
Moraceae,Ficus microcarpa,L.f.,Cocos (Keeling) Islands
Nyctaginaceae,Pisonia grandis,R.Br.,Cocos (Keeling) Islands
Olacaceae,Ximenia americana,L.,Cocos (Keeling) Islands
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Cocos (Keeling) Islands
Rubiaceae,Guettarda speciosa,L.,Cocos (Keeling) Islands
Rubiaceae,Morinda citrifolia,L.,Cocos (Keeling) Islands
Surianaceae,Suriana maritima,L.,Cocos (Keeling) Islands
