family,taxon,author,native to
Acanthaceae,Aphelandra acanthus,Nees,Colombia
Acanthaceae,Aphelandra formosa,(Bonpl.) Nees,Colombia
Acanthaceae,Aphelandra hartwegiana,Nees ex Benth.,Colombia
Acanthaceae,Aphelandra parvispica,Leonard,Colombia
Acanthaceae,Aphelandra pulcherrima,(Jacq.) Kunth,Colombia
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Colombia
Acanthaceae,Aphelandra taborensis,Leonard,Colombia
Acanthaceae,Avicennia bicolor,Standl.,Colombia
Acanthaceae,Avicennia germinans,(L.) L.,Colombia
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Colombia
Acanthaceae,Ruellia chartacea,(T. Anderson) Wassh.,Colombia
Acanthaceae,Sanchezia scandens,(Lindau) Leonard & L.B.Sm.,Colombia
Acanthaceae,Trichanthera corymbosa,Leonard,Colombia
Acanthaceae,Trichanthera gigantea,(Bonpl.) Nees,Colombia
Achariaceae,Carpotroche amazonica,Mart. ex Eichler,Colombia
Achariaceae,Carpotroche grandiflora,Spruce ex Eichler,Colombia
Achariaceae,Carpotroche integrifolia,Kuhlm.,Colombia
Achariaceae,Carpotroche longifolia,(Poepp.) Benth.,Colombia
Achariaceae,Carpotroche pacifica,(Cuatrec.) Cuatrec.,Colombia
Achariaceae,Carpotroche ramosii,(Cuatrec.) Cuatrec.,Colombia
Achariaceae,Lindackeria laurina,C.Presl,Colombia
Achariaceae,Lindackeria paludosa,(Benth.) Gilg,Colombia
Achariaceae,Mayna grandifolia,(H.Karst. & Triana) Warb.,Colombia
Achariaceae,Mayna odorata,Aubl.,Colombia
Achariaceae,Mayna pubescens,(Triana & H. Karst.) Warb.,Colombia
Achariaceae,Mayna suaveolens,(Triana & H.Karst.) Warb.     ,Colombia
Achatocarpaceae,Achatocarpus nigricans,Triana,Colombia
Achatocarpaceae,Achatocarpus pubescens,C.H.Wright,Colombia
Actinidiaceae,Saurauia alloplectifolia,Soejarto,Colombia
Actinidiaceae,Saurauia arnoldii,Sleumer,Colombia
Actinidiaceae,Saurauia aromatica,R.E. Schult.,Colombia
Actinidiaceae,Saurauia brachybotrys,Turcz.,Colombia
Actinidiaceae,Saurauia bullosa,Wawra,Colombia
Actinidiaceae,Saurauia chocoensis,Soejarto,Colombia
Actinidiaceae,Saurauia choriophylla,R.E. Schult. & Gut.,Colombia
Actinidiaceae,Saurauia cuatrecasana,R.E.Schult.,Colombia
Actinidiaceae,Saurauia excelsa,Willd.,Colombia
Actinidiaceae,Saurauia floccifera,Triana & Planch.,Colombia
Actinidiaceae,Saurauia laevigata,Triana & Planch.,Colombia
Actinidiaceae,Saurauia lehmannii,Hieron.,Colombia
Actinidiaceae,Saurauia micayensis,Killip,Colombia
Actinidiaceae,Saurauia oroquensis,Soejarto,Colombia
Actinidiaceae,Saurauia parviflora,Triana & Planch.,Colombia
Actinidiaceae,Saurauia portachuelensis,R.E.Schult.,Colombia
Actinidiaceae,Saurauia prainiana,Buscal.,Colombia
Actinidiaceae,Saurauia pseudoleucocarpa,Buscal.,Colombia
Actinidiaceae,Saurauia pulchra,Sprague,Colombia
Actinidiaceae,Saurauia putumayonis,R.E.Schult. & García-Barr.,Colombia
Actinidiaceae,Saurauia scabra,(Kunth) D.Dietr.,Colombia
Actinidiaceae,Saurauia schultesiana,Soejarto,Colombia
Actinidiaceae,Saurauia strigillosa,Triana & Planch.,Colombia
Actinidiaceae,Saurauia tomentosa,(Kunth) Spreng.,Colombia
Actinidiaceae,Saurauia ursina,Triana & Planch.,Colombia
Actinidiaceae,Saurauia yasicae,Loes.,Colombia
Alzateaceae,Alzatea verticillata,Ruiz & Pav.,Colombia
Anacardiaceae,Anacardium caracolii,Mutis ex Alba,Colombia
Anacardiaceae,Anacardium excelsum,(Bertero ex Kunth) Skeels,Colombia
Anacardiaceae,Anacardium giganteum,Hancock ex Engl.,Colombia
Anacardiaceae,Anacardium microsepalum,Loes.,Colombia
Anacardiaceae,Anacardium occidentale,L.,Colombia
Anacardiaceae,Antrocaryon amazonicum,(Ducke) B.L.Burtt & A.W.Hill,Colombia
Anacardiaceae,Astronium fraxinifolium,Schott,Colombia
Anacardiaceae,Astronium graveolens,Jacq.,Colombia
