family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Comoros
Anacardiaceae,Operculicarya gummifera,(Sprague) Capuron,Comoros
Anacardiaceae,Sorindeia madagascariensis,Thouars ex DC.,Comoros
Annonaceae,Annona senegalensis,Pers.,Comoros
Annonaceae,Huberantha sambiranensis,(Capuron ex Le Thomas & G.E. Schatz) Chaowasku    ,Comoros
Aphloiaceae,Aphloia theiformis,(Vahl) Benn.,Comoros
Apocynaceae,Carissa spinarum,L.,Comoros
Apocynaceae,Cerbera manghas,L.,Comoros
Apocynaceae,Petchia erythrocarpa,(Vatke) Leeuwenb.,Comoros
Apocynaceae,Rauvolfia media,Pichon,Comoros
Apocynaceae,Schizozygia coffaeoides,Baill.,Comoros
Apocynaceae,Tabernaemontana coffeoides,Bojer ex A.DC.,Comoros
Araliaceae,Astropanax myrianthus,"(Baker) Lowry, G.M.Plunkett, Gostel & Frodin",Comoros
Araliaceae,Astropanax polysciadius,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Comoros
Araliaceae,Cussonia spicata,Thunb.,Comoros
Araliaceae,Polyscias duplicata,(Thouars ex Baill.) Lowry & G.M.Plunkett,Comoros
Araliaceae,Polyscias felicis,Bernardi,Comoros
Arecaceae,Borassus aethiopum,Mart.,Comoros
Arecaceae,Dypsis cabadae,(H.E.Moore) Beentje & J.Dransf.,Comoros
Arecaceae,Dypsis humblotiana,(Baill.) Beentje & J.Dransf.,Comoros
Arecaceae,Dypsis lanceolata,(Becc.) Beentje & J.Dransf.,Comoros
Arecaceae,Phoenix reclinata,Jacq.,Comoros
Arecaceae,Ravenea hildebrandtii,H.Wendl. ex C.D.Bouché,Comoros
Arecaceae,Ravenea moorei,J.Dransf. & N.W.Uhl,Comoros
Asteraceae,Brachylaena ramiflora,(DC.) Humbert,Comoros
Bignoniaceae,Phyllarthron comorense,DC.,Comoros
Boraginaceae,Cordia subcordata,Lam.,Comoros
Boraginaceae,Ehretia cymosa,Thonn.,Comoros
Buxaceae,Buxus madagascarica,Baill.,Comoros
Buxaceae,Buxus moratii,G.E.Schatz & Lowry,Comoros
Calophyllaceae,Calophyllum comorense,H.Perrier,Comoros
Calophyllaceae,Calophyllum inophyllum,L.,Comoros
Cannabaceae,Celtis mildbraedii,Engl.,Comoros
Cannabaceae,Sparrea gomphophylla,(Baker) X.G.Fu & T.S.Yi,Comoros
Capparaceae,Crateva excelsa,Bojer,Comoros
Celastraceae,Brexia madagascariensis,(Lam.) Thouars ex Ker Gawl.,Comoros
Celastraceae,Cassine aethiopica,Thunb.,Comoros
Clusiaceae,Garcinia anjouanensis,(H.Perrier) P.W.Sweeney & Z.S.Rogers,Comoros
Clusiaceae,Garcinia livingstonei,T.Anderson,Comoros
Combretaceae,Lumnitzera racemosa,Willd.,Comoros
Combretaceae,Terminalia boivinii,Tul.,Comoros
Combretaceae,Terminalia ulexoides,H.Perrier,Comoros
Cornaceae,Alangium salviifolium,(L.f.) Wangerin,Comoros
Cycadaceae,Cycas thouarsii,R.Br. ex Gaudich.,Comoros
Dichapetalaceae,Dichapetalum madagascariense,Poir.,Comoros
Ebenaceae,Diospyros bernieriana,(Baill.) H.Perrier,Comoros
Ebenaceae,Diospyros comorensis,Hiern,Comoros
Ebenaceae,Diospyros pascalii,"A.G.Linan, G.E.Schatz & Lowry",Comoros
Ebenaceae,Euclea racemosa,L.,Comoros
Erythroxylaceae,Erythroxylum elegans,Baill.,Comoros
Erythroxylaceae,Erythroxylum platyclados,Bojer,Comoros
Euphorbiaceae,Alchornea alnifolia,(Bojer ex Baill.) Pax & K.Hoffm.,Comoros
Euphorbiaceae,Amyrea humbertii,Leandri,Comoros
Euphorbiaceae,Croton humblotii,Baill.,Comoros
Euphorbiaceae,Droceloncia rigidifolia,(Baill.) J.Léonard,Comoros
Euphorbiaceae,Euphorbia analalavensis,Leandri,Comoros
Euphorbiaceae,Euphorbia physoclada,Boiss.,Comoros
Euphorbiaceae,Orfilea multispicata,(Baill.) G.L. Webster         ,Comoros
Euphorbiaceae,Tannodia cordifolia,(Baill.) Baill.,Comoros
Fabaceae,Albizia glaberrima,(Schumach. & Thonn.) Benth.,Comoros
Fabaceae,Albizia odorata,R.Vig.,Comoros
Fabaceae,Bauhinia hildebrandtii,Vatke,Comoros
Fabaceae,Dalbergia comorensis,Bosser & R.Rabev,Comoros
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,Comoros
Fabaceae,Entada chrysostachys,(Benth.) Drake,Comoros
Fabaceae,Entada leptostachya,Harms,Comoros
Fabaceae,Erythrina fusca,Lour.,Comoros
Fabaceae,Erythrina madagascariensis,D.J.Du Puy & Labat,Comoros
Fabaceae,Gagnebina pterocarpa,(Lam.) Baill.,Comoros
Fabaceae,Guilandina bonduc,L.,Comoros
Gentianaceae,Anthocleista grandiflora,Gilg,Comoros
Hypericaceae,Hypericum lanceolatum,Lam.,Comoros
Lamiaceae,Premna serratifolia,L.,Comoros
Lamiaceae,Vitex doniana,Sweet,Comoros
Lauraceae,Ocotea comoriensis,Kosterm.,Comoros
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Comoros
Lecythidaceae,Barringtonia racemosa,(L.) Spreng.,Comoros
Lythraceae,Sonneratia alba,Sm.,Comoros
Malvaceae,Christiana africana,DC.,Comoros
Malvaceae,Dombeya polyphylla,K.Schum.,Comoros
Malvaceae,Dombeya viburniflora,Bojer,Comoros
Malvaceae,Grewia botryantha,Baill.,Comoros
Malvaceae,Grewia cuneifolia,Juss.,Comoros
Malvaceae,Grewia picta,Baill.,Comoros
Malvaceae,Heritiera littoralis,Aiton,Comoros
Malvaceae,Hibiscus platanifolius,(Willd.) Sweet,Comoros
Malvaceae,Sterculia madagascariensis,R.Br.,Comoros
Malvaceae,Sterculia tavia,Baill.,Comoros
