family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Congo
Achariaceae,Buchnerodendron speciosum,Gürke,Congo
Achariaceae,Caloncoba flagelliflora,(Mildbr.) Gilg ex Pellegr.,Congo
Achariaceae,Caloncoba glauca,(P.Beauv.) Gilg,Congo
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,Congo
Achariaceae,Camptostylus mannii,(Oliv.) Gilg,Congo
Achariaceae,Dasylepis blackii,(Oliv.) Chipp,Congo
Achariaceae,Dasylepis racemosa,Oliv.,Congo
Achariaceae,Dasylepis seretii,De Wild.,Congo
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Congo
Achariaceae,Poggea alata,Gürke,Congo
Achariaceae,Scottellia klaineana,Pierre,Congo
Anacardiaceae,Antrocaryon klaineanum,Pierre,Congo
Anacardiaceae,Antrocaryon nannanii,De Wild.,Congo
Anacardiaceae,Fegimanra africana,(Oliv.) Pierre,Congo
Anacardiaceae,Haematostaphis barteri,Hook.f.,Congo
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Congo
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Congo
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Congo
Anacardiaceae,Pseudospondias longifolia,Engl.,Congo
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Congo
Anacardiaceae,Sorindeia africana,(Engl.) Van der Veken,Congo
Anacardiaceae,Sorindeia batekeensis,Lecomte,Congo
Anacardiaceae,Sorindeia grandifolia,Engl.,Congo
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Congo
Anacardiaceae,Trichoscypha acuminata,Engl.,Congo
Anacardiaceae,Trichoscypha arborea,(A.Chev.) A.Chev.,Congo
Anacardiaceae,Trichoscypha laxiflora,Engl.,Congo
Anacardiaceae,Trichoscypha lucens,Oliv.,Congo
Anacardiaceae,Trichoscypha oddonii,De Wild.,Congo
Anacardiaceae,Trichoscypha reygaertii,De Wild.,Congo
Anacardiaceae,Trichoscypha rubicunda,Lecomte,Congo
Anisophylleaceae,Anisophyllea meniaudii,Aubrév. & Pellegr.,Congo
Anisophylleaceae,Anisophyllea myriosticta,Floret,Congo
Anisophylleaceae,Anisophyllea purpurascens,Hutch. & Dalziel,Congo
Annonaceae,Annickia affinis,(Exell) Versteegh & Sosef,Congo
Annonaceae,Annickia chlorantha,(Oliv.) Setten & Maas,Congo
Annonaceae,Annickia pilosa,(Exell) Setten & Maas,Congo
Annonaceae,Annona glabra,L.,Congo
Annonaceae,Annona senegalensis,Pers.,Congo
Annonaceae,Anonidium brieyi,De Wild.,Congo
Annonaceae,Anonidium letestui,Pellegr.,Congo
Annonaceae,Anonidium mannii,(Oliv.) Engl. & Diels,Congo
Annonaceae,Brieya fasciculata,De Wild.,Congo
Annonaceae,Cleistopholis glauca,Pierre ex Engl. & Diels,Congo
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Congo
Annonaceae,Duguetia confinis,(Engl. & Diels) Chatrou,Congo
Annonaceae,Duguetia staudtii,(Engl. & Diels) Chatrou,Congo
Annonaceae,Greenwayodendron gabonicum,(Pellegr. ex Le Thomas) Lissambou & Couvreur,Congo
Annonaceae,Greenwayodendron littorale,"Lissambou, Dauby & Couvreur",Congo
Annonaceae,Greenwayodendron suaveolens,(Engl. & Diels) Verdc.,Congo
Annonaceae,Hexalobus crispiflorus,A.Rich.,Congo
Annonaceae,Isolona campanulata,Engl. & Diels,Congo
Annonaceae,Isolona hexaloba,(Pierre) Engl. & Diels,Congo
Annonaceae,Isolona letestui,Pellegr.,Congo
Annonaceae,Isolona pilosa,Diels,Congo
Annonaceae,Isolona thonneri,(De Wild. & T.Durand) Engl. & Diels,Congo
Annonaceae,Meiocarpidium oliverianum,(Baill.) D.M.Johnson & N.A.Murray,Congo
Annonaceae,Monanthotaxis ferruginea,(Oliv.) Verdc.,Congo
Annonaceae,Monanthotaxis littoralis,(Bagsh. & Baker f.) Verdc.,Congo
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Congo
Annonaceae,Monodora angolensis,Welw.,Congo
Annonaceae,Monodora laurentii,De Wild.,Congo
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Congo
Annonaceae,Monodora tenuifolia,Benth.,Congo
Annonaceae,Neostenanthera gabonensis,(Engl. & Diels) Exell,Congo
Annonaceae,Neostenanthera myristicifolia,(Oliv.) Exell,Congo
Annonaceae,Piptostigma glabrescens,Oliv.,Congo
Annonaceae,Piptostigma macranthum,Mildbr. & Diels,Congo
Annonaceae,Piptostigma mortehanii,De Wild.,Congo
Annonaceae,Polyceratocarpus gossweileri,(Exell) Paiva,Congo
Annonaceae,Polyceratocarpus microtrichus,(Engl. & Diels) Ghesq. ex Pellegr.,Congo
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Congo
Annonaceae,Uvariastrum germainii,Boutique,Congo
Annonaceae,Uvariastrum insculptum,(Engl. & Diels) Sprague & Hutch.,Congo
Annonaceae,Uvariastrum pierreanum,Engl.,Congo
Annonaceae,Uvariodendron molundense,(Diels) R.E.Fr.,Congo
Annonaceae,Uvariopsis congolana,(De Wild.) R.E.Fr.,Congo
Annonaceae,Uvariopsis solheidii,(De Wild.) Robyns & Ghesq.,Congo
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Congo
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Congo
Annonaceae,Xylopia cupularis,Mildbr.,Congo
Annonaceae,Xylopia flamignii,Boutique,Congo
Annonaceae,Xylopia hypolampra,Mildbr.,Congo
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Congo
Annonaceae,Xylopia phloiodora,Mildbr.,Congo
Annonaceae,Xylopia pynaertii,De Wild.,Congo
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Congo
Annonaceae,Xylopia rubescens,Oliv.,Congo
Annonaceae,Xylopia staudtii,Engl. & Diels,Congo
Annonaceae,Xylopia thomsonii,Oliv.,Congo
Annonaceae,Xylopia toussaintii,Boutique,Congo
Annonaceae,Xylopia wilwerthii,De Wild. & T.Durand,Congo
Apiaceae,Steganotaenia araliacea,Hochst.,Congo
Apocynaceae,Alstonia boonei,De Wild.,Congo
Apocynaceae,Alstonia congensis,Engl.,Congo
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Congo
Apocynaceae,Carissa spinarum,L.,Congo
Apocynaceae,Crioceras dipladeniiflorus,(Stapf) K.Schum.,Congo
Apocynaceae,Diplorhynchus condylocarpon,(Müll.Arg.) Pichon,Congo
Apocynaceae,Funtumia africana,(Benth.) Stapf,Congo
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Congo
