family,taxon,author,native to
Amaranthaceae,Charpentiera australis,Sohmer,Cook Islands
Anacardiaceae,Pleiogynium timoriense,(DC.) Leenh.,Cook Islands
Apocynaceae,Alstonia costata,(G.Forst.) R.Br.,Cook Islands
Apocynaceae,Cerbera manghas,L.,Cook Islands
Araliaceae,Meryta pauciflora,Hemsl. ex Cheeseman,Cook Islands
Arecaceae,Cocos nucifera,L.,Cook Islands
Arecaceae,Pritchardia mitiaroana,J.Dransf. & Y.Ehrh.,Cook Islands
Asteraceae,Fitchia speciosa,Cheeseman,Cook Islands
Boraginaceae,Cordia subcordata,Lam.,Cook Islands
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Cook Islands
Calophyllaceae,Calophyllum inophyllum,L.,Cook Islands
Cannabaceae,Celtis pacifica,Planch.,Cook Islands
Cannabaceae,Trema cannabinum,Lour.,Cook Islands
Cannabaceae,Trema orientale,(L.) Blume,Cook Islands
Celastraceae,Gymnosporia crenata,(G.Forst.) Seem.,Cook Islands
Chloranthaceae,Ascarina diffusa,A.C.Sm.,Cook Islands
Combretaceae,Terminalia catappa,L.,Cook Islands
Combretaceae,Terminalia glabrata,G.Forst.,Cook Islands
Combretaceae,Terminalia samoensis,Rech.,Cook Islands
Cunoniaceae,Weinmannia samoensis,A.Gray,Cook Islands
Elaeocarpaceae,Elaeocarpus floridanus,Hemsl.,Cook Islands
Elaeocarpaceae,Elaeocarpus tonganus,Burkill,Cook Islands
Euphorbiaceae,Homalanthus nutans,(G.Forst.) Guill.,Cook Islands
Euphorbiaceae,Macaranga harveyana,(Müll.Arg.) Müll.Arg.,Cook Islands
Fabaceae,Schleinitzia insularum,(Guill.) Burkart,Cook Islands
Fabaceae,Sophora tomentosa,L.,Cook Islands
Gentianaceae,Fagraea berteroana,A.Gray ex Benth.,Cook Islands
Hernandiaceae,Hernandia moerenhoutiana,Guill.,Cook Islands
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Cook Islands
Lamiaceae,Vitex trifolia,L.,Cook Islands
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Cook Islands
Loganiaceae,Geniostoma rupestre,J.R.Forst. & G.Forst.,Cook Islands
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Cook Islands
Malvaceae,Grewia crenata,(J.R.Forst. & G.Forst.) Schinz & Guillaumin,Cook Islands
Malvaceae,Hibiscus tiliaceus,L.,Cook Islands
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Cook Islands
Moraceae,Ficus prolixa,G.Forst.,Cook Islands
Moraceae,Ficus tinctoria,G.Forst.,Cook Islands
Moraceae,Paratrophis anthropophagorum,(Seem.) Warb.,Cook Islands
Myrtaceae,Eugenia reinwardtiana,(Blume) DC.,Cook Islands
Myrtaceae,Metrosideros collina,(J.R.Forst. & G.Forst.) A.Gray,Cook Islands
Nyctaginaceae,Ceodes umbellifera,J.R.Forst. & G.Forst.,Cook Islands
Nyctaginaceae,Pisonia grandis,R.Br.,Cook Islands
Pandanaceae,Pandanus arapepe,H.St.John,Cook Islands
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Cook Islands
Phyllanthaceae,Bischofia javanica,Blume,Cook Islands
Phyllanthaceae,Phyllanthus concolor,(Müll.Arg.) Müll.Arg.,Cook Islands
Pittosporaceae,Pittosporum arborescens,Rich. ex A.Gray,Cook Islands
Pittosporaceae,Pittosporum rarotongense,Hemsl. ex Cheeseman,Cook Islands
Rhamnaceae,Alphitonia zizyphoides,(Biehler) A.Gray,Cook Islands
Rubiaceae,Coprosma laevigata,Cheeseman,Cook Islands
Rubiaceae,Cyclophyllum barbatum,(G.Forst.) N.Hallé & J.Florence,Cook Islands
Rubiaceae,Guettarda speciosa,L.,Cook Islands
Rubiaceae,Morinda citrifolia,L.,Cook Islands
Rubiaceae,Mussaenda raiateensis,J.W.Moore,Cook Islands
Rutaceae,Melicope bracteata,(Nadeaud) S.L.Welsh,Cook Islands
Rutaceae,Murraya lucida,(G.Forst.) Mabb.,Cook Islands
Salicaceae,Homalium acuminatum,Cheeseman,Cook Islands
Salicaceae,Xylosma suaveolens,G.Forst.,Cook Islands
Santalaceae,Santalum insulare,Bertero ex A.DC.,Cook Islands
Sapotaceae,Planchonella tahitensis,(Nadeaud) Pierre ex Dubard,Cook Islands
Sapotaceae,Sideroxylon polynesicum,(Hillebr.) Smedmark & Anderb.,Cook Islands
Scrophulariaceae,Myoporum sandwicense,A. Gray,Cook Islands
Surianaceae,Suriana maritima,L.,Cook Islands
Urticaceae,Cypholophus macrocephalus,(Blume) Wedd.,Cook Islands
Urticaceae,Dendrocnide harveyi,(Seem.) Chew,Cook Islands
Urticaceae,Leucosyke corymbulosa,(Wedd.) Wedd.,Cook Islands
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Cook Islands
