family,taxon,author,native to
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Costa Rica
Acanthaceae,Avicennia bicolor,Standl.,Costa Rica
Acanthaceae,Avicennia germinans,(L.) L.,Costa Rica
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Costa Rica
Acanthaceae,Justicia aurea,Schltdl.,Costa Rica
Acanthaceae,Justicia macrantha,Benth.,Costa Rica
Acanthaceae,Justicia spicigera,Schltdl.,Costa Rica
Acanthaceae,Spathacanthus hoffmannii,Lindau,Costa Rica
Achariaceae,Carpotroche platyptera,Pittier,Costa Rica
Achariaceae,Chiangiodendron mexicanum,Wendt,Costa Rica
Achariaceae,Lindackeria laurina,C.Presl,Costa Rica
Achariaceae,Mayna odorata,Aubl.,Costa Rica
Actinidiaceae,Saurauia montana,Seem.,Costa Rica
Actinidiaceae,Saurauia pittieri,Donn.Sm.,Costa Rica
Actinidiaceae,Saurauia rubiformis,Vatke,Costa Rica
Actinidiaceae,Saurauia yasicae,Loes.,Costa Rica
Alzateaceae,Alzatea verticillata,Ruiz & Pav.,Costa Rica
Anacardiaceae,Amphipterygium simplicifolium,(Standl.) Cuevas-Figueroa,Costa Rica
Anacardiaceae,Anacardium excelsum,(Bertero ex Kunth) Skeels,Costa Rica
Anacardiaceae,Astronium graveolens,Jacq.,Costa Rica
Anacardiaceae,Campnosperma panamense,Standl.,Costa Rica
Anacardiaceae,Mauria heterophylla,Kunth,Costa Rica
Anacardiaceae,Mosquitoxylum jamaicense,Krug & Urb.,Costa Rica
Anacardiaceae,Rhus terebinthifolia,Schltdl. & Cham.,Costa Rica
Anacardiaceae,Spondias mombin,L.,Costa Rica
Anacardiaceae,Spondias purpurea,L.,Costa Rica
Anacardiaceae,Spondias radlkoferi,Donn.Sm.,Costa Rica
Anacardiaceae,Tapirira guianensis,Aubl.,Costa Rica
Anacardiaceae,Tapirira lepidota,Aguilar & Hammel,Costa Rica
Anacardiaceae,Tapirira mexicana,Marchand,Costa Rica
Anacardiaceae,Toxicodendron striatum,(Ruiz & Pav.) Kuntze,Costa Rica
Annonaceae,Anaxagorea crassipetala,Hemsl.,Costa Rica
Annonaceae,Anaxagorea dolichocarpa,Sprague & Sandwith,Costa Rica
Annonaceae,Anaxagorea phaeocarpa,Mart.,Costa Rica
Annonaceae,Annona acuminata,Saff.,Costa Rica
Annonaceae,Annona amazonica,R.E.Fr.,Costa Rica
Annonaceae,Annona cherimola,Mill.,Costa Rica
Annonaceae,Annona danforthii,(Standl.) H.Rainer,Costa Rica
Annonaceae,Annona glabra,L.,Costa Rica
Annonaceae,Annona holosericea,Saff.,Costa Rica
Annonaceae,Annona montana,Macfad.,Costa Rica
Annonaceae,Annona mucosa,Jacq.,Costa Rica
Annonaceae,Annona muricata,L.,Costa Rica
Annonaceae,Annona papilionella,(Diels) H.Rainer,Costa Rica
Annonaceae,Annona pittieri,Donn.Sm.,Costa Rica
Annonaceae,Annona pruinosa,Schatz,Costa Rica
Annonaceae,Annona purpurea,Moc. & Sessé ex Dunal,Costa Rica
Annonaceae,Annona rensoniana,(Standl.) H.Rainer,Costa Rica
Annonaceae,Annona reticulata,L.,Costa Rica
Annonaceae,Annona squamosa,L.,Costa Rica
Annonaceae,Cremastosperma osicola,Pirie & Chatrou,Costa Rica
Annonaceae,Cymbopetalum costaricense,(Donn.Sm.) R.E.Fr.,Costa Rica
Annonaceae,Cymbopetalum lanugipetalum,Schery,Costa Rica
Annonaceae,Cymbopetalum torulosum,G.E.Schatz,Costa Rica
Annonaceae,Desmopsis bibracteata,(B.L.Rob.) Saff.,Costa Rica
Annonaceae,Desmopsis biseriata,G.E.Schatz & Maas,Costa Rica
Annonaceae,Desmopsis carrillensis,(G.E.Schatz & Maas) G.E.Schatz & Ortíz-Rodr.,Costa Rica
Annonaceae,Desmopsis confusa,"G.E.Schatz, N.Zamora & Maas",Costa Rica
Annonaceae,Desmopsis costaricensis,(R.E.Fr.) G.E.Schatz & Ortíz-Rodr.,Costa Rica
Annonaceae,Desmopsis dukei,G.E.Schatz,Costa Rica
Annonaceae,Desmopsis heteropetala,R.E.Fr.,Costa Rica
Annonaceae,Desmopsis maxonii,Saff.,Costa Rica
Annonaceae,Desmopsis microcarpa,R.E.Fr.,Costa Rica
Annonaceae,Desmopsis oerstedii,Saff.,Costa Rica
Annonaceae,Desmopsis schippii,Standl.,Costa Rica
Annonaceae,Desmopsis standleyana,G.E.Schatz & Ortíz-Rodr.,Costa Rica
Annonaceae,Desmopsis talamancana,G.E.Schatz & Maas,Costa Rica
Annonaceae,Desmopsis verrucipes,"Chatrou, G.E.Schatz & N.Zamora",Costa Rica
Annonaceae,Duguetia confusa,Maas,Costa Rica
Annonaceae,Duguetia panamensis,Standl.,Costa Rica
Annonaceae,Guatteria aeruginosa,Standl.,Costa Rica
Annonaceae,Guatteria alata,Maas & Setten,Costa Rica
Annonaceae,Guatteria amplifolia,Triana & Planch.,Costa Rica
Annonaceae,Guatteria chiriquiensis,R.E.Fr.,Costa Rica
Annonaceae,Guatteria costaricensis,R.E.Fr.,Costa Rica
Annonaceae,Guatteria crassivenia,N.Zamora & Maas,Costa Rica
Annonaceae,Guatteria dolichopoda,Donn.Sm.,Costa Rica
Annonaceae,Guatteria dotana,N.Zamora & Erkens,Costa Rica
Annonaceae,Guatteria herrerana,N.Zamora & Maas,Costa Rica
Annonaceae,Guatteria lucens,Standl.,Costa Rica
Annonaceae,Guatteria oliviformis,Donn.Sm.,Costa Rica
Annonaceae,Guatteria pachycarpa,Erkens & N.Zamora,Costa Rica
Annonaceae,Guatteria panamensis,(R.E.Fr.) R.E.Fr.,Costa Rica
Annonaceae,Guatteria pudica,N.Zamora & Maas,Costa Rica
Annonaceae,Guatteria reinaldii,Erkens & Maas,Costa Rica
Annonaceae,Guatteria rostrata,Erkens & Maas,Costa Rica
Annonaceae,Guatteria rubiginosa,N.Zamora & Maas,Costa Rica
Annonaceae,Guatteria talamancana,N.Zamora & Maas,Costa Rica
Annonaceae,Guatteria tenera,R.E.Fr.,Costa Rica
Annonaceae,Guatteria tomentosa,Rusby,Costa Rica
Annonaceae,Guatteria turrialbana,N.Zamora & Erkens,Costa Rica
Annonaceae,Guatteria ucayalina,Huber,Costa Rica
Annonaceae,Guatteria verrucosa,R.E.Fr.,Costa Rica
Annonaceae,Klarobelia stipitata,Chatrou,Costa Rica
Annonaceae,Mosannona costaricensis,(R.E. Fr.) Chatrou,Costa Rica
Annonaceae,Oxandra longipetala,R.E.Fr.,Costa Rica
Annonaceae,Oxandra venezuelana,R.E.Fr.,Costa Rica
Annonaceae,Porcelia magnifructa,(Schery) R.E. Fr.,Costa Rica
Annonaceae,Sapranthus palanga,R.E.Fr.,Costa Rica
Annonaceae,Sapranthus viridiflorus,G.E. Schatz,Costa Rica
Annonaceae,Unonopsis bullata,Maas & G.E.Schatz,Costa Rica
Annonaceae,Unonopsis costaricensis,R.E.Fr.,Costa Rica
Annonaceae,Unonopsis hammelii,G.E. Schatz & Maas,Costa Rica
Annonaceae,Unonopsis osae,Maas & Westra,Costa Rica
Annonaceae,Unonopsis panamensis,R.E.Fr.,Costa Rica
Annonaceae,Unonopsis penduliflora,G.E.Schatz & Maas,Costa Rica
Annonaceae,Unonopsis pittieri,Saff.,Costa Rica
Annonaceae,Unonopsis stevensii,G.E.Schatz,Costa Rica
Annonaceae,Unonopsis storkii,Standl. & L.O.Williams,Costa Rica
Annonaceae,Unonopsis theobromifolia,N.Zamora & Poveda,Costa Rica
Annonaceae,Xylopia aromatica,(Lam.) Mart.,Costa Rica
Annonaceae,Xylopia bocatorena,Schery,Costa Rica
Annonaceae,Xylopia frutescens,Aubl.,Costa Rica
Annonaceae,Xylopia macrantha,Planch. & Triana,Costa Rica
Annonaceae,Xylopia sericea,A.St.-Hil.,Costa Rica
Annonaceae,Xylopia sericophylla,Standl. & L.O. Williams,Costa Rica
Apiaceae,Myrrhidendron donnellsmithii,J.M.Coult. & Rose,Costa Rica
Apocynaceae,Alstonia longifolia,(A.DC.) Pichon,Costa Rica
Apocynaceae,Aspidosperma crypticum,J.F.Morales & N.Zamora,Costa Rica
Apocynaceae,Aspidosperma desmanthum,Benth. ex Müll.Arg.,Costa Rica
Apocynaceae,Aspidosperma excelsum,Benth.,Costa Rica
Apocynaceae,Aspidosperma megalocarpon,Müll.Arg.,Costa Rica
Apocynaceae,Aspidosperma myristicifolium,(Markgr.) Woodson,Costa Rica
Apocynaceae,Aspidosperma rigidum,Rusby,Costa Rica
Apocynaceae,Aspidosperma spruceanum,Benth. ex Müll.Arg.,Costa Rica
Apocynaceae,Cascabela gaumeri,(Hemsl.) Lippold,Costa Rica
Apocynaceae,Cascabela ovata,(Cav.) Lippold,Costa Rica
Apocynaceae,Cascabela thevetia,(L.) Lippold,Costa Rica
Apocynaceae,Couma macrocarpa,Barb.Rodr.,Costa Rica
Apocynaceae,Lacmellea panamensis,(Woodson) Markgr.,Costa Rica
Apocynaceae,Lacmellea speciosa,Woodson,Costa Rica
Apocynaceae,Lacmellea zamorae,J.F.Morales,Costa Rica
Apocynaceae,Macoubea mesoamericana,J.F.Morales,Costa Rica
Apocynaceae,Macoubea sprucei,(Müll.Arg.) Markgr.,Costa Rica
Apocynaceae,Malouetia guatemalensis,(Müll.Arg.) Standl.,Costa Rica
Apocynaceae,Mortoniella pittieri,Woodson,Costa Rica
Apocynaceae,Plumeria rubra,L.,Costa Rica
Apocynaceae,Rauvolfia aphlebia,(Standl.) A.H.Gentry,Costa Rica
Apocynaceae,Rauvolfia ligustrina,Roem. & Schult.,Costa Rica
Apocynaceae,Rauvolfia littoralis,Rusby,Costa Rica
Apocynaceae,Rauvolfia purpurascens,Standl.,Costa Rica
Apocynaceae,Rauvolfia tetraphylla,L.,Costa Rica
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Costa Rica
Apocynaceae,Tabernaemontana alba,Mill.,Costa Rica
Apocynaceae,Tabernaemontana alfaroi,Donn.Sm.,Costa Rica
Apocynaceae,Tabernaemontana amygdalifolia,Jacq.,Costa Rica
Apocynaceae,Tabernaemontana arborea,Rose,Costa Rica
Apocynaceae,Tabernaemontana donnell-smithii,Rose,Costa Rica
Apocynaceae,Tabernaemontana glabra,(Benth.) A.O.Simões & M.E.Endress,Costa Rica
Apocynaceae,Tabernaemontana grandiflora,Jacq.,Costa Rica
Apocynaceae,Tabernaemontana heterophylla,Vahl,Costa Rica
Apocynaceae,Tabernaemontana litoralis,Kunth,Costa Rica
Apocynaceae,Tabernaemontana longipes,Donn.Sm.,Costa Rica
Apocynaceae,Tabernaemontana pauli,(Leeuwenb.) A.O.Simões & M.E.Endress,Costa Rica
Apocynaceae,Tabernaemontana robinsonii,(Woodson) A.O.Simões & M.E.Endress,Costa Rica
Apocynaceae,Tabernaemontana undulata,Vahl,Costa Rica
Apocynaceae,Thevetia ahouai,(L.) A.DC.,Costa Rica
Apocynaceae,Vallesia aurantiaca,(M.Martens & Galeotti) J.F.Morales,Costa Rica
Aquifoliaceae,Ilex chiriquensis,Standl.,Costa Rica
Aquifoliaceae,Ilex costaricensis,Donn.Sm.,Costa Rica
Aquifoliaceae,Ilex guianensis,(Aubl.) Kuntze,Costa Rica
Aquifoliaceae,Ilex haberi,(Lundell) W.J.Hahn,Costa Rica
Aquifoliaceae,Ilex hahnii,Doweld,Costa Rica
Aquifoliaceae,Ilex hammelii,Al.Rodr.,Costa Rica
Aquifoliaceae,Ilex hemiepiphytica,W.J. Hahn,Costa Rica
Aquifoliaceae,Ilex lamprophylla,Standl.,Costa Rica
Aquifoliaceae,Ilex maxima,W.J.Hahn,Costa Rica
Aquifoliaceae,Ilex pallida,Standl.,Costa Rica
Aquifoliaceae,Ilex ramonensis,Standl.,Costa Rica
Aquifoliaceae,Ilex skutchii,Edwin ex T.R.Dudley & W.J.Hahn,Costa Rica
Aquifoliaceae,Ilex vulcanicola,Standl.,Costa Rica
Aquifoliaceae,Ilex yurumanguinis,Cuatrec.,Costa Rica
Araliaceae,Aralia excelsa,(Griseb.) J.Wen,Costa Rica
Araliaceae,Dendropanax aberrans,J.F.Morales,Costa Rica
Araliaceae,Dendropanax alaris,(Schltdl.) Decne. & Planch.,Costa Rica
Araliaceae,Dendropanax arboreus,(L.) Decne. & Planch.,Costa Rica
Araliaceae,Dendropanax capillaris,M.J.Cannon & Cannon,Costa Rica
Araliaceae,Dendropanax caucanus,(Harms) Harms,Costa Rica
Araliaceae,Dendropanax globosus,M.J.Cannon & Cannon,Costa Rica
Araliaceae,Dendropanax gonatopodus,(Donn.Sm.) A.C.Sm.,Costa Rica
Araliaceae,Dendropanax latilobus,M.J.Cannon & Cannon,Costa Rica
