family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Croatia
Anacardiaceae,Pistacia terebinthus,L.,Croatia
Anacardiaceae,Rhus coriaria,L.,Croatia
Aquifoliaceae,Ilex aquifolium,L.,Croatia
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Croatia
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Croatia
Betulaceae,Alnus incana,(L.) Moench,Croatia
Betulaceae,Betula pendula,Roth,Croatia
Betulaceae,Betula pubescens,Ehrh.,Croatia
Betulaceae,Carpinus betulus,L.,Croatia
Betulaceae,Carpinus orientalis,Mill.,Croatia
Betulaceae,Corylus avellana,L.,Croatia
Betulaceae,Ostrya carpinifolia,Scop.,Croatia
Cannabaceae,Celtis australis,L.,Croatia
Cannabaceae,Celtis tournefortii,Lam.,Croatia
Celastraceae,Euonymus europaeus,L.,Croatia
Celastraceae,Euonymus latifolius,(L.) Mill.,Croatia
Cornaceae,Cornus mas,L.,Croatia
Cupressaceae,Juniperus deltoides,R.P.Adams,Croatia
Cupressaceae,Juniperus turbinata,Guss.,Croatia
Ericaceae,Arbutus andrachne,L.,Croatia
Ericaceae,Arbutus unedo,L.,Croatia
Ericaceae,Erica arborea,L.,Croatia
Euphorbiaceae,Euphorbia dendroides,L.,Croatia
Fabaceae,Ceratonia siliqua,L.,Croatia
Fabaceae,Cercis siliquastrum,L.,Croatia
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Croatia
Fabaceae,Laburnum anagyroides,Medik.,Croatia
Fagaceae,Castanea sativa,Mill.,Croatia
Fagaceae,Quercus cerris,L.,Croatia
Fagaceae,Quercus coccifera,L.,Croatia
Fagaceae,Quercus frainetto,Ten.,Croatia
Fagaceae,Quercus ilex,L.,Croatia
Fagaceae,Quercus petraea,(Matt.) Liebl.,Croatia
Fagaceae,Quercus pubescens,Willd.,Croatia
Fagaceae,Quercus robur,L.,Croatia
Fagaceae,Quercus trojana,Webb,Croatia
Juglandaceae,Juglans regia,L.,Croatia
Lamiaceae,Vitex agnus-castus,L.,Croatia
Lauraceae,Laurus nobilis,L.,Croatia
Malvaceae,Tilia cordata,Mill.,Croatia
Malvaceae,Tilia platyphyllos,Scop.,Croatia
Malvaceae,Tilia tomentosa,Moench,Croatia
Myrtaceae,Myrtus communis,L.,Croatia
Oleaceae,Fraxinus angustifolia,Vahl,Croatia
Oleaceae,Fraxinus excelsior,L.,Croatia
Oleaceae,Fraxinus ornus,L.,Croatia
Oleaceae,Olea europaea,L.,Croatia
Oleaceae,Phillyrea latifolia,L.,Croatia
Oleaceae,Syringa vulgaris,L.,Croatia
Pinaceae,Abies alba,Mill.,Croatia
Pinaceae,Picea abies,(L.) H.Karst.,Croatia
Pinaceae,Pinus mugo,Turra,Croatia
Pinaceae,Pinus nigra,J.F.Arnold,Croatia
Pinaceae,Pinus sylvestris,L.,Croatia
Rhamnaceae,Frangula alnus,Mill.,Croatia
Rhamnaceae,Rhamnus alaternus,L.,Croatia
Rhamnaceae,Rhamnus alpina,L.,Croatia
Rhamnaceae,Rhamnus cathartica,L.,Croatia
Rosaceae,Crataegus laevigata,(Poir.) DC.,Croatia
Rosaceae,Crataegus monogyna,Jacq.,Croatia
Rosaceae,Crataegus nigra,Waldst. & Kit.      ,Croatia
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Croatia
Rosaceae,Crataegus rhipidophylla,Gand.,Croatia
Rosaceae,Malus dasyphylla,Borkh.,Croatia
Rosaceae,Malus sylvestris,(L.) Mill.,Croatia
Rosaceae,Prunus avium,(L.) L.,Croatia
Rosaceae,Prunus cerasifera,Ehrh.,Croatia
Rosaceae,Prunus cocomilia,Ten.,Croatia
Rosaceae,Prunus mahaleb,L.,Croatia
Rosaceae,Prunus padus,L.,Croatia
Rosaceae,Prunus prostrata,Labill.,Croatia
Rosaceae,Prunus spinosa,L.,Croatia
Rosaceae,Prunus webbii,(Spach) Vierh.,Croatia
Rosaceae,Pyrus communis,L.,Croatia
Rosaceae,Pyrus nivalis,Jacq.,Croatia
Rosaceae,Pyrus spinosa,Forssk.,Croatia
Rosaceae,Sorbus aria,(L.) Crantz,Croatia
Rosaceae,Sorbus aucuparia,L.,Croatia
Rosaceae,Sorbus austriaca,(Beck) Hedl.,Croatia
Rosaceae,Sorbus domestica,L.        ,Croatia
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Croatia
Rosaceae,Sorbus hungarica,(Bornm.) Kárpáti,Croatia
Rosaceae,Sorbus torminalis,Garsault,Croatia
Rosaceae,Sorbus velebitica,Kárpáti,Croatia
Salicaceae,Populus alba,L.,Croatia
Salicaceae,Populus nigra,L.,Croatia
Salicaceae,Populus tremula,L.,Croatia
Salicaceae,Salix alba,L.,Croatia
Salicaceae,Salix appendiculata,Vill.,Croatia
Salicaceae,Salix caprea,L.,Croatia
