family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Cuba
Acanthaceae,Bravaisia berlandieriana,(Nees) T.F.Daniel,Cuba
Anacardiaceae,Anacardium excelsum,(Bertero ex Kunth) Skeels,Cuba
Anacardiaceae,Comocladia dentata,Jacq.,Cuba
Anacardiaceae,Comocladia mollifolia,Ekman & Helwig,Cuba
Anacardiaceae,Comocladia pinnatifolia,L.,Cuba
Anacardiaceae,Metopium brownei,(Jacq.) Urb.,Cuba
Anacardiaceae,Metopium toxiferum,(L.) Krug & Urb.,Cuba
Anacardiaceae,Metopium venosum,Engl.,Cuba
Anacardiaceae,Spondias mombin,L.,Cuba
Annonaceae,Annona bullata,A.Rich.,Cuba
Annonaceae,Annona crassivenia,Saff.,Cuba
Annonaceae,Annona cubensis,R.E.Fr.,Cuba
Annonaceae,Annona glabra,L.,Cuba
Annonaceae,Annona montana,Macfad.,Cuba
Annonaceae,Annona mucosa,Jacq.,Cuba
Annonaceae,Annona nipensis,Alain,Cuba
Annonaceae,Annona oblongifolia,R.E.Fr.,Cuba
Annonaceae,Annona reticulata,L.,Cuba
Annonaceae,Annona sclerophylla,Saff.,Cuba
Annonaceae,Guatteria blainii,(Griseb.) Urb.,Cuba
Annonaceae,Oxandra lanceolata,(Sw.) Baill.,Cuba
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,Cuba
Annonaceae,Xylopia acunae,Borhidi & E.Del-Risco,Cuba
Annonaceae,Xylopia aromatica,(Lam.) Mart.,Cuba
Annonaceae,Xylopia ekmanii,R.E.Fr.,Cuba
Annonaceae,Xylopia obtusifolia,(A.DC.) A.Rich.,Cuba
Annonaceae,Xylopia roigii,P.Wilson,Cuba
Apocynaceae,Cameraria latifolia,L.,Cuba
Apocynaceae,Cameraria microphylla,Britton,Cuba
Apocynaceae,Cameraria orientensis,Bisse,Cuba
Apocynaceae,Neobracea bahamensis,(Britton) Britton,Cuba
Apocynaceae,Neobracea ekmanii,Urb.,Cuba
Apocynaceae,Plumeria clusioides,Griseb.,Cuba
Apocynaceae,Plumeria filifolia,Griseb.,Cuba
Apocynaceae,Plumeria lanata,Britton,Cuba
Apocynaceae,Plumeria montana,Britton & P.Wilson,Cuba
Apocynaceae,Plumeria obtusa,L.,Cuba
Apocynaceae,Rauvolfia biauriculata,Müll.Arg.,Cuba
Apocynaceae,Rauvolfia cubana,A.DC.,Cuba
Apocynaceae,Rauvolfia ligustrina,Roem. & Schult.,Cuba
Apocynaceae,Rauvolfia nitida,Jacq.,Cuba
Apocynaceae,Rauvolfia salicifolia,Griseb.,Cuba
Apocynaceae,Tabernaemontana alba,Mill.,Cuba
Apocynaceae,Tabernaemontana amygdalifolia,Jacq.,Cuba
Apocynaceae,Tabernaemontana apoda,C.Wright,Cuba
Apocynaceae,Tabernaemontana citrifolia,L.,Cuba
Apocynaceae,Vallesia antillana,Woodson,Cuba
Apocynaceae,Vallesia montana,Urb.,Cuba
Aquifoliaceae,Ilex bahiahondica,(Loes.) P.A. Gonzalez,Cuba
Aquifoliaceae,Ilex berteroi,Loes.,Cuba
Aquifoliaceae,Ilex cassine,L.,Cuba
Aquifoliaceae,Ilex clementis,Britton & P.Wilson,Cuba
Aquifoliaceae,Ilex hypaneura,Loes.,Cuba
Aquifoliaceae,Ilex macfadyenii,(Walp.) Rehder,Cuba
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,Cuba
Aquifoliaceae,Ilex obcordata,Sw.,Cuba
Aquifoliaceae,Ilex vomitoria,Aiton,Cuba
Araliaceae,Aralia duplex,R.Chaves,Cuba
Araliaceae,Aralia rex,(Ekman) J.Wen,Cuba
Araliaceae,Dendropanax arboreus,(L.) Decne. & Planch.,Cuba
Araliaceae,Didymopanax morototoni,(Aubl.) Decne. & Planch.,Cuba
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Cuba
Arecaceae,Acoelorraphe wrightii,(Griseb. & H.Wendl.) H.Wendl. ex Becc.,Cuba
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Cuba
Arecaceae,Acrocomia crispa,(Kunth) C.F.Baker ex Becc.,Cuba
Arecaceae,Bactris cubensis,Burret,Cuba
Arecaceae,Calyptronoma plumeriana,(Mart.) Lourteig,Cuba
Arecaceae,Coccothrinax acunana,León,Cuba
Arecaceae,Coccothrinax alexandri,León,Cuba
Arecaceae,Coccothrinax argentata,(Jacq.) L.H.Bailey,Cuba
Arecaceae,Coccothrinax baracoensis,Borhidi & O.Muñiz,Cuba
Arecaceae,Coccothrinax bermudezii,León,Cuba
Arecaceae,Coccothrinax borhidiana,O.Muñiz,Cuba
Arecaceae,Coccothrinax camagueyana,Borhidi & O.Muñiz,Cuba
Arecaceae,Coccothrinax clarensis,León,Cuba
Arecaceae,Coccothrinax crinita,(Griseb. & H.Wendl. ex C.H.Wright) Becc.,Cuba
Arecaceae,Coccothrinax cupularis,(León) O.Muñiz & Borhidi,Cuba
Arecaceae,Coccothrinax elegans,O.Muñiz & Borhidi,Cuba
Arecaceae,Coccothrinax fagildei,Borhidi & O.Muñiz,Cuba
Arecaceae,Coccothrinax fragrans,Burret,Cuba
Arecaceae,Coccothrinax garciana,León,Cuba
Arecaceae,Coccothrinax guantanamensis,(León) O.Muñiz & Borhidi,Cuba
Arecaceae,Coccothrinax gundlachii,León,Cuba
Arecaceae,Coccothrinax hioramii,León,Cuba
Arecaceae,Coccothrinax leonis,O.Muñiz & Borhidi,Cuba
Arecaceae,Coccothrinax litoralis,León,Cuba
Arecaceae,Coccothrinax macroglossa,(León) O.Muñiz & Borhidi,Cuba
Arecaceae,Coccothrinax microphylla,Borhidi & O.Muñiz,Cuba
Arecaceae,Coccothrinax miraguama,(Kunth) Becc.,Cuba
Arecaceae,Coccothrinax moaensis,(Borhidi & O.Muñiz) O.Muñiz,Cuba
Arecaceae,Coccothrinax munizii,Borhidi,Cuba
Arecaceae,Coccothrinax muricata,León,Cuba
Arecaceae,Coccothrinax nipensis,Borhidi & O.Muñiz,Cuba
Arecaceae,Coccothrinax orientalis,(León) O.Muñiz & Borhidi,Cuba
Arecaceae,Coccothrinax pauciramosa,Burret,Cuba
Arecaceae,Coccothrinax pseudorigida,León,Cuba
Arecaceae,Coccothrinax pumila,Borhidi & J.A.Hern.,Cuba
Arecaceae,Coccothrinax rigida,(Griseb. & H.Wendl.) Becc.,Cuba
Arecaceae,Coccothrinax salvatoris,León,Cuba
