family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Curaçao
Anacardiaceae,Cyrtocarpa velutinifolia,(R.S.Cowan) J.D.Mitch. & Daly,Curaçao
Anacardiaceae,Spondias mombin,L.,Curaçao
Annonaceae,Annona glabra,L.,Curaçao
Bignoniaceae,Crescentia cujete,L.,Curaçao
Bignoniaceae,Handroanthus billbergii,(Bureau & K.Schum.) S.O.Grose,Curaçao
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Curaçao
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Curaçao
Boraginaceae,Bourreria succulenta,Jacq.,Curaçao
Boraginaceae,Cordia dentata,Poir.,Curaçao
Burseraceae,Bursera karsteniana,Engl.,Curaçao
Burseraceae,Bursera simaruba,(L.) Sarg.,Curaçao
Cactaceae,Cereus repandus,(L.) Mill.,Curaçao
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Curaçao
Cactaceae,Pilosocereus lanuginosus,(L.) Byles & G.D.Rowley,Curaçao
Cactaceae,Stenocereus griseus,(Haw.) Buxb.,Curaçao
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Curaçao
Capparaceae,Crateva tapia,L.,Curaçao
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Curaçao
Capparaceae,Cynophalla linearis,(Jacq.) J.Presl,Curaçao
Capparaceae,Monilicarpa tenuisiliqua,(Jacq.) Cornejo & Iltis,Curaçao
Capparaceae,Morisonia americana,L.,Curaçao
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Curaçao
Capparaceae,Quadrella odoratissima,(Jacq.) Hutch.,Curaçao
Celastraceae,Crossopetalum rhacoma,Crantz,Curaçao
Clusiaceae,Clusia rosea,Jacq.,Curaçao
Combretaceae,Conocarpus erectus,L.,Curaçao
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Curaçao
Erythroxylaceae,Erythroxylum havanense,Jacq.,Curaçao
Euphorbiaceae,Acalypha villosa,Jacq.,Curaçao
Euphorbiaceae,Adelia ricinella,L.,Curaçao
Euphorbiaceae,Croton flavens,L.,Curaçao
Euphorbiaceae,Croton hircinus,Vent.,Curaçao
Euphorbiaceae,Croton niveus,Jacq.,Curaçao
Euphorbiaceae,Hippomane mancinella,L.,Curaçao
Euphorbiaceae,Manihot carthagenensis,(Jacq.) MÃ¼ll.Arg.,Curaçao
Fabaceae,Acaciella glauca,(L.) L.Rico,Curaçao
Fabaceae,Geoffroea spinosa,Jacq.,Curaçao
Fabaceae,Hymenaea courbaril,L.,Curaçao
Fabaceae,Libidibia coriaria,(Jacq.) Schltdl.,Curaçao
Fabaceae,Neltuma juliflora,(Sw.) Raf.,Curaçao
Fabaceae,Parkinsonia aculeata,L.,Curaçao
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Curaçao
Fabaceae,Sophora tomentosa,L.,Curaçao
Fabaceae,Vachellia tortuosa,(L.) Seigler & Ebinger,Curaçao
Lamiaceae,Vitex compressa,Turcz.,Curaçao
Lamiaceae,Vitex cymosa,Bertero ex Spreng.,Curaçao
Malpighiaceae,Byrsonima crassifolia,(L.) Kunth,Curaçao
Malpighiaceae,Malpighia glabra,L.,Curaçao
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Curaçao
Malvaceae,Helicteres carthagenensis,Jacq.,Curaçao
Malvaceae,Helicteres jamaicensis,Jacq.,Curaçao
Malvaceae,Thespesia populnea,(L.) Sol. ex CorrÃªa,Curaçao
Meliaceae,Trichilia trifolia,L.,Curaçao
Moraceae,Ficus brittonii,Bold.,Curaçao
Moraceae,Maclura tinctoria,(L.) D.Don ex Steud.,Curaçao
Moraceae,Sorocea sprucei,(Baill.) J.F.Macbr.,Curaçao
Myrtaceae,Eugenia procera,(Sw.) Poir.,Curaçao
Myrtaceae,Mosiera longipes,(O.Berg) Small,Curaçao
Myrtaceae,Myrcia curassavica,(Amshoff) Stoffers,Curaçao
Myrtaceae,Psidium oligospermum,Mart. ex DC.,Curaçao
Nyctaginaceae,Guapira fragrans,(Dum.Cours.) Little,Curaçao
Nyctaginaceae,Guapira pacurero,(Kunth) Little,Curaçao
Phyllanthaceae,Phyllanthus botryanthus,MÃ¼ll.Arg.,Curaçao
Polygonaceae,Coccoloba swartzii,Meisn.,Curaçao
Polygonaceae,Coccoloba uvifera,(L.) L.,Curaçao
Polygonaceae,Ruprechtia curranii,S.F.Blake,Curaçao
Rhamnaceae,Condalia henriquezii,Bold.,Curaçao
Rhamnaceae,Krugiodendron ferreum,(Vahl) Urb.,Curaçao
Rhizophoraceae,Rhizophora mangle,L.,Curaçao
Rhizophoraceae,Rhizophora racemosa,G.Mey.,Curaçao
Rubiaceae,Erithalis fruticosa,L.,Curaçao
Rubiaceae,Ernodea littoralis,Sw.,Curaçao
Rubiaceae,Guettarda roupalifolia,Rusby,Curaçao
Rubiaceae,Machaonia ottonis,(K.Schum.) Urb.,Curaçao
Rubiaceae,Randia aculeata,L.,Curaçao
Rubiaceae,Stenostomum acutatum,DC.,Curaçao
Rutaceae,Amyris ignea,Steyerm.,Curaçao
Salicaceae,Casearia dodecandra,(Jacq.) T.Samar. & M.H.Alford,Curaçao
Salicaceae,Xylosma flexuosa,(Kunth) Hemsl.,Curaçao
Zygophyllaceae,Guaiacum officinale,L.,Curaçao
