family,taxon,author,native to
Anacardiaceae,Pistacia lentiscus,L.,Cyprus
Anacardiaceae,Rhus coriaria,L.,Cyprus
Betulaceae,Alnus orientalis,Decne.,Cyprus
Cannabaceae,Celtis australis,L.,Cyprus
Cupressaceae,Cupressus sempervirens,L.,Cyprus
Cupressaceae,Juniperus communis,L.,Cyprus
Cupressaceae,Juniperus deltoides,R.P.Adams,Cyprus
Cupressaceae,Juniperus foetidissima,Willd.,Cyprus
Cupressaceae,Juniperus oxycedrus,L.,Cyprus
Cupressaceae,Juniperus phoenicea,L.,Cyprus
Cupressaceae,Juniperus turbinata,Guss.,Cyprus
Ericaceae,Arbutus andrachne,L.,Cyprus
Ericaceae,Arbutus unedo,L.,Cyprus
Fabaceae,Anagyris foetida,L.,Cyprus
Fabaceae,Ceratonia siliqua,L.,Cyprus
Fagaceae,Quercus alnifolia,Poech,Cyprus
Fagaceae,Quercus coccifera,L.,Cyprus
Lauraceae,Laurus nobilis,L.,Cyprus
Moraceae,Ficus carica,L.,Cyprus
Myrtaceae,Myrtus communis,L.,Cyprus
Oleaceae,Olea europaea,L.,Cyprus
Oleaceae,Phillyrea latifolia,L.,Cyprus
Pinaceae,Cedrus libani,A.Rich.,Cyprus
Pinaceae,Pinus brutia,Ten.,Cyprus
Pinaceae,Pinus nigra,J.F.Arnold,Cyprus
Platanaceae,Platanus orientalis,L.,Cyprus
Rhamnaceae,Rhamnus alaternus,L.,Cyprus
Rosaceae,Crataegus azarolus,L.,Cyprus
Rosaceae,Crataegus monogyna,Jacq.,Cyprus
Rosaceae,Pyrus communis,L.,Cyprus
Rosaceae,Pyrus syriaca,Boiss.,Cyprus
Rosaceae,Sorbus domestica,L.        ,Cyprus
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Cyprus
Salicaceae,Salix alba,L.,Cyprus
Sapindaceae,Acer obtusifolium,Sm.,Cyprus
Styracaceae,Styrax officinalis,L.,Cyprus
Tamaricaceae,Tamarix hampeana,Boiss. & Heldr.,Cyprus
Tamaricaceae,Tamarix smyrnensis,Bunge,Cyprus
Tamaricaceae,Tamarix tetragyna,Ehrenb.,Cyprus
Tamaricaceae,Tamarix tetrandra,Pall. ex M.Bieb.,Cyprus
