family,taxon,author,native to
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Czechia
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Czechia
Betulaceae,Alnus incana,(L.) Moench,Czechia
Betulaceae,Betula pendula,Roth,Czechia
Betulaceae,Betula pubescens,Ehrh.,Czechia
Betulaceae,Carpinus betulus,L.,Czechia
Betulaceae,Corylus avellana,L.,Czechia
Celastraceae,Euonymus europaeus,L.,Czechia
Cornaceae,Cornus mas,L.,Czechia
Cupressaceae,Juniperus communis,L.,Czechia
Elaeagnaceae,Hippophae rhamnoides,L.,Czechia
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Czechia
Fagaceae,Fagus sylvatica,L.,Czechia
Fagaceae,Quercus cerris,L.,Czechia
Fagaceae,Quercus frainetto,Ten.,Czechia
Fagaceae,Quercus petraea,(Matt.) Liebl.,Czechia
Fagaceae,Quercus pubescens,Willd.,Czechia
Fagaceae,Quercus robur,L.,Czechia
Malvaceae,Tilia cordata,Mill.,Czechia
Malvaceae,Tilia platyphyllos,Scop.,Czechia
Oleaceae,Fraxinus angustifolia,Vahl,Czechia
Oleaceae,Fraxinus excelsior,L.,Czechia
Oleaceae,Fraxinus ornus,L.,Czechia
Pinaceae,Abies alba,Mill.,Czechia
Pinaceae,Larix decidua,Mill.,Czechia
Pinaceae,Picea abies,(L.) H.Karst.,Czechia
Pinaceae,Pinus cembra,L.,Czechia
Pinaceae,Pinus mugo,Turra,Czechia
Pinaceae,Pinus sylvestris,L.,Czechia
Rhamnaceae,Frangula alnus,Mill.,Czechia
Rhamnaceae,Rhamnus cathartica,L.,Czechia
Rosaceae,Crataegus laevigata,(Poir.) DC.,Czechia
Rosaceae,Crataegus monogyna,Jacq.,Czechia
Rosaceae,Crataegus rhipidophylla,Gand.,Czechia
Rosaceae,Malus dasyphylla,Borkh.,Czechia
Rosaceae,Malus sylvestris,(L.) Mill.,Czechia
Rosaceae,Prunus avium,(L.) L.,Czechia
Rosaceae,Prunus mahaleb,L.,Czechia
Rosaceae,Prunus padus,L.,Czechia
Rosaceae,Prunus spinosa,L.,Czechia
Rosaceae,Pyrus communis,L.,Czechia
Rosaceae,Pyrus nivalis,Jacq.,Czechia
Rosaceae,Sorbus albensis,"M.Lepší, K.Boublík, P.Lepší & P.Vít",Czechia
Rosaceae,Sorbus alnifrons,Kovanda,Czechia
Rosaceae,Sorbus aria,(L.) Crantz,Czechia
Rosaceae,Sorbus aucuparia,L.,Czechia
Rosaceae,Sorbus barrandienica,"P.Vít, M.Lepší & P.Lepší",Czechia
Rosaceae,Sorbus bohemica,Kovanda,Czechia
Rosaceae,Sorbus collina,"M.Lepší, P.Lepší & N.Mey.",Czechia
Rosaceae,Sorbus cucullifera,M.Lepší & P.Lepší,Czechia
Rosaceae,Sorbus danubialis,(Jáv.) Kárpáti,Czechia
Rosaceae,Sorbus eximia,Kovanda,Czechia
Rosaceae,Sorbus gemella,Kovanda,Czechia
Rosaceae,Sorbus milensis,"M.Lepší, K.Boublík, P.Lepší & P.Vít",Czechia
Rosaceae,Sorbus moravica,M.Lepší & P.Lepší,Czechia
Rosaceae,Sorbus omissa,Velebil,Czechia
Rosaceae,Sorbus pontis-satanae,M.Lepší & P.Lepší,Czechia
Rosaceae,Sorbus portae-bohemicae,"M.Lepší, P.Lepší, P.Vít & K.Boublík",Czechia
Rosaceae,Sorbus rhodanthera,Kovanda,Czechia
Rosaceae,Sorbus thayensis,M.Lepší & P.Lepší,Czechia
Rosaceae,Sorbus torminalis,Garsault,Czechia
Salicaceae,Populus alba,L.,Czechia
Salicaceae,Populus nigra,L.,Czechia
Salicaceae,Populus tremula,L.,Czechia
Salicaceae,Salix appendiculata,Vill.,Czechia
Salicaceae,Salix caprea,L.,Czechia
Salicaceae,Salix cinerea,L.,Czechia
Salicaceae,Salix daphnoides,Vill.,Czechia
Salicaceae,Salix eleagnos,Scop.,Czechia
Salicaceae,Salix myrsinifolia,Salisb.,Czechia
Salicaceae,Salix pentandra,L.,Czechia
Salicaceae,Salix purpurea,L.,Czechia
Salicaceae,Salix triandra,L.,Czechia
Salicaceae,Salix viminalis,L.,Czechia
Sapindaceae,Acer campestre,L.,Czechia
Sapindaceae,Acer platanoides,L.,Czechia
Sapindaceae,Acer pseudoplatanus,L.,Czechia
Sapindaceae,Acer tataricum,L.,Czechia
Staphyleaceae,Staphylea pinnata,L.,Czechia
Taxaceae,Taxus baccata,L.,Czechia
Ulmaceae,Ulmus glabra,Huds.,Czechia
Ulmaceae,Ulmus laevis,Pall.,Czechia
Ulmaceae,Ulmus minor,Mill.,Czechia
Viburnaceae,Sambucus nigra,L.,Czechia
