family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Côte d’Ivoire
Acanthaceae,Justicia maxima,(Lindau) S.Moore,Côte d’Ivoire
Achariaceae,Caloncoba brevipes,(Stapf) Gilg,Côte d’Ivoire
Achariaceae,Caloncoba echinata,(Oliv.) Gilg,Côte d’Ivoire
Achariaceae,Caloncoba gilgiana,(Sprague) Gilg,Côte d’Ivoire
Achariaceae,Caloncoba glauca,(P.Beauv.) Gilg,Côte d’Ivoire
Achariaceae,Dasylepis racemosa,Oliv.,Côte d’Ivoire
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Côte d’Ivoire
Achariaceae,Scottellia klaineana,Pierre,Côte d’Ivoire
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Côte d’Ivoire
Anacardiaceae,Haematostaphis barteri,Hook.f.,Côte d’Ivoire
Anacardiaceae,Lannea acida,A.Rich.,Côte d’Ivoire
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Côte d’Ivoire
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Côte d’Ivoire
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Côte d’Ivoire
Anacardiaceae,Lannea velutina,A.Rich.,Côte d’Ivoire
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Côte d’Ivoire
Anacardiaceae,Ozoroa insignis,Delile,Côte d’Ivoire
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Côte d’Ivoire
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Côte d’Ivoire
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Côte d’Ivoire
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Côte d’Ivoire
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Côte d’Ivoire
Anacardiaceae,Sorindeia grandifolia,Engl.,Côte d’Ivoire
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Côte d’Ivoire
Anacardiaceae,Trichoscypha arborea,(A.Chev.) A.Chev.,Côte d’Ivoire
Anacardiaceae,Trichoscypha baldwinii,Keay,Côte d’Ivoire
Anacardiaceae,Trichoscypha barbata,Breteler,Côte d’Ivoire
Anacardiaceae,Trichoscypha bijuga,Engl.,Côte d’Ivoire
Anacardiaceae,Trichoscypha cavalliensis,AubrÃ©v. & Pellegr.,Côte d’Ivoire
Anacardiaceae,Trichoscypha longifolia,(Hook.f.) Engl.,Côte d’Ivoire
Anacardiaceae,Trichoscypha lucens,Oliv.,Côte d’Ivoire
Anacardiaceae,Trichoscypha mannii,Hook.f.,Côte d’Ivoire
Anacardiaceae,Trichoscypha olodiana,Breteler,Côte d’Ivoire
Anacardiaceae,Trichoscypha smythei,Hutch. & Dalziel,Côte d’Ivoire
Anisophylleaceae,Anisophyllea meniaudii,AubrÃ©v. & Pellegr.,Côte d’Ivoire
Annonaceae,Annickia polycarpa,(DC.) Setten & Maas ex I.M.Turner,Côte d’Ivoire
Annonaceae,Annona glabra,L.,Côte d’Ivoire
Annonaceae,Annona senegalensis,Pers.,Côte d’Ivoire
Annonaceae,Brieya fasciculata,De Wild.,Côte d’Ivoire
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Côte d’Ivoire
Annonaceae,Duguetia staudtii,(Engl. & Diels) Chatrou,Côte d’Ivoire
Annonaceae,Greenwayodendron oliveri,(Engl.) Verdc.,Côte d’Ivoire
Annonaceae,Hexalobus crispiflorus,A.Rich.,Côte d’Ivoire
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Côte d’Ivoire
Annonaceae,Hexalobus salicifolius,Engl.,Côte d’Ivoire
Annonaceae,Isolona campanulata,Engl. & Diels,Côte d’Ivoire
Annonaceae,Isolona cooperi,Hutch. & Dalziel ex G.P.Cooper & Record,Côte d’Ivoire
Annonaceae,Isolona deightonii,Keay,Côte d’Ivoire
Annonaceae,Mischogyne elliotiana,(Engl. & Diels) R.E.Fr. ex Le Thomas,Côte d’Ivoire
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Côte d’Ivoire
Annonaceae,Monodora angolensis,Welw.,Côte d’Ivoire
Annonaceae,Monodora crispata,Engl.,Côte d’Ivoire
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Côte d’Ivoire
Annonaceae,Monodora tenuifolia,Benth.,Côte d’Ivoire
Annonaceae,Monodora undulata,(P.Beauv.) Couvreur,Côte d’Ivoire
Annonaceae,Neostenanthera gabonensis,(Engl. & Diels) Exell,Côte d’Ivoire
Annonaceae,Neostenanthera hamata,(Benth.) Exell,Côte d’Ivoire
Annonaceae,Piptostigma fugax,A.Chev. ex Hutch. & Dalziel,Côte d’Ivoire
Annonaceae,Polyceratocarpus parviflorus,(Baker f.) Ghesq.,Côte d’Ivoire
Annonaceae,Uvaria afzelii,Scott Elliot,Côte d’Ivoire
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Côte d’Ivoire
Annonaceae,Uvaria ovata,(Vahl ex DC.) Hook.f. & Benth.,Côte d’Ivoire
Annonaceae,Uvaria sofa,Scott Elliot,Côte d’Ivoire
Annonaceae,Uvariastrum insculptum,(Engl. & Diels) Sprague & Hutch.,Côte d’Ivoire
Annonaceae,Uvariastrum pierreanum,Engl.,Côte d’Ivoire
Annonaceae,Uvariodendron angustifolium,(Engl. & Diels) R.E.Fr.,Côte d’Ivoire
Annonaceae,Uvariodendron calophyllum,R.E.Fr.,Côte d’Ivoire
Annonaceae,Uvariodendron occidentale,Le Thomas,Côte d’Ivoire
Annonaceae,Uvariopsis globiflora,Keay,Côte d’Ivoire
Annonaceae,Uvariopsis guineensis,Keay,Côte d’Ivoire
Annonaceae,Uvariopsis tripetala,(Baker f.) G.E.Schatz,Côte d’Ivoire
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Côte d’Ivoire
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Côte d’Ivoire
Annonaceae,Xylopia elliotii,Pierre ex Engl. & Diels,Côte d’Ivoire
Annonaceae,Xylopia hypolampra,Mildbr.,Côte d’Ivoire
Annonaceae,Xylopia letestui,Pellegr.,Côte d’Ivoire
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Côte d’Ivoire
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Côte d’Ivoire
Annonaceae,Xylopia rubescens,Oliv.,Côte d’Ivoire
Annonaceae,Xylopia staudtii,Engl. & Diels,Côte d’Ivoire
Annonaceae,Xylopia villosa,Chipp,Côte d’Ivoire
Apiaceae,Steganotaenia araliacea,Hochst.,Côte d’Ivoire
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Côte d’Ivoire
Apocynaceae,Alstonia boonei,De Wild.,Côte d’Ivoire
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Côte d’Ivoire
Apocynaceae,Carissa spinarum,L.,Côte d’Ivoire
Apocynaceae,Funtumia africana,(Benth.) Stapf,Côte d’Ivoire
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Côte d’Ivoire
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Côte d’Ivoire
Apocynaceae,Hunteria ghanensis,J.B.Hall & Leeuwenb.,Côte d’Ivoire
Apocynaceae,Hunteria simii,(Stapf) H.Huber,Côte d’Ivoire
Apocynaceae,Hunteria umbellata,(K.Schum.) Hallier f.,Côte d’Ivoire
Apocynaceae,Picralima nitida,(Stapf) T.Durand & H.Durand,Côte d’Ivoire
Apocynaceae,Pleiocarpa mutica,Benth.,Côte d’Ivoire
Apocynaceae,Rauvolfia vomitoria,Afzel.,Côte d’Ivoire
Apocynaceae,Tabernaemontana africana,Hook.,Côte d’Ivoire
Apocynaceae,Tabernaemontana crassa,Benth.,Côte d’Ivoire
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Côte d’Ivoire
Apocynaceae,Voacanga bracteata,Stapf,Côte d’Ivoire
Apocynaceae,Voacanga caudiflora,Stapf,Côte d’Ivoire
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Côte d’Ivoire
Araliaceae,Astropanax barteri,Seem.,Côte d’Ivoire
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Côte d’Ivoire
Araliaceae,Cussonia bancoensis,AubrÃ©v. & Pellegr.,Côte d’Ivoire
Arecaceae,Borassus aethiopum,Mart.,Côte d’Ivoire
Arecaceae,Borassus akeassii,"Bayton, OuÃ©dr. & Guinko",Côte d’Ivoire
Arecaceae,Elaeis guineensis,Jacq.,Côte d’Ivoire
Arecaceae,Hyphaene thebaica,(L.) Mart.,Côte d’Ivoire
Arecaceae,Phoenix reclinata,Jacq.,Côte d’Ivoire
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Côte d’Ivoire
Arecaceae,Raphia hookeri,G.Mann & H.Wendl.,Côte d’Ivoire
Arecaceae,Raphia palma-pinus,(Gaertn.) Hutch.,Côte d’Ivoire
