family,taxon,author,native to
Anacardiaceae,Rhus chinensis,Mill.,Democratic People's Republic of Korea
Anacardiaceae,Toxicodendron trichocarpum,(Miq.) Kuntze,Democratic People's Republic of Korea
Anacardiaceae,Toxicodendron vernicifluum,(Stokes) F.A.Barkley,Democratic People's Republic of Korea
Aquifoliaceae,Ilex macropoda,Miq.,Democratic People's Republic of Korea
Araliaceae,Aralia elata,(Miq.) Seem.,Democratic People's Republic of Korea
Araliaceae,Eleutherococcus sessiliflorus,(Rupr. & Maxim.) S.Y.Hu,Democratic People's Republic of Korea
Araliaceae,Kalopanax septemlobus,(Thunb.) Koidz.,Democratic People's Republic of Korea
Betulaceae,Alnus hirsuta,(Spach) Rupr.,Democratic People's Republic of Korea
Betulaceae,Alnus japonica,(Thunb.) Steud.,Democratic People's Republic of Korea
Betulaceae,Alnus mandshurica,(Callier) Hand.-Mazz.,Democratic People's Republic of Korea
Betulaceae,Alnus maximowiczii,Callier,Democratic People's Republic of Korea
Betulaceae,Alnus vermicularis,Nakai,Democratic People's Republic of Korea
Betulaceae,Betula chinensis,Maxim.,Democratic People's Republic of Korea
Betulaceae,Betula costata,Trautv.,Democratic People's Republic of Korea
Betulaceae,Betula dahurica,Pall.,Democratic People's Republic of Korea
Betulaceae,Betula ermanii,Cham.,Democratic People's Republic of Korea
Betulaceae,Betula schmidtii,Regel,Democratic People's Republic of Korea
Betulaceae,Carpinus cordata,Blume,Democratic People's Republic of Korea
Betulaceae,Carpinus laxiflora,(Siebold & Zucc.) Blume,Democratic People's Republic of Korea
Betulaceae,Carpinus tschonoskii,Maxim.,Democratic People's Republic of Korea
Betulaceae,Carpinus turczaninowii,Hance,Democratic People's Republic of Korea
Betulaceae,Corylus heterophylla,Fisch. ex Trautv.,Democratic People's Republic of Korea
Cannabaceae,Celtis bungeana,Blume,Democratic People's Republic of Korea
Cannabaceae,Celtis jessoensis,Koidz.,Democratic People's Republic of Korea
Cannabaceae,Celtis koraiensis,Nakai,Democratic People's Republic of Korea
Celastraceae,Euonymus hamiltonianus,Wall.,Democratic People's Republic of Korea
Celastraceae,Euonymus japonicus,Thunb.,Democratic People's Republic of Korea
Celastraceae,Euonymus oxyphyllus,Miq.,Democratic People's Republic of Korea
Celastraceae,Tripterygium wilfordii,Hook.f.,Democratic People's Republic of Korea
Cornaceae,Alangium platanifolium,(Siebold & Zucc.) Harms,Democratic People's Republic of Korea
Cornaceae,Cornus controversa,Hemsl.,Democratic People's Republic of Korea
Cornaceae,Cornus kousa,F.Buerger ex Hance,Democratic People's Republic of Korea
Cupressaceae,Juniperus chinensis,L.,Democratic People's Republic of Korea
Cupressaceae,Juniperus communis,L.,Democratic People's Republic of Korea
Cupressaceae,Juniperus rigida,Siebold & Zucc.,Democratic People's Republic of Korea
Cupressaceae,Thuja koraiensis,Nakai,Democratic People's Republic of Korea
Ericaceae,Rhododendron schlippenbachii,Maxim.,Democratic People's Republic of Korea
Euphorbiaceae,Neoshirakia japonica,(Siebold & Zucc.) Esser,Democratic People's Republic of Korea
