family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Democratic Republic of the Congo
Acanthaceae,Avicennia germinans,(L.) L.,Democratic Republic of the Congo
Acanthaceae,Justicia maxima,(Lindau) S.Moore,Democratic Republic of the Congo
Acanthaceae,Mimulopsis arborescens,C.B.Clarke,Democratic Republic of the Congo
Achariaceae,Buchnerodendron speciosum,Gürke,Democratic Republic of the Congo
Achariaceae,Caloncoba crepiniana,(De Wild. & T.Durand) Gilg,Democratic Republic of the Congo
Achariaceae,Caloncoba flagelliflora,(Mildbr.) Gilg ex Pellegr.,Democratic Republic of the Congo
Achariaceae,Caloncoba glauca,(P.Beauv.) Gilg,Democratic Republic of the Congo
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,Democratic Republic of the Congo
Achariaceae,Camptostylus mannii,(Oliv.) Gilg,Democratic Republic of the Congo
Achariaceae,Dasylepis eggelingii,J.B.Gillett,Democratic Republic of the Congo
Achariaceae,Dasylepis racemosa,Oliv.,Democratic Republic of the Congo
Achariaceae,Dasylepis seretii,De Wild.,Democratic Republic of the Congo
Achariaceae,Lindackeria bukobensis,Gilg,Democratic Republic of the Congo
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Democratic Republic of the Congo
Achariaceae,Lindackeria schweinfurthii,Gilg,Democratic Republic of the Congo
Achariaceae,Poggea alata,Gürke,Democratic Republic of the Congo
Achariaceae,Rawsonia lucida,Harv. & Sond.,Democratic Republic of the Congo
Achariaceae,Scottellia klaineana,Pierre,Democratic Republic of the Congo
Achariaceae,Scottellia orientalis,Gilg,Democratic Republic of the Congo
Anacardiaceae,Antrocaryon klaineanum,Pierre,Democratic Republic of the Congo
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Democratic Republic of the Congo
Anacardiaceae,Antrocaryon nannanii,De Wild.,Democratic Republic of the Congo
Anacardiaceae,Haematostaphis barteri,Hook.f.,Democratic Republic of the Congo
Anacardiaceae,Lannea antiscorbutica,(Hiern) Engl.,Democratic Republic of the Congo
Anacardiaceae,Lannea asymmetrica,R.E.Fr.,Democratic Republic of the Congo
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Democratic Republic of the Congo
Anacardiaceae,Lannea discolor,(Sond.) Engl.,Democratic Republic of the Congo
Anacardiaceae,Lannea fulva,(Engl.) Engl.,Democratic Republic of the Congo
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Democratic Republic of the Congo
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Democratic Republic of the Congo
Anacardiaceae,Ozoroa insignis,Delile,Democratic Republic of the Congo
Anacardiaceae,Ozoroa kassneri,(Engl. & Brehmer) R.Fern. & A.Fern.,Democratic Republic of the Congo
Anacardiaceae,Ozoroa uelensis,(Van der Veken) R.Fern. & A.Fern.,Democratic Republic of the Congo
Anacardiaceae,Pseudospondias longifolia,Engl.,Democratic Republic of the Congo
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Democratic Republic of the Congo
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Democratic Republic of the Congo
Anacardiaceae,Searsia anchietae,(Ficalho & Hiern) Moffett,Democratic Republic of the Congo
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Democratic Republic of the Congo
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Democratic Republic of the Congo
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Democratic Republic of the Congo
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Democratic Republic of the Congo
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,Democratic Republic of the Congo
Anacardiaceae,Searsia ruspolii,(Engl.) Moffett,Democratic Republic of the Congo
Anacardiaceae,Sorindeia africana,(Engl.) Van der Veken,Democratic Republic of the Congo
Anacardiaceae,Sorindeia grandifolia,Engl.,Democratic Republic of the Congo
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Democratic Republic of the Congo
Anacardiaceae,Sorindeia winkleri,Engl.,Democratic Republic of the Congo
Anacardiaceae,Trichoscypha acuminata,Engl.,Democratic Republic of the Congo
Anacardiaceae,Trichoscypha laxiflora,Engl.,Democratic Republic of the Congo
Anacardiaceae,Trichoscypha lucens,Oliv.,Democratic Republic of the Congo
Anacardiaceae,Trichoscypha oddonii,De Wild.,Democratic Republic of the Congo
Anacardiaceae,Trichoscypha oliveri,Engl.,Democratic Republic of the Congo
Anacardiaceae,Trichoscypha patens,(Oliv.) Engl.,Democratic Republic of the Congo
Anacardiaceae,Trichoscypha reygaertii,De Wild.,Democratic Republic of the Congo
Anisophylleaceae,Anisophyllea boehmii,Engl.,Democratic Republic of the Congo
Anisophylleaceae,Anisophyllea meniaudii,Aubrév. & Pellegr.,Democratic Republic of the Congo
Annonaceae,Annickia ambigua,(Robyns & Ghesq.) Setten & Maas,Democratic Republic of the Congo
Annonaceae,Annickia chlorantha,(Oliv.) Setten & Maas,Democratic Republic of the Congo
Annonaceae,Annickia lebrunii,(Robyns & Ghesq.) Setten & Maas,Democratic Republic of the Congo
Annonaceae,Annickia pilosa,(Exell) Setten & Maas,Democratic Republic of the Congo
Annonaceae,Annona glabra,L.,Democratic Republic of the Congo
Annonaceae,Annona senegalensis,Pers.,Democratic Republic of the Congo
Annonaceae,Anonidium brieyi,De Wild.,Democratic Republic of the Congo
Annonaceae,Anonidium mannii,(Oliv.) Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Artabotrys brachypetalus,Benth.,Democratic Republic of the Congo
Annonaceae,Artabotrys monteiroae,Oliv.,Democratic Republic of the Congo
Annonaceae,Brieya fasciculata,De Wild.,Democratic Republic of the Congo
Annonaceae,Cleistopholis glauca,Pierre ex Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Duguetia staudtii,(Engl. & Diels) Chatrou,Democratic Republic of the Congo
Annonaceae,Greenwayodendron suaveolens,(Engl. & Diels) Verdc.,Democratic Republic of the Congo
Annonaceae,Hexalobus crispiflorus,A.Rich.,Democratic Republic of the Congo
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Isolona congolana,(De Wild. & T.Durand) Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Isolona dewevrei,(De Wild. & T.Durand) Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Isolona hexaloba,(Pierre) Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Isolona lebrunii,Boutique,Democratic Republic of the Congo
Annonaceae,Isolona pilosa,Diels,Democratic Republic of the Congo
Annonaceae,Isolona thonneri,(De Wild. & T.Durand) Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Meiocarpidium oliverianum,(Baill.) D.M.Johnson & N.A.Murray,Democratic Republic of the Congo
Annonaceae,Mischogyne congensis,Gosline,Democratic Republic of the Congo
Annonaceae,Mischogyne elliotiana,(Engl. & Diels) R.E.Fr. ex Le Thomas,Democratic Republic of the Congo
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,Democratic Republic of the Congo
Annonaceae,Monanthotaxis littoralis,(Bagsh. & Baker f.) Verdc.,Democratic Republic of the Congo
Annonaceae,Monanthotaxis obovata,(Benth.) P.H.Hoekstra,Democratic Republic of the Congo
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Democratic Republic of the Congo
Annonaceae,Monodora angolensis,Welw.,Democratic Republic of the Congo
Annonaceae,Monodora laurentii,De Wild.,Democratic Republic of the Congo
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Democratic Republic of the Congo
Annonaceae,Monodora tenuifolia,Benth.,Democratic Republic of the Congo
Annonaceae,Neostenanthera myristicifolia,(Oliv.) Exell,Democratic Republic of the Congo
Annonaceae,Piptostigma mortehanii,De Wild.,Democratic Republic of the Congo
Annonaceae,Polyceratocarpus angustifolius,Paiva,Democratic Republic of the Congo
Annonaceae,Polyceratocarpus gossweileri,(Exell) Paiva,Democratic Republic of the Congo
Annonaceae,Polyceratocarpus laurifolius,Paiva,Democratic Republic of the Congo
Annonaceae,Sphaerocoryne gracilis,(Engl. & Diels) Verdc.,Democratic Republic of the Congo
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Democratic Republic of the Congo
Annonaceae,Uvaria laurentii,De Wild.,Democratic Republic of the Congo
Annonaceae,Uvaria schweinfurthii,Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Uvaria welwitschii,(Hiern) Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Uvariastrum germainii,Boutique,Democratic Republic of the Congo
Annonaceae,Uvariastrum hexaloboides,(R.E.Fr.) R.E.Fr. ex N.Robson,Democratic Republic of the Congo
Annonaceae,Uvariastrum pierreanum,Engl.,Democratic Republic of the Congo
Annonaceae,Uvariodendron fuscum,(Benth.) R.E.Fries,Democratic Republic of the Congo
Annonaceae,Uvariodendron molundense,(Diels) R.E.Fr.,Democratic Republic of the Congo
Annonaceae,Uvariopsis congensis,Robyns & Ghesq.,Democratic Republic of the Congo
Annonaceae,Uvariopsis congolana,(De Wild.) R.E.Fr.,Democratic Republic of the Congo
Annonaceae,Uvariopsis solheidii,(De Wild.) Robyns & Ghesq.,Democratic Republic of the Congo
Annonaceae,Uvariopsis vanderystii,Robyns & Ghesq.,Democratic Republic of the Congo
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Democratic Republic of the Congo
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Democratic Republic of the Congo
Annonaceae,Xylopia aurantiiodora,De Wild. & T.Durand,Democratic Republic of the Congo
Annonaceae,Xylopia congolensis,De Wild.,Democratic Republic of the Congo
Annonaceae,Xylopia cupularis,Mildbr.,Democratic Republic of the Congo
Annonaceae,Xylopia flamignii,Boutique,Democratic Republic of the Congo
Annonaceae,Xylopia gilbertii,Boutique,Democratic Republic of the Congo
Annonaceae,Xylopia globosa,D.M.Johnson & N.A.Murray,Democratic Republic of the Congo
Annonaceae,Xylopia hypolampra,Mildbr.,Democratic Republic of the Congo
Annonaceae,Xylopia katangensis,De Wild.,Democratic Republic of the Congo
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Democratic Republic of the Congo
Annonaceae,Xylopia odoratissima,Welw. ex Oliv.,Democratic Republic of the Congo
Annonaceae,Xylopia phloiodora,Mildbr.,Democratic Republic of the Congo
Annonaceae,Xylopia pynaertii,De Wild.,Democratic Republic of the Congo
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Xylopia rubescens,Oliv.,Democratic Republic of the Congo
Annonaceae,Xylopia shirensis,(Diels & Engl.) D.M.Johnson & N.A.Murray,Democratic Republic of the Congo
Annonaceae,Xylopia staudtii,Engl. & Diels,Democratic Republic of the Congo
Annonaceae,Xylopia thomsonii,Oliv.,Democratic Republic of the Congo
Annonaceae,Xylopia toussaintii,Boutique,Democratic Republic of the Congo
Annonaceae,Xylopia wilwerthii,De Wild. & T.Durand,Democratic Republic of the Congo
Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,Democratic Republic of the Congo
Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,Democratic Republic of the Congo
Apocynaceae,Alstonia boonei,De Wild.,Democratic Republic of the Congo
Apocynaceae,Alstonia congensis,Engl.,Democratic Republic of the Congo
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Democratic Republic of the Congo
Apocynaceae,Carissa macrocarpa,(Eckl.) A.DC.,Democratic Republic of the Congo
Apocynaceae,Diplorhynchus condylocarpon,(Müll.Arg.) Pichon,Democratic Republic of the Congo
Apocynaceae,Funtumia africana,(Benth.) Stapf,Democratic Republic of the Congo
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Democratic Republic of the Congo
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Democratic Republic of the Congo
Apocynaceae,Holarrhena pubescens,Wall. ex G.Don,Democratic Republic of the Congo
Apocynaceae,Hunteria congolana,Pichon,Democratic Republic of the Congo
Apocynaceae,Hunteria densiflora,Pichon,Democratic Republic of the Congo
Apocynaceae,Hunteria myriantha,Omino,Democratic Republic of the Congo
Apocynaceae,Hunteria oxyantha,Omino,Democratic Republic of the Congo
Apocynaceae,Hunteria umbellata,(K.Schum.) Hallier f.,Democratic Republic of the Congo
Apocynaceae,Landolphia parvifolia,K.Schum.,Democratic Republic of the Congo
Apocynaceae,Malouetia mildbraedii,(Gilg & Stapf) J.Ploeg,Democratic Republic of the Congo
Apocynaceae,Mascarenhasia arborescens,A.DC.,Democratic Republic of the Congo
Apocynaceae,Picralima nitida,(Stapf) T.Durand & H.Durand,Democratic Republic of the Congo
Apocynaceae,Pleiocarpa bicarpellata,Stapf,Democratic Republic of the Congo
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Democratic Republic of the Congo
Apocynaceae,Rauvolfia caffra,Sond.,Democratic Republic of the Congo
Apocynaceae,Rauvolfia mannii,Stapf,Democratic Republic of the Congo
Apocynaceae,Rauvolfia vomitoria,Afzel.,Democratic Republic of the Congo
Apocynaceae,Schizozygia coffaeoides,Baill.,Democratic Republic of the Congo
Apocynaceae,Strophanthus eminii,Asch. ex Pax,Democratic Republic of the Congo
Apocynaceae,Strophanthus welwitschii,(Baill.) K.Schum.,Democratic Republic of the Congo
Apocynaceae,Tabernaemontana brachyantha,Stapf,Democratic Republic of the Congo
Apocynaceae,Tabernaemontana crassa,Benth.,Democratic Republic of the Congo
Apocynaceae,Tabernaemontana odoratissima,(Stapf) Leeuwenb.,Democratic Republic of the Congo
Apocynaceae,Tabernaemontana pachysiphon,Stapf,Democratic Republic of the Congo
Apocynaceae,Tabernaemontana penduliflora,K.Schum.,Democratic Republic of the Congo
Apocynaceae,Tabernaemontana stapfiana,Britten,Democratic Republic of the Congo
Apocynaceae,Tabernaemontana ventricosa,Hochst. ex A.DC.,Democratic Republic of the Congo
Apocynaceae,Tabernanthe iboga,Baill.,Democratic Republic of the Congo
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Democratic Republic of the Congo
Apocynaceae,Voacanga bracteata,Stapf,Democratic Republic of the Congo
Apocynaceae,Voacanga chalotiana,Pierre ex Stapf,Democratic Republic of the Congo
Apocynaceae,Voacanga pachyceras,Leeuwenb.,Democratic Republic of the Congo
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Democratic Republic of the Congo
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Democratic Republic of the Congo
Araliaceae,Astropanax abyssinicus,(Hochst. ex A.Rich.) Seem.,Democratic Republic of the Congo
Araliaceae,Astropanax barteri,Seem.,Democratic Republic of the Congo
Araliaceae,Astropanax evrardii,"(Bamps) Lowry, G.M.Plunkett, Gostel & Frodin",Democratic Republic of the Congo
Araliaceae,Astropanax goetzenii,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Democratic Republic of the Congo
Araliaceae,Astropanax polysciadius,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Democratic Republic of the Congo
Araliaceae,Astropanax urostachyus,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Democratic Republic of the Congo
Araliaceae,Cussonia angolensis,(Seem.) Hiern,Democratic Republic of the Congo
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Democratic Republic of the Congo
Araliaceae,Cussonia brieyi,De Wild.,Democratic Republic of the Congo
Araliaceae,Cussonia holstii,Harms ex Engl.,Democratic Republic of the Congo
Araliaceae,Cussonia sessilis,Lebrun,Democratic Republic of the Congo
Araliaceae,Cussonia spicata,Thunb.,Democratic Republic of the Congo
Araliaceae,Polyscias fulva,(Hiern) Harms,Democratic Republic of the Congo
Araliaceae,Polyscias kivuensis,Bamps,Democratic Republic of the Congo
Arecaceae,Borassus aethiopum,Mart.,Democratic Republic of the Congo
Arecaceae,Borassus akeassii,"Bayton, Ouédr. & Guinko",Democratic Republic of the Congo
Arecaceae,Elaeis guineensis,Jacq.,Democratic Republic of the Congo
Arecaceae,Hyphaene guineensis,Schumach. & Thonn.,Democratic Republic of the Congo
Arecaceae,Hyphaene petersiana,Klotzsch ex Mart.,Democratic Republic of the Congo
Arecaceae,Phoenix reclinata,Jacq.,Democratic Republic of the Congo
Arecaceae,Raphia gentiliana,De Wild.,Democratic Republic of the Congo
Arecaceae,Raphia hookeri,G.Mann & H.Wendl.,Democratic Republic of the Congo
Arecaceae,Raphia laurentii,De Wild.,Democratic Republic of the Congo
Arecaceae,Raphia longiflora,G.Mann & H.Wendl.,Democratic Republic of the Congo
Arecaceae,Raphia monbuttorum,Drude,Democratic Republic of the Congo
Arecaceae,Raphia rostrata,Burret,Democratic Republic of the Congo
Arecaceae,Raphia ruwenzorica,Otedoh,Democratic Republic of the Congo
Arecaceae,Raphia sese,De Wild.,Democratic Republic of the Congo
Arecaceae,Raphia textilis,Welw.,Democratic Republic of the Congo
Arecaceae,Raphia vinifera,P.Beauv.,Democratic Republic of the Congo
Asparagaceae,Dracaena acutissima,Hua,Democratic Republic of the Congo
Asparagaceae,Dracaena afromontana,Mildbr.,Democratic Republic of the Congo
Asparagaceae,Dracaena arborea,(Willd.) Link,Democratic Republic of the Congo
Asparagaceae,Dracaena fragrans,(L.) Ker Gawl.,Democratic Republic of the Congo
Asparagaceae,Dracaena mannii,Baker,Democratic Republic of the Congo
Asparagaceae,Dracaena rubroaurantiaca,De Wild.,Democratic Republic of the Congo
Asparagaceae,Dracaena steudneri,Engl.,Democratic Republic of the Congo
Asteraceae,Baccharoides calvoana,"(Hook.f.) Isawumi, El-Ghazaly & B.Nord.",Democratic Republic of the Congo
Asteraceae,Brenandendron donianum,(DC.) H.Rob.,Democratic Republic of the Congo
Asteraceae,Brenandendron titanophyllum,(Brenan) H.Rob.,Democratic Republic of the Congo
Asteraceae,Conyza vernonioides,(Sch.Bip. ex A.Rich.) Wild,Democratic Republic of the Congo
Asteraceae,Dendrosenecio adnivalis,(Stapf) E.B.Knox,Democratic Republic of the Congo
Asteraceae,Dendrosenecio erici-rosenii,(R.E.Fr. & T.C.E.Fr.) E.B.Knox,Democratic Republic of the Congo
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Democratic Republic of the Congo
Asteraceae,Gymnanthemum bellinghamii,(S.Moore) H.Rob.,Democratic Republic of the Congo
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Democratic Republic of the Congo
Asteraceae,Gymnanthemum exsertiflorum,(Baker) H.Rob.,Democratic Republic of the Congo
Asteraceae,Gymnanthemum myrianthum,(Hook.f.) H.Rob.,Democratic Republic of the Congo
Asteraceae,Hoffmannanthus abbotianus,"(O.Hoffm.) H.Rob., S.C.Keeley & Skvarla",Democratic Republic of the Congo
Asteraceae,Vernonia brazzavillensis,Aubrév. Ex Compère,Democratic Republic of the Congo
Asteraceae,Vernonia hochstetteri,Sch.Bip. ex Walp.,Democratic Republic of the Congo
