family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Denmark
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Denmark
Betulaceae,Betula pendula,Roth,Denmark
Betulaceae,Betula pubescens,Ehrh.,Denmark
Betulaceae,Carpinus betulus,L.,Denmark
Betulaceae,Corylus avellana,L.,Denmark
Celastraceae,Euonymus europaeus,L.,Denmark
Cupressaceae,Juniperus communis,L.,Denmark
Elaeagnaceae,Hippophae rhamnoides,L.,Denmark
Fagaceae,Fagus sylvatica,L.,Denmark
Fagaceae,Quercus petraea,(Matt.) Liebl.,Denmark
Fagaceae,Quercus robur,L.,Denmark
Malvaceae,Tilia cordata,Mill.,Denmark
Malvaceae,Tilia platyphyllos,Scop.,Denmark
Oleaceae,Fraxinus excelsior,L.,Denmark
Rhamnaceae,Frangula alnus,Mill.,Denmark
Rhamnaceae,Rhamnus cathartica,L.,Denmark
Rosaceae,Crataegus laevigata,(Poir.) DC.,Denmark
Rosaceae,Crataegus monogyna,Jacq.,Denmark
Rosaceae,Crataegus rhipidophylla,Gand.,Denmark
Rosaceae,Malus sylvestris,(L.) Mill.,Denmark
Rosaceae,Prunus avium,(L.) L.,Denmark
Rosaceae,Prunus padus,L.,Denmark
Rosaceae,Prunus spinosa,L.,Denmark
Rosaceae,Pyrus communis,L.,Denmark
Rosaceae,Sorbus aucuparia,L.,Denmark
Rosaceae,Sorbus hybrida,L.,Denmark
Rosaceae,Sorbus intermedia,(Ehrh.) Pers.,Denmark
Rosaceae,Sorbus rupicola,(Syme) Hedl.,Denmark
Rosaceae,Sorbus torminalis,Garsault,Denmark
Salicaceae,Populus tremula,L.,Denmark
Salicaceae,Salix alba,L.,Denmark
Salicaceae,Salix caprea,L.,Denmark
Salicaceae,Salix cinerea,L.,Denmark
Salicaceae,Salix myrsinifolia,Salisb.,Denmark
Salicaceae,Salix pentandra,L.,Denmark
Salicaceae,Salix viminalis,L.,Denmark
Sapindaceae,Acer campestre,L.,Denmark
Taxaceae,Taxus baccata,L.,Denmark
Ulmaceae,Ulmus glabra,Huds.,Denmark
Ulmaceae,Ulmus minor,Mill.,Denmark
Viburnaceae,Sambucus nigra,L.,Denmark
