family,taxon,author,native to
Apocynaceae,Cerbera manghas,L.,Disputed Territory
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Disputed Territory
Boraginaceae,Ehretia resinosa,Hance,Disputed Territory
Casuarinaceae,Casuarina equisetifolia,L.,Disputed Territory
Lamiaceae,Premna serratifolia,L.,Disputed Territory
Lamiaceae,Vitex trifolia,L.,Disputed Territory
Moraceae,Ficus microcarpa,L.f.,Disputed Territory
Nyctaginaceae,Pisonia grandis,R.Br.,Disputed Territory
Rubiaceae,Guettarda speciosa,L.,Disputed Territory
Rubiaceae,Morinda citrifolia,L.,Disputed Territory
