family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Djibouti
Anacardiaceae,Lannea triphylla,(Hochst. ex A.Rich.) Engl.,Djibouti
Anacardiaceae,Ozoroa insignis,Delile,Djibouti
Anacardiaceae,Pistacia falcata,Becc. ex Martelli,Djibouti
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Djibouti
Anacardiaceae,Searsia glutinosa,(Hochst. ex A.Rich.) Moffett,Djibouti
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Djibouti
Apiaceae,Steganotaenia araliacea,Hochst.,Djibouti
Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,Djibouti
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Djibouti
Apocynaceae,Carissa spinarum,L.,Djibouti
Arecaceae,Hyphaene thebaica,(L.) Mart.,Djibouti
Arecaceae,Livistona carinensis,(Chiov.) J.Dransf. & N.W.Uhl,Djibouti
Asparagaceae,Dracaena ombet,Heuglin ex Kotschy & Peyr.,Djibouti
Bignoniaceae,Stereospermum kunthianum,Cham.,Djibouti
Boraginaceae,Cordia africana,Lam.,Djibouti
Boraginaceae,Cordia monoica,Roxb.,Djibouti
Boraginaceae,Cordia sinensis,Lam.,Djibouti
Burseraceae,Commiphora gileadensis,(L.) C.Chr.,Djibouti
Burseraceae,Commiphora kataf,(Forssk.) Engl.,Djibouti
Burseraceae,Commiphora kua,(R.Br. ex Royle) Vollesen,Djibouti
Burseraceae,Commiphora myrrha,(Nees) Engl.,Djibouti
Burseraceae,Commiphora samharensis,Schweinf.,Djibouti
Buxaceae,Buxus hildebrandtii,Baill.,Djibouti
Capparaceae,Boscia coriacea,Graells,Djibouti
Capparaceae,Cadaba farinosa,Forssk.,Djibouti
Capparaceae,Cadaba glandulosa,Forssk.,Djibouti
Capparaceae,Cadaba linearifolia,(J.Graham) M.R.Almeida,Djibouti
Capparaceae,Cadaba longifolia,DC.,Djibouti
Capparaceae,Capparis cartilaginea,Decne.,Djibouti
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Djibouti
Capparaceae,Maerua angolensis,DC.,Djibouti
Capparaceae,Maerua crassifolia,Forssk.,Djibouti
Celastraceae,Gymnosporia arbutifolia,(Hochst. ex A.Rich.) Loes.,Djibouti
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Djibouti
Celastraceae,Maytenus undata,(Thunb.) Blakelock,Djibouti
Combretaceae,Combretum aculeatum,Vent.,Djibouti
Combretaceae,Combretum molle,R.Br. ex G.Don,Djibouti
Combretaceae,Terminalia brownii,Fresen.,Djibouti
Cupressaceae,Juniperus procera,Hochst. ex Endl.,Djibouti
Ebenaceae,Euclea divinorum,Hiern,Djibouti
Ebenaceae,Euclea racemosa,L.,Djibouti
Euphorbiaceae,Acalypha fruticosa,Forssk.,Djibouti
Euphorbiaceae,Euphorbia abyssinica,J.F.Gmel.,Djibouti
Euphorbiaceae,Euphorbia amicorum,S.Carter,Djibouti
Euphorbiaceae,Euphorbia cuneata,Vahl,Djibouti
Euphorbiaceae,Euphorbia nigrispinoides,M.G.Gilbert,Djibouti
Euphorbiaceae,Euphorbia robecchii,Pax,Djibouti
Euphorbiaceae,Jatropha glauca,Vahl,Djibouti
Euphorbiaceae,Jatropha spinosa,Vahl,Djibouti
Fabaceae,Delonix elata,(L.) Gamble,Djibouti
Fabaceae,Parkinsonia scioana,(Chiov.) Brenan,Djibouti
Fabaceae,Senegalia asak,(Forssk.) Kyal. & Boatwr.,Djibouti
Fabaceae,Senegalia mellifera,(Benth.) Seigler & Ebinger,Djibouti
Fabaceae,Senna alexandrina,Mill.,Djibouti
Fabaceae,Vachellia etbaica,(Schweinf.) Kyal. & Boatwr.,Djibouti
Fabaceae,Vachellia flava,(Forssk.) Kyal. & Boatwr.,Djibouti
Fabaceae,Vachellia horrida,(L.) Kyal. & Boatwr.,Djibouti
Fabaceae,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,Djibouti
Fabaceae,Vachellia oerfota,(Forssk.) Kyal. & Boatwr.,Djibouti
Fabaceae,Vachellia seyal,(Delile) P.J.H.Hurter,Djibouti
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Djibouti
Hernandiaceae,Gyrocarpus hababensis,Chiov.,Djibouti
Lamiaceae,Premna resinosa,(Hochst.) Schauer,Djibouti
Lamiaceae,Rotheca myricoides,(Hochst.) Steane & Mabb.,Djibouti
Lythraceae,Woodfordia uniflora,(A.Rich.) Koehne,Djibouti
Malvaceae,Dombeya torrida,(J.F.Gmel.) Bamps,Djibouti
Malvaceae,Grewia arborea,(Forssk.) Lam.,Djibouti
Malvaceae,Grewia bicolor,Juss.,Djibouti
Malvaceae,Grewia tenax,(Forssk.) Fiori,Djibouti
Malvaceae,Grewia velutina,(Forssk.) Lam.,Djibouti
Malvaceae,Grewia villosa,Willd.,Djibouti
Malvaceae,Sterculia africana,(Lour.) Fiori,Djibouti
Moraceae,Ficus abutilifolia,(Miq.) Miq.,Djibouti
Moraceae,Ficus exasperata,Vahl,Djibouti
Moraceae,Ficus glumosa,Delile,Djibouti
Moraceae,Ficus ingens,(Miq.) Miq.,Djibouti
Moraceae,Ficus palmata,Forssk.,Djibouti
Moraceae,Ficus platyphylla,Delile,Djibouti
Moraceae,Ficus populifolia,Vahl,Djibouti
Moraceae,Ficus sycomorus,L.,Djibouti
Moraceae,Ficus thonningii,Blume,Djibouti
Moraceae,Ficus vasta,Forssk.,Djibouti
Moringaceae,Moringa peregrina,(Forssk.) Fiori,Djibouti
Olacaceae,Ximenia americana,L.,Djibouti
Oleaceae,Olea europaea,L.,Djibouti
Peraceae,Clutia abyssinica,Jaub. & Spach,Djibouti
Phyllanthaceae,Flueggea virosa,(Roxb. ex Willd.) Royle,Djibouti
Pittosporaceae,Pittosporum viridiflorum,Sims,Djibouti
Primulaceae,Maesa lanceolata,Forssk.,Djibouti
Rhamnaceae,Rhamnus staddo,A.Rich.,Djibouti
Rhamnaceae,Ziziphus abyssinica,Hochst. ex A.Rich.,Djibouti
Rhamnaceae,Ziziphus mauritiana,Lam.,Djibouti
Rhamnaceae,Ziziphus mucronata,Willd.,Djibouti
Rhamnaceae,Ziziphus spina-christi,(L.) Desf.,Djibouti
Rhizophoraceae,Rhizophora mucronata,Poir.,Djibouti
Rubiaceae,Coptosperma graveolens,(S.Moore) Degreef,Djibouti
Rubiaceae,Pavetta gardeniifolia,Hochst. ex A.Rich.,Djibouti
Rutaceae,Vepris glomerata,(F.Hoffm.) Engl.,Djibouti
Rutaceae,Vepris nobilis,(Delile) Mziray,Djibouti
Salvadoraceae,Dobera glabra,(Forssk.) Juss. ex Poir.,Djibouti
Salvadoraceae,Salvadora persica,L.,Djibouti
Santalaceae,Osyris lanceolata,Hochst. & Steud.,Djibouti
Sapotaceae,Mimusops laurifolia,(Forssk.) Friis,Djibouti
Sapotaceae,Sideroxylon mascatense,(A.DC.) T.D.Penn.,Djibouti
Stilbaceae,Nuxia oppositifolia,(Hochst.) Benth.,Djibouti
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,Djibouti
Tamaricaceae,Tamarix nilotica,(Ehrenb.) Bunge,Djibouti
Tamaricaceae,Tamarix senegalensis,DC.,Djibouti
Vitaceae,Rhoicissus revoilii,Planch.,Djibouti
Vitaceae,Rhoicissus tridentata,(L.f.) Wild & R.B.Drumm.,Djibouti
Zygophyllaceae,Balanites aegyptiaca,(L.) Delile,Djibouti
Zygophyllaceae,Balanites rotundifolia,(Tiegh.) Blatt.,Djibouti
