family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Dominica
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Dominica
Anacardiaceae,Metopium toxiferum,(L.) Krug & Urb.,Dominica
Annonaceae,Annona glabra,L.,Dominica
Annonaceae,Annona montana,Macfad.,Dominica
Annonaceae,Annona mucosa,Jacq.,Dominica
Annonaceae,Guatteria caribaea,Urb.,Dominica
Apocynaceae,Plumeria alba,L.,Dominica
Apocynaceae,Rauvolfia biauriculata,Müll.Arg.,Dominica
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Dominica
Apocynaceae,Tabernaemontana citrifolia,L.,Dominica
Aquifoliaceae,Ilex macfadyenii,(Walp.) Rehder,Dominica
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Dominica
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Dominica
Araliaceae,Oreopanax dussii,Krug & Urb. ex Duss,Dominica
Araliaceae,Sciodaphyllum attenuatum,"(Sw.) Lowry, G.M.Plunkett & M.M.Mora",Dominica
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Dominica
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,Dominica
Arecaceae,Euterpe broadwayi,Becc. ex Broadway,Dominica
Arecaceae,Geonoma pinnatifrons,Willd.,Dominica
Arecaceae,Geonoma undata,Klotzsch,Dominica
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Dominica
Arecaceae,Pseudophoenix sargentii,H.Wendl. ex Sarg.,Dominica
Arecaceae,Roystonea oleracea,(Jacq.) O.F.Cook,Dominica
Arecaceae,Syagrus amara,(Jacq.) Mart.,Dominica
Asteraceae,Koanophyllon celtidifolium,(Lam.) R.M.King & H.Rob.,Dominica
Bignoniaceae,Amphitecna latifolia,(Mill.) A.H.Gentry,Dominica
Bignoniaceae,Crescentia cujete,L.,Dominica
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Dominica
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Dominica
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Dominica
Boraginaceae,Bourreria succulenta,Jacq.,Dominica
Boraginaceae,Cordia alliodora,(Ruiz & Pav.) Oken,Dominica
Boraginaceae,Cordia collococca,L.,Dominica
Boraginaceae,Cordia elliptica,Sw.,Dominica
Boraginaceae,Cordia laevigata,Lam.,Dominica
Boraginaceae,Cordia sulcata,A.DC.,Dominica
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,Dominica
Boraginaceae,Varronia martinicensis,Jacq.,Dominica
Burseraceae,Bursera simaruba,(L.) Sarg.,Dominica
Burseraceae,Dacryodes excelsa,Vahl,Dominica
Burseraceae,Protium attenuatum,(Rose) Urb.,Dominica
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Dominica
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Dominica
Calophyllaceae,Mammea americana,L.,Dominica
Calophyllaceae,Marila racemosa,Sw.,Dominica
Canellaceae,Canella winterana,(L.) Gaertn.,Dominica
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Dominica
Cannabaceae,Trema lamarckianum,(Schult.) Blume,Dominica
Cannabaceae,Trema micranthum,(L.) Blume,Dominica
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Dominica
Capparaceae,Cynophalla amplissima,(Lam.) Iltis & Cornejo,Dominica
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Dominica
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Dominica
Capparaceae,Morisonia americana,L.,Dominica
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Dominica
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Dominica
Celastraceae,Maytenus guyanensis,Klotzsch ex Reissek,Dominica
Celastraceae,Monteverdia laevigata,(Vahl) Biral,Dominica
Chloranthaceae,Hedyosmum arborescens,Sw.,Dominica
Chrysobalanaceae,Chrysobalanus cuspidatus,Griseb. ex Duss,Dominica
Chrysobalanaceae,Chrysobalanus icaco,L.,Dominica
Chrysobalanaceae,Hirtella triandra,Sw.,Dominica
Chrysobalanaceae,Licania ternatensis,Hook.f. ex Duss,Dominica
Chrysobalanaceae,Moquilea leucosepala,(Griseb.) R.O.Williams,Dominica
Clusiaceae,Clusia major,L.,Dominica
Clusiaceae,Clusia mangle,Rich. ex Planch. & Triana,Dominica
Clusiaceae,Garcinia humilis,(Vahl) C.D.Adams,Dominica
Clusiaceae,Symphonia globulifera,L.f.,Dominica
Clusiaceae,Tovomita plumieri,Griseb.,Dominica
Combretaceae,Conocarpus erectus,L.,Dominica
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Dominica
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Dominica
Cunoniaceae,Weinmannia pinnata,L.,Dominica
Cyrillaceae,Cyrilla racemiflora,L.,Dominica
Dichapetalaceae,Tapura latifolia,Benth.,Dominica
Ebenaceae,Diospyros revoluta,Poir.,Dominica
Elaeocarpaceae,Sloanea berteroana,Choisy ex DC.,Dominica
Elaeocarpaceae,Sloanea caribaea,Krug & Urb. ex Duss,Dominica
Elaeocarpaceae,Sloanea dentata,L.,Dominica
Erythroxylaceae,Erythroxylum havanense,Jacq.,Dominica
