family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Dominican Republic
Anacardiaceae,Comocladia cuneata,Britton,Dominican Republic
Anacardiaceae,Comocladia dentata,Jacq.,Dominican Republic
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Dominican Republic
Anacardiaceae,Comocladia domingensis,Britton,Dominican Republic
Anacardiaceae,Comocladia ehrenbergii,Engl.,Dominican Republic
Anacardiaceae,Comocladia mollifolia,Ekman & Helwig,Dominican Republic
Anacardiaceae,Comocladia pinnatifolia,L.,Dominican Republic
Anacardiaceae,Comocladia pubescens,Engl.,Dominican Republic
Anacardiaceae,Metopium brownei,(Jacq.) Urb.,Dominican Republic
Anacardiaceae,Metopium toxiferum,(L.) Krug & Urb.,Dominican Republic
Anacardiaceae,Spondias mombin,L.,Dominican Republic
Annonaceae,Annona bicolor,Urb.,Dominican Republic
Annonaceae,Annona domingensis,R.E.Fr.,Dominican Republic
Annonaceae,Annona dumetorum,R.E.Fr.,Dominican Republic
Annonaceae,Annona glabra,L.,Dominican Republic
Annonaceae,Annona micrantha,Bertero ex Spreng.,Dominican Republic
Annonaceae,Annona montana,Macfad.,Dominican Republic
Annonaceae,Annona mucosa,Jacq.,Dominican Republic
Annonaceae,Annona rosei,Saff.,Dominican Republic
Annonaceae,Annona urbaniana,R.E.Fr.,Dominican Republic
Annonaceae,Guatteria blainii,(Griseb.) Urb.,Dominican Republic
Annonaceae,Oxandra lanceolata,(Sw.) Baill.,Dominican Republic
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,Dominican Republic
Apocynaceae,Aspidosperma cuspa,(Kunth) S.F.Blake ex Pittier,Dominican Republic
Apocynaceae,Cameraria angustifolia,L.,Dominican Republic
Apocynaceae,Cameraria latifolia,L.,Dominican Republic
Apocynaceae,Cameraria linearifolia,Urb. & Ekman,Dominican Republic
Apocynaceae,Plumeria magna,Zanoni & M.M.Mejía,Dominican Republic
Apocynaceae,Plumeria obtusa,L.,Dominican Republic
Apocynaceae,Plumeria subsessilis,A.DC.,Dominican Republic
Apocynaceae,Plumeria tuberculata,G.Lodd.,Dominican Republic
Apocynaceae,Rauvolfia nitida,Jacq.,Dominican Republic
Apocynaceae,Rauvolfia tetraphylla,L.,Dominican Republic
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Dominican Republic
Apocynaceae,Tabernaemontana citrifolia,L.,Dominican Republic
Apocynaceae,Vallesia antillana,Woodson,Dominican Republic
Apocynaceae,Vallesia montana,Urb.,Dominican Republic
Aquifoliaceae,Ilex azuensis,Loes.,Dominican Republic
Aquifoliaceae,Ilex barahonica,Loes.,Dominican Republic
Aquifoliaceae,Ilex berteroi,Loes.,Dominican Republic
Aquifoliaceae,Ilex duarteensis,Loes.,Dominican Republic
Aquifoliaceae,Ilex fuertensiana,(Loes.) T.R.Dudley,Dominican Republic
