family,taxon,author,native to
Acanthaceae,Aphelandra acanthifolia,Hook.,Ecuador
Acanthaceae,Aphelandra acanthus,Nees,Ecuador
Acanthaceae,Aphelandra formosa,(Bonpl.) Nees,Ecuador
Acanthaceae,Aphelandra gunnarii,Wassh.,Ecuador
Acanthaceae,Avicennia germinans,(L.) L.,Ecuador
Acanthaceae,Ruellia chartacea,(T. Anderson) Wassh.,Ecuador
Acanthaceae,Trichanthera gigantea,(Bonpl.) Nees,Ecuador
Achariaceae,Carpotroche amazonica,Mart. ex Eichler,Ecuador
Achariaceae,Carpotroche longifolia,(Poepp.) Benth.,Ecuador
Achariaceae,Carpotroche platyptera,Pittier,Ecuador
Achariaceae,Carpotroche ramosii,(Cuatrec.) Cuatrec.,Ecuador
Achariaceae,Lindackeria paludosa,(Benth.) Gilg,Ecuador
Achariaceae,Mayna odorata,Aubl.,Ecuador
Achariaceae,Mayna yasuniana,"Á.J.Pérez, Liesner & D.Santam.",Ecuador
Achatocarpaceae,Achatocarpus nigricans,Triana,Ecuador
Achatocarpaceae,Achatocarpus pubescens,C.H.Wright,Ecuador
Actinidiaceae,Saurauia adenodonta,Sleumer,Ecuador
Actinidiaceae,Saurauia aequatoriensis,Sprague,Ecuador
Actinidiaceae,Saurauia brachybotrys,Turcz.,Ecuador
Actinidiaceae,Saurauia bullosa,Wawra,Ecuador
Actinidiaceae,Saurauia crassisepala,Soejarto,Ecuador
Actinidiaceae,Saurauia herthae,Sleumer,Ecuador
Actinidiaceae,Saurauia laxiflora,Soejarto,Ecuador
Actinidiaceae,Saurauia lehmannii,Hieron.,Ecuador
Actinidiaceae,Saurauia magnifica,Soejarto,Ecuador
Actinidiaceae,Saurauia mexiae,Killip ex Soejarto,Ecuador
Actinidiaceae,Saurauia prainiana,Buscal.,Ecuador
Actinidiaceae,Saurauia pseudoleucocarpa,Buscal.,Ecuador
Actinidiaceae,Saurauia pseudostrigillosa,Buscal.,Ecuador
Actinidiaceae,Saurauia schultzeorum,Sleumer,Ecuador
Actinidiaceae,Saurauia tomentosa,(Kunth) Spreng.,Ecuador
Alzateaceae,Alzatea verticillata,Ruiz & Pav.,Ecuador
Amaranthaceae,Alternanthera rugulosa,(B.L.Rob.) J.T.Howell,Ecuador
Anacardiaceae,Anacardium excelsum,(Bertero ex Kunth) Skeels,Ecuador
Anacardiaceae,Astronium graveolens,Jacq.,Ecuador
Anacardiaceae,Campnosperma panamense,Standl.,Ecuador
Anacardiaceae,Loxopterygium huasango,Spruce ex Engl.,Ecuador
Anacardiaceae,Mauria heterophylla,Kunth,Ecuador
